,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.485737,0.487746,"1,599",88,0.0522,"1,599","604,011",88,"107,868",0.1515,0.9992,5.5950
1,0.487746,0.488865,"3,252",206,0.0596,"4,851","600,759",294,"107,662",0.1520,0.9973,5.5649
2,0.488866,0.489047,"4,049",207,0.0486,"8,900","596,710",501,"107,455",0.1526,0.9954,5.5273
3,0.489047,0.490129,"2,262",200,0.0812,"11,162","594,448",701,"107,255",0.1528,0.9935,5.5064
4,0.490129,0.490825,"3,098",203,0.0615,"14,260","591,350",904,"107,052",0.1533,0.9916,5.4777
5,0.490825,0.491134,"2,583",200,0.0719,"16,843","588,767","1,104","106,852",0.1536,0.9898,5.4538
6,0.491134,0.491248,"2,757",200,0.0676,"19,600","586,010","1,304","106,652",0.1540,0.9879,5.4282
7,0.491248,0.491482,"2,053",201,0.0892,"21,653","583,957","1,505","106,451",0.1542,0.9861,5.4092
8,0.491482,0.491567,"1,610",201,0.1110,"23,263","582,347","1,706","106,250",0.1543,0.9842,5.3943
9,0.491568,0.491661,"2,403",201,0.0772,"25,666","579,944","1,907","106,049",0.1546,0.9823,5.3720
10,0.491661,0.491683,"2,357",200,0.0782,"28,023","577,587","2,107","105,849",0.1549,0.9805,5.3502
11,0.491683,0.491703,"2,130",200,0.0858,"30,153","575,457","2,307","105,649",0.1551,0.9786,5.3305
12,0.491703,0.491740,"2,011",200,0.0905,"32,164","573,446","2,507","105,449",0.1553,0.9768,5.3118
13,0.491740,0.491817,"2,127",200,0.0859,"34,291","571,319","2,707","105,249",0.1556,0.9749,5.2921
14,0.491817,0.491857,"2,303",200,0.0799,"36,594","569,016","2,907","105,049",0.1558,0.9731,5.2708
15,0.491857,0.491899,"1,528",202,0.1168,"38,122","567,488","3,109","104,847",0.1559,0.9712,5.2567
16,0.491899,0.491920,"1,326",202,0.1322,"39,448","566,162","3,311","104,645",0.1560,0.9693,5.2444
17,0.491920,0.491941,"1,439",201,0.1226,"40,887","564,723","3,512","104,444",0.1561,0.9675,5.2310
18,0.491941,0.491960,"1,369",205,0.1302,"42,256","563,354","3,717","104,239",0.1561,0.9656,5.2184
19,0.491960,0.491975,"1,261",216,0.1462,"43,517","562,093","3,933","104,023",0.1562,0.9636,5.2067
20,0.491975,0.491991,"1,197",202,0.1444,"44,714","560,896","4,135","103,821",0.1562,0.9617,5.1956
21,0.491991,0.492009,"1,279",200,0.1352,"45,993","559,617","4,335","103,621",0.1562,0.9598,5.1838
22,0.492009,0.492035,"1,369",202,0.1286,"47,362","558,248","4,537","103,419",0.1563,0.9580,5.1711
23,0.492035,0.492060,"1,104",200,0.1534,"48,466","557,144","4,737","103,219",0.1563,0.9561,5.1608
24,0.492060,0.492077,851,200,0.1903,"49,317","556,293","4,937","103,019",0.1563,0.9543,5.1530
25,0.492077,0.492093,976,202,0.1715,"50,293","555,317","5,139","102,817",0.1562,0.9524,5.1439
26,0.492093,0.492108,"1,320",200,0.1316,"51,613","553,997","5,339","102,617",0.1563,0.9505,5.1317
27,0.492108,0.492120,"1,239",201,0.1396,"52,852","552,758","5,540","102,416",0.1563,0.9487,5.1202
28,0.492120,0.492139,"1,562",200,0.1135,"54,414","551,196","5,740","102,216",0.1564,0.9468,5.1057
29,0.492139,0.492162,"1,945",200,0.0932,"56,359","549,251","5,940","102,016",0.1566,0.9450,5.0877
30,0.492162,0.492183,"1,312",200,0.1323,"57,671","547,939","6,140","101,816",0.1567,0.9431,5.0756
31,0.492183,0.492200,"1,143",200,0.1489,"58,814","546,796","6,340","101,616",0.1567,0.9413,5.0650
32,0.492200,0.492218,877,213,0.1954,"59,691","545,919","6,553","101,403",0.1567,0.9393,5.0569
33,0.492218,0.492238,811,200,0.1978,"60,502","545,108","6,753","101,203",0.1566,0.9374,5.0494
34,0.492238,0.492274,"1,512",201,0.1173,"62,014","543,596","6,954","101,002",0.1567,0.9356,5.0353
35,0.492274,0.492301,"2,273",200,0.0809,"64,287","541,323","7,154","100,802",0.1570,0.9337,5.0143
36,0.492301,0.492329,"2,099",202,0.0878,"66,386","539,224","7,356","100,600",0.1572,0.9319,4.9948
37,0.492329,0.492362,"1,683",202,0.1072,"68,069","537,541","7,558","100,398",0.1574,0.9300,4.9793
38,0.492362,0.492388,"1,323",203,0.1330,"69,392","536,218","7,761","100,195",0.1574,0.9281,4.9670
39,0.492388,0.492419,"1,350",200,0.1290,"70,742","534,868","7,961","99,995",0.1575,0.9263,4.9545
40,0.492419,0.492454,"1,546",201,0.1151,"72,288","533,322","8,162","99,794",0.1576,0.9244,4.9402
41,0.492454,0.492489,"1,624",203,0.1111,"73,912","531,698","8,365","99,591",0.1578,0.9225,4.9251
42,0.492489,0.492515,"1,279",201,0.1358,"75,191","530,419","8,566","99,390",0.1578,0.9207,4.9133
43,0.492516,0.492532,991,200,0.1679,"76,182","529,428","8,766","99,190",0.1578,0.9188,4.9041
44,0.492532,0.492544,858,200,0.1890,"77,040","528,570","8,966","98,990",0.1577,0.9169,4.8962
45,0.492544,0.492559,909,206,0.1848,"77,949","527,661","9,172","98,784",0.1577,0.9150,4.8877
46,0.492560,0.492573,813,203,0.1998,"78,762","526,848","9,375","98,581",0.1576,0.9132,4.8802
47,0.492573,0.492593,"1,356",203,0.1302,"80,118","525,492","9,578","98,378",0.1577,0.9113,4.8676
48,0.492593,0.492616,"1,823",200,0.0989,"81,941","523,669","9,778","98,178",0.1579,0.9094,4.8508
49,0.492616,0.492643,"2,281",201,0.0810,"84,222","521,388","9,979","97,977",0.1582,0.9076,4.8296
50,0.492643,0.492673,"2,060",200,0.0885,"86,282","519,328","10,179","97,777",0.1584,0.9057,4.8106
51,0.492673,0.492695,"1,966",201,0.0928,"88,248","517,362","10,380","97,576",0.1587,0.9038,4.7923
52,0.492695,0.492712,"1,579",200,0.1124,"89,827","515,783","10,580","97,376",0.1588,0.9020,4.7777
53,0.492712,0.492729,"1,858",203,0.0985,"91,685","513,925","10,783","97,173",0.1590,0.9001,4.7605
54,0.492729,0.492749,"1,478",200,0.1192,"93,163","512,447","10,983","96,973",0.1591,0.8983,4.7468
55,0.492749,0.492769,"1,286",201,0.1352,"94,449","511,161","11,184","96,772",0.1592,0.8964,4.7349
56,0.492769,0.492783,"1,181",201,0.1454,"95,630","509,980","11,385","96,571",0.1592,0.8945,4.7240
57,0.492783,0.492797,"1,270",202,0.1372,"96,900","508,710","11,587","96,369",0.1593,0.8927,4.7122
58,0.492797,0.492810,"1,625",200,0.1096,"98,525","507,085","11,787","96,169",0.1594,0.8908,4.6971
59,0.492811,0.492827,"1,330",200,0.1307,"99,855","505,755","11,987","95,969",0.1595,0.8890,4.6848
60,0.492827,0.492846,"1,320",200,0.1316,"101,175","504,435","12,187","95,769",0.1596,0.8871,4.6726
61,0.492846,0.492864,"1,151",200,0.1480,"102,326","503,284","12,387","95,569",0.1596,0.8853,4.6619
62,0.492864,0.492880,942,202,0.1766,"103,268","502,342","12,589","95,367",0.1596,0.8834,4.6532
63,0.492880,0.492905,"1,139",200,0.1494,"104,407","501,203","12,789","95,167",0.1596,0.8815,4.6427
64,0.492905,0.492932,"1,496",200,0.1179,"105,903","499,707","12,989","94,967",0.1597,0.8797,4.6288
65,0.492932,0.492958,"1,865",201,0.0973,"107,768","497,842","13,190","94,766",0.1599,0.8778,4.6115
66,0.492959,0.492980,"1,631",200,0.1092,"109,399","496,211","13,390","94,566",0.1601,0.8760,4.5964
67,0.492980,0.493005,"1,734",200,0.1034,"111,133","494,477","13,590","94,366",0.1603,0.8741,4.5804
68,0.493005,0.493025,"1,621",202,0.1108,"112,754","492,856","13,792","94,164",0.1604,0.8722,4.5653
69,0.493025,0.493038,"1,605",200,0.1108,"114,359","491,251","13,992","93,964",0.1606,0.8704,4.5505
70,0.493038,0.493047,"1,604",201,0.1114,"115,963","489,647","14,193","93,763",0.1607,0.8685,4.5356
71,0.493047,0.493058,"1,631",200,0.1092,"117,594","488,016","14,393","93,563",0.1609,0.8667,4.5205
72,0.493058,0.493065,"1,521",200,0.1162,"119,115","486,495","14,593","93,363",0.1610,0.8648,4.5064
