,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.4857,0,1,0,1,605609,0,107956,5.609776205120605,0.1512910526721462
1,0.4858,11,202,11,203,605407,11,107945,5.607905072436918,0.15132080655833305
2,0.4869,4,103,4,306,605304,15,107941,5.606950980028901,0.15133789931930824
3,0.487,7,140,7,446,605164,22,107934,5.6056541553966435,0.15135928021113507
4,0.4871,3,110,3,556,605054,25,107931,5.604635221757012,0.1513790612705737
5,0.4873,29,427,29,983,604627,54,107902,5.600679906628627,0.15143523982883503
6,0.4874,2,7,2,990,604620,56,107900,5.6006150653970135,0.15143434570257677
7,0.4877,51,776,51,1766,603844,107,107849,5.593426951721072,0.15153865500995514
8,0.4878,110,1754,110,3520,602090,217,107739,5.577179591685502,0.15178162627900524
9,0.4881,2,48,2,3568,602042,219,107737,5.576734966097299,0.1517895006755624
10,0.4882,4,93,4,3661,601949,223,107733,5.575873504020157,0.1518046110793285
11,0.4884,20,247,20,3908,601702,243,107713,5.57358553484753,0.15183355299789264
12,0.4885,9,159,9,4067,601543,252,107704,5.572112712586609,0.15185682843917564
13,0.4886,25,399,25,4466,601144,277,107679,5.568416762384675,0.15191239561921666
14,0.4888,7,200,7,4666,600944,284,107672,5.566564155767164,0.15194689366314054
15,0.4889,75,1121,75,5787,599823,359,107597,5.5561802956760165,0.15209776370472985
16,0.489,144,3159,144,8946,596664,503,107453,5.526918374152433,0.15260674007302763
17,0.4891,20,138,20,9084,596526,523,107433,5.52564007558635,0.15261258113043516
18,0.4892,1,66,1,9150,596460,524,107432,5.525028715402572,0.1526256868951487
19,0.4893,1,14,1,9164,596446,525,107431,5.524899032939346,0.1526275187284142
20,0.4896,7,117,7,9281,596329,532,107424,5.523815258068102,0.15264446474828527
21,0.4897,36,420,36,9701,595909,568,107388,5.519924784171329,0.15269224808295784
22,0.4898,4,47,4,9748,595862,572,107384,5.519489421616214,0.1526976335450184
23,0.4899,17,101,17,9849,595761,589,107367,5.518553855274371,0.15269908181725092
24,0.49,56,380,56,10229,595381,645,107311,5.5150339027011,0.15271413364603553
25,0.4901,92,1589,92,11818,593792,737,107219,5.500314943124977,0.1529490978030302
26,0.4902,15,166,15,11984,593626,752,107204,5.498777279632443,0.15296719603898234
27,0.4903,1,18,1,12002,593608,753,107203,5.4986105450368665,0.15296991628270676
28,0.4904,2,8,2,12010,593600,755,107201,5.498536440772167,0.1529692451922871
29,0.4905,28,475,28,12485,593125,783,107173,5.494136500055578,0.15303913476834147
30,0.4906,116,1682,116,14167,591443,899,107057,5.478556078402312,0.1532670007158196
31,0.4907,2,48,2,14215,591395,901,107055,5.478111452814109,0.15327510917030568
32,0.4908,9,100,9,14315,591295,910,107046,5.477185149505354,0.15328614530723528
33,0.4909,15,152,15,14467,591143,925,107031,5.4757771684760455,0.15330132603047378
34,0.491,129,1863,129,16330,589280,1054,106902,5.458520137833933,0.15355467392147457
35,0.4911,65,744,65,17074,588536,1119,106837,5.451628441216792,0.15363984509033282
36,0.4912,196,2605,196,19679,585931,1315,106641,5.427498240023714,0.15397821453942695
37,0.4913,128,1502,128,21181,584429,1443,106513,5.413585164326207,0.15415620992789553
38,0.4914,18,123,18,21304,584306,1461,106495,5.412445811256438,0.1541616181794757
39,0.4915,213,1615,213,22919,582691,1674,106282,5.397486012820038,0.15426148775060852
40,0.4916,169,2182,169,25101,580509,1843,106113,5.377274074622995,0.15454354797836364
41,0.4917,676,7175,676,32276,573334,2519,105437,5.310811812219793,0.1553351572179719
42,0.4918,358,4031,358,36307,569303,2877,105079,5.273472525843863,0.1558152501104715
43,0.4919,735,5272,735,41579,564031,3612,104344,5.224637815406276,0.15611595287076865
44,0.492,1035,6416,1035,47995,557615,4647,103309,5.165206195116529,0.1563099539432673
45,0.4921,1197,7534,1197,55529,550081,5844,102112,5.095418503834896,0.15656715113471012
46,0.4922,978,5379,978,60908,544702,6822,101134,5.045592648856942,0.15659393406375613
47,0.4923,657,6592,657,67500,538110,7479,100477,4.984530734743784,0.15734269567028455
48,0.4924,659,4577,659,72077,533533,8138,99818,4.942133832302049,0.1576029721276196
49,0.4925,926,5383,926,77460,528150,9064,98892,4.8922709251917444,0.1577119236032036
50,0.4926,963,7193,963,84653,520957,10027,97929,4.825641928192968,0.15823431132712648
51,0.4927,972,8609,972,93262,512348,10999,96957,4.745896476342214,0.1591272023042647
52,0.4928,1234,8202,1234,101464,504146,12233,95723,4.669921078958094,0.15957317347620897
53,0.4929,890,5692,890,107156,498454,13123,94833,4.617195894623736,0.15984338102806905
54,0.493,1112,9210,1112,116366,489244,14235,93721,4.531883359887361,0.16076608372715342
55,0.4931,2187,16676,2187,133042,472568,16422,91534,4.377413020119308,0.16226498044679863
56,0.4932,2314,14457,2314,147499,458111,18736,89220,4.243497350772537,0.16300922111117405
57,0.4933,2019,10389,2019,157888,447722,20755,87201,4.1472637000259365,0.1630159854782838
58,0.4934,1308,10436,1308,168324,437286,22063,85893,4.050594686724221,0.1641751675812676
59,0.4935,2038,12558,2038,180882,424728,24101,83855,3.9342695172107156,0.16487967549052956
60,0.4936,1905,12554,1905,193436,412174,26006,81950,3.81798139982956,0.16584905813115736
61,0.4937,2268,9221,2268,202657,402953,28274,79682,3.732566971729223,0.1650978482704321
62,0.4938,1827,7659,1827,210316,395294,30101,77855,3.6616214013116455,0.16454647478912562
63,0.4939,750,4807,750,215123,390487,30851,77105,3.6170940012597725,0.16489803076186077
64,0.494,746,4748,746,219871,385739,31597,76359,3.573113120160065,0.16524416898579955
65,0.4941,635,3882,635,223753,381857,32232,75724,3.53715402571418,0.16548764043961617
66,0.4942,981,5200,981,228953,376657,33213,74743,3.488986253658898,0.16558041648205582
67,0.4943,1088,7837,1088,236790,368820,34301,73655,3.416391863351736,0.166461381998983
68,0.4944,994,4808,994,241598,364012,35295,72661,3.371855200266775,0.16639682325218183
69,0.4945,581,3423,581,245021,360589,35876,72080,3.3401478380080776,0.16659386274496207
70,0.4946,784,4597,784,249618,355992,36660,71296,3.297565674904591,0.16685701447267418
71,0.4947,976,8729,976,258347,347263,37636,70320,3.2167086590833303,0.16839765986642177
72,0.4948,1084,6549,1084,264896,340714,38720,69236,3.156045055392938,0.1688888888888889
73,0.4949,1290,6362,1290,271258,334352,40010,67946,3.097113638889918,0.16889469994879416
74,0.495,544,3221,544,274479,331131,40554,67402,3.0672774093149062,0.16912526691641597
75,0.4951,736,4132,736,278611,326999,41290,66666,3.029002556597132,0.16934703364535836
76,0.4952,1063,5643,1063,284254,321356,42353,65603,2.9767312608840637,0.16953475691223102
77,0.4953,587,3562,587,287816,317794,42940,65016,2.9437363370261957,0.1698388234372143
78,0.4954,486,4067,486,291883,313727,43426,64530,2.906063581459113,0.17059829692510647
79,0.4955,545,3410,545,295293,310317,43971,63985,2.8744766386305534,0.1709448520178893
80,0.4956,411,2556,411,297849,307761,44382,63574,2.850800326058765,0.17120389944389836
81,0.4957,647,4540,647,302389,303221,45029,62927,2.8087461558412685,0.1718621977997968
82,0.4958,1664,9908,1664,312297,293313,46693,61263,2.7169680240097818,0.17277819141735482
83,0.4959,1239,7175,1239,319472,286138,47932,60024,2.6505057616065804,0.17339858216673118
84,0.496,666,2832,666,322304,283306,48598,59358,2.624272851902627,0.17322508346368454
85,0.4961,819,5050,819,327354,278256,49417,58539,2.5774945348104783,0.17381196276666816
86,0.4962,713,4906,713,332260,273350,50130,57826,2.5320500944829374,0.17460806338623572
87,0.4963,1674,11504,1674,343764,261846,51804,56152,2.425488161843714,0.1765797269165215
88,0.4964,1338,8147,1338,351911,253699,53142,54814,2.3500222312794103,0.17767160541046892
89,0.4965,885,4579,885,356490,249120,54027,53929,2.3076068027714993,0.17795472019376404
90,0.4966,1039,6445,1039,362935,242675,55066,52890,2.2479065545222126,0.17894540963916566
91,0.4967,1383,7943,1383,370878,234732,56449,51507,2.17433028270777,0.17994403278379256
92,0.4968,1785,8839,1785,379717,225893,58234,49722,2.0924543332468786,0.18040382417502676
93,0.4969,1018,4660,1018,384377,221233,59252,48704,2.049288599058876,0.18042728488499168
94,0.497,842,4002,842,388379,217231,60094,47862,2.012217940642484,0.1805479586409298
95,0.4971,665,3554,665,391933,213677,60759,47197,1.9792971210493164,0.18091875771445218
96,0.4972,912,5071,912,397004,208606,61671,46285,1.932324280262329,0.18158742364383207
97,0.4973,779,4333,779,401337,204273,62450,45506,1.8921875578939569,0.18218505158560167
98,0.4974,996,6423,996,407760,197850,63446,44510,1.8326910963725962,0.18365241789074105
99,0.4975,1182,6751,1182,414511,191099,64628,43328,1.770156359998518,0.1848251267985343
100,0.4976,1107,5011,1107,419522,186088,65735,42221,1.7237393011967839,0.18492919683411516
101,0.4977,830,5117,830,424639,180971,66565,41391,1.6763403608877692,0.1861424164200718
102,0.4978,727,3928,727,428567,177043,67292,40664,1.6399551669198562,0.1867831535044808
103,0.4979,958,5369,958,433936,171674,68250,39706,1.5902219422727777,0.18784180149493804
104,0.498,630,3726,630,437662,167948,68880,39076,1.555707880988551,0.18875106267872324
105,0.4981,652,3056,652,440718,164892,69532,38424,1.5274000518729853,0.1889866021365756
