,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.498997,0.499327,"3,426",28,0.0081,"3,426","602,184",28,"107,928",0.1520,0.9997,5.5781
1,0.499327,0.499554,"44,196",800,0.0178,"47,622","557,988",828,"107,128",0.1611,0.9923,5.1687
2,0.499554,0.499611,"27,487",800,0.0283,"75,109","530,501","1,628","106,328",0.1670,0.9849,4.9140
3,0.499611,0.499648,"22,381",800,0.0345,"97,490","508,120","2,428","105,528",0.1720,0.9775,4.7067
4,0.499648,0.499676,"19,515",800,0.0394,"117,005","488,605","3,228","104,728",0.1765,0.9701,4.5260
5,0.499676,0.499700,"17,243",800,0.0443,"134,248","471,362","4,028","103,928",0.1807,0.9627,4.3662
6,0.499700,0.499718,"15,094",800,0.0503,"149,342","456,268","4,828","103,128",0.1844,0.9553,4.2264
7,0.499718,0.499734,"13,884",800,0.0545,"163,226","442,384","5,628","102,328",0.1879,0.9479,4.0978
8,0.499734,0.499749,"13,395",800,0.0564,"176,621","428,989","6,428","101,528",0.1914,0.9405,3.9737
9,0.499749,0.499762,"11,756",800,0.0637,"188,377","417,233","7,228","100,728",0.1945,0.9330,3.8648
10,0.499762,0.499776,"12,379",800,0.0607,"200,756","404,854","8,028","99,928",0.1980,0.9256,3.7502
11,0.499776,0.499787,"11,372",800,0.0657,"212,128","393,482","8,828","99,128",0.2012,0.9182,3.6448
12,0.499787,0.499798,"10,433",800,0.0712,"222,561","383,049","9,628","98,328",0.2043,0.9108,3.5482
13,0.499798,0.499808,"9,717",800,0.0761,"232,278","373,332","10,428","97,528",0.2071,0.9034,3.4582
14,0.499808,0.499817,"9,377",800,0.0786,"241,655","363,955","11,228","96,728",0.2100,0.8960,3.3713
15,0.499817,0.499826,"8,884",800,0.0826,"250,539","355,071","12,028","95,928",0.2127,0.8886,3.2890
16,0.499826,0.499834,"8,554",800,0.0855,"259,093","346,517","12,828","95,128",0.2154,0.8812,3.2098
17,0.499834,0.499843,"8,661",800,0.0846,"267,754","337,856","13,628","94,328",0.2183,0.8738,3.1296
18,0.499843,0.499851,"8,047",800,0.0904,"275,801","329,809","14,428","93,528",0.2209,0.8664,3.0550
19,0.499851,0.499859,"8,147",800,0.0894,"283,948","321,662","15,228","92,728",0.2238,0.8589,2.9796
20,0.499859,0.499865,"7,085",800,0.1015,"291,033","314,577","16,028","91,928",0.2261,0.8515,2.9139
21,0.499865,0.499873,"7,086",800,0.1014,"298,119","307,491","16,828","91,128",0.2286,0.8441,2.8483
22,0.499873,0.499880,"7,303",800,0.0987,"305,422","300,188","17,628","90,328",0.2313,0.8367,2.7807
23,0.499880,0.499886,"7,019",800,0.1023,"312,441","293,169","18,428","89,528",0.2339,0.8293,2.7156
24,0.499886,0.499893,"6,764",800,0.1058,"319,205","286,405","19,228","88,728",0.2365,0.8219,2.6530
25,0.499893,0.499899,"6,416",800,0.1109,"325,621","279,989","20,028","87,928",0.2390,0.8145,2.5935
26,0.499899,0.499906,"6,432",800,0.1106,"332,053","273,557","20,828","87,128",0.2416,0.8071,2.5340
27,0.499906,0.499911,"5,910",800,0.1192,"337,963","267,647","21,628","86,328",0.2439,0.7997,2.4792
28,0.499911,0.499917,"5,727",800,0.1226,"343,690","261,920","22,428","85,528",0.2462,0.7922,2.4262
29,0.499917,0.499923,"5,589",800,0.1252,"349,279","256,331","23,228","84,728",0.2484,0.7848,2.3744
30,0.499923,0.499929,"5,769",800,0.1218,"355,048","250,562","24,028","83,928",0.2509,0.7774,2.3210
31,0.499929,0.499934,"5,710",800,0.1229,"360,758","244,852","24,828","83,128",0.2535,0.7700,2.2681
32,0.499934,0.499939,"5,116",800,0.1352,"365,874","239,736","25,628","82,328",0.2556,0.7626,2.2207
33,0.499940,0.499945,"5,528",800,0.1264,"371,402","234,208","26,428","81,528",0.2582,0.7552,2.1695
34,0.499945,0.499951,"5,129",800,0.1349,"376,531","229,079","27,228","80,728",0.2606,0.7478,2.1220
35,0.499951,0.499956,"5,178",800,0.1338,"381,709","223,901","28,028","79,928",0.2631,0.7404,2.0740
36,0.499956,0.499961,"5,073",800,0.1362,"386,782","218,828","28,828","79,128",0.2656,0.7330,2.0270
37,0.499961,0.499966,"4,906",800,0.1402,"391,688","213,922","29,628","78,328",0.2680,0.7256,1.9816
38,0.499966,0.499971,"4,811",800,0.1426,"396,499","209,111","30,428","77,528",0.2705,0.7181,1.9370
39,0.499971,0.499976,"4,373",800,0.1546,"400,872","204,738","31,228","76,728",0.2726,0.7107,1.8965
40,0.499976,0.499981,"4,681",800,0.1460,"405,553","200,057","32,028","75,928",0.2751,0.7033,1.8531
41,0.499981,0.499986,"4,512",800,0.1506,"410,065","195,545","32,828","75,128",0.2776,0.6959,1.8113
42,0.499986,0.499991,"4,255",800,0.1583,"414,320","191,290","33,628","74,328",0.2798,0.6885,1.7719
43,0.499991,0.499996,"4,307",800,0.1566,"418,627","186,983","34,428","73,528",0.2822,0.6811,1.7320
44,0.499996,0.500001,"4,306",800,0.1567,"422,933","182,677","35,228","72,728",0.2848,0.6737,1.6921
45,0.500001,0.500005,"3,946",800,0.1686,"426,879","178,731","36,028","71,928",0.2870,0.6663,1.6556
46,0.500005,0.500010,"4,077",800,0.1640,"430,956","174,654","36,828","71,128",0.2894,0.6589,1.6178
47,0.500010,0.500015,"4,066",800,0.1644,"435,022","170,588","37,628","70,328",0.2919,0.6515,1.5802
48,0.500015,0.500019,"3,858",800,0.1717,"438,880","166,730","38,428","69,528",0.2943,0.6440,1.5444
49,0.500019,0.500024,"3,755",800,0.1756,"442,635","162,975","39,228","68,728",0.2966,0.6366,1.5096
50,0.500024,0.500028,"3,699",800,0.1778,"446,334","159,276","40,028","67,928",0.2990,0.6292,1.4754
51,0.500028,0.500033,"3,882",800,0.1709,"450,216","155,394","40,828","67,128",0.3017,0.6218,1.4394
52,0.500033,0.500038,"3,624",800,0.1808,"453,840","151,770","41,628","66,328",0.3041,0.6144,1.4059
53,0.500038,0.500042,"3,489",800,0.1865,"457,329","148,281","42,428","65,528",0.3065,0.6070,1.3735
54,0.500042,0.500046,"3,372",800,0.1918,"460,701","144,909","43,228","64,728",0.3088,0.5996,1.3423
55,0.500046,0.500051,"3,418",800,0.1897,"464,119","141,491","44,028","63,928",0.3112,0.5922,1.3106
56,0.500051,0.500055,"3,420",800,0.1896,"467,539","138,071","44,828","63,128",0.3138,0.5848,1.2790
57,0.500055,0.500060,"3,214",800,0.1993,"470,753","134,857","45,628","62,328",0.3161,0.5773,1.2492
58,0.500060,0.500064,"3,431",800,0.1891,"474,184","131,426","46,428","61,528",0.3189,0.5699,1.2174
59,0.500064,0.500069,"3,057",800,0.2074,"477,241","128,369","47,228","60,728",0.3211,0.5625,1.1891
60,0.500069,0.500073,"3,152",800,0.2024,"480,393","125,217","48,028","59,928",0.3237,0.5551,1.1599
