,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.482923,0.484180,68,8,0.1053,68,"605,542",8,"107,948",0.1513,0.9999,5.6092
1,0.484196,0.485055,264,50,0.1592,332,"605,278",58,"107,898",0.1513,0.9995,5.6067
2,0.485055,0.485437,292,50,0.1462,624,"604,986",108,"107,848",0.1513,0.9990,5.6040
3,0.485439,0.485760,285,50,0.1493,909,"604,701",158,"107,798",0.1513,0.9985,5.6014
4,0.485760,0.486036,357,50,0.1229,"1,266","604,344",208,"107,748",0.1513,0.9981,5.5981
5,0.486037,0.486219,238,50,0.1736,"1,504","604,106",258,"107,698",0.1513,0.9976,5.5959
6,0.486221,0.486374,237,50,0.1742,"1,741","603,869",308,"107,648",0.1513,0.9971,5.5937
7,0.486374,0.486491,161,50,0.2370,"1,902","603,708",358,"107,598",0.1513,0.9967,5.5922
8,0.486492,0.486651,292,50,0.1462,"2,194","603,416",408,"107,548",0.1513,0.9962,5.5895
9,0.486652,0.486829,279,50,0.1520,"2,473","603,137",458,"107,498",0.1513,0.9958,5.5869
10,0.486829,0.487028,295,50,0.1449,"2,768","602,842",508,"107,448",0.1513,0.9953,5.5841
11,0.487029,0.487193,245,50,0.1695,"3,013","602,597",558,"107,398",0.1513,0.9948,5.5819
12,0.487196,0.487412,346,50,0.1263,"3,359","602,251",608,"107,348",0.1513,0.9944,5.5787
13,0.487412,0.487547,225,50,0.1818,"3,584","602,026",658,"107,298",0.1513,0.9939,5.5766
14,0.487549,0.487751,366,50,0.1202,"3,950","601,660",708,"107,248",0.1513,0.9934,5.5732
15,0.487752,0.487854,211,50,0.1916,"4,161","601,449",758,"107,198",0.1513,0.9930,5.5712
16,0.487855,0.488006,346,50,0.1263,"4,507","601,103",808,"107,148",0.1513,0.9925,5.5680
17,0.488006,0.488133,282,50,0.1506,"4,789","600,821",858,"107,098",0.1513,0.9921,5.5654
18,0.488133,0.488325,524,50,0.0871,"5,313","600,297",908,"107,048",0.1513,0.9916,5.5606
19,0.488325,0.488417,294,50,0.1453,"5,607","600,003",958,"106,998",0.1513,0.9911,5.5578
20,0.488417,0.488540,448,50,0.1004,"6,055","599,555","1,008","106,948",0.1514,0.9907,5.5537
21,0.488541,0.488617,312,50,0.1381,"6,367","599,243","1,058","106,898",0.1514,0.9902,5.5508
22,0.488617,0.488718,461,50,0.0978,"6,828","598,782","1,108","106,848",0.1514,0.9897,5.5465
23,0.488719,0.488807,408,50,0.1092,"7,236","598,374","1,158","106,798",0.1514,0.9893,5.5428
24,0.488808,0.488906,518,50,0.0880,"7,754","597,856","1,208","106,748",0.1515,0.9888,5.5380
25,0.488906,0.488958,357,50,0.1229,"8,111","597,499","1,258","106,698",0.1515,0.9883,5.5347
26,0.488958,0.489021,376,50,0.1174,"8,487","597,123","1,308","106,648",0.1515,0.9879,5.5312
27,0.489021,0.489105,446,50,0.1008,"8,933","596,677","1,358","106,598",0.1516,0.9874,5.5270
28,0.489105,0.489165,389,50,0.1139,"9,322","596,288","1,408","106,548",0.1516,0.9870,5.5234
29,0.489165,0.489240,540,50,0.0847,"9,862","595,748","1,458","106,498",0.1517,0.9865,5.5184
30,0.489240,0.489306,532,50,0.0859,"10,394","595,216","1,508","106,448",0.1517,0.9860,5.5135
31,0.489306,0.489367,429,50,0.1044,"10,823","594,787","1,558","106,398",0.1517,0.9856,5.5095
32,0.489367,0.489422,393,50,0.1129,"11,216","594,394","1,608","106,348",0.1518,0.9851,5.5059
33,0.489422,0.489473,433,50,0.1035,"11,649","593,961","1,658","106,298",0.1518,0.9846,5.5019
34,0.489473,0.489518,427,50,0.1048,"12,076","593,534","1,708","106,248",0.1518,0.9842,5.4979
35,0.489518,0.489573,514,50,0.0887,"12,590","593,020","1,758","106,198",0.1519,0.9837,5.4932
36,0.489573,0.489615,360,50,0.1220,"12,950","592,660","1,808","106,148",0.1519,0.9833,5.4898
37,0.489615,0.489661,461,50,0.0978,"13,411","592,199","1,858","106,098",0.1519,0.9828,5.4856
38,0.489661,0.489696,315,50,0.1370,"13,726","591,884","1,908","106,048",0.1519,0.9823,5.4826
39,0.489696,0.489728,365,50,0.1205,"14,091","591,519","1,958","105,998",0.1520,0.9819,5.4793
40,0.489728,0.489780,554,50,0.0828,"14,645","590,965","2,008","105,948",0.1520,0.9814,5.4741
41,0.489780,0.489811,338,50,0.1289,"14,983","590,627","2,058","105,898",0.1520,0.9809,5.4710
42,0.489811,0.489854,460,50,0.0980,"15,443","590,167","2,108","105,848",0.1521,0.9805,5.4667
43,0.489854,0.489892,390,50,0.1136,"15,833","589,777","2,158","105,798",0.1521,0.9800,5.4631
44,0.489892,0.489942,444,50,0.1012,"16,277","589,333","2,208","105,748",0.1521,0.9795,5.4590
45,0.489942,0.489985,447,50,0.1006,"16,724","588,886","2,258","105,698",0.1522,0.9791,5.4549
46,0.489985,0.490037,559,50,0.0821,"17,283","588,327","2,308","105,648",0.1522,0.9786,5.4497
47,0.490037,0.490078,417,50,0.1071,"17,700","587,910","2,358","105,598",0.1523,0.9782,5.4458
48,0.490079,0.490116,417,50,0.1071,"18,117","587,493","2,408","105,548",0.1523,0.9777,5.4420
49,0.490116,0.490146,347,50,0.1259,"18,464","587,146","2,458","105,498",0.1523,0.9772,5.4388
50,0.490146,0.490190,437,50,0.1027,"18,901","586,709","2,508","105,448",0.1523,0.9768,5.4347
51,0.490190,0.490225,345,50,0.1266,"19,246","586,364","2,558","105,398",0.1524,0.9763,5.4315
52,0.490225,0.490268,400,50,0.1111,"19,646","585,964","2,608","105,348",0.1524,0.9758,5.4278
53,0.490268,0.490309,411,51,0.1104,"20,057","585,553","2,659","105,297",0.1524,0.9754,5.4240
54,0.490309,0.490346,407,50,0.1094,"20,464","585,146","2,709","105,247",0.1524,0.9749,5.4202
55,0.490346,0.490392,496,50,0.0916,"20,960","584,650","2,759","105,197",0.1525,0.9744,5.4156
56,0.490392,0.490421,297,50,0.1441,"21,257","584,353","2,809","105,147",0.1525,0.9740,5.4129
