Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
683074,705474,AdaBoost_Hard_Run_2,0.4998501330627416,1,0,0.0,594814,10796,96181,11775,0.5216871206415312,0.10000370521323503
617131,636876,AdaBoost_Medium_Run_2,0.4992725327330202,1,1,0.5,594814,10796,98354,9602,0.47073242474752425,0.10000370521323503
139793,145182,AdaBoost_Easy_Run_2,0.4981482224617922,3,2,0.4,594815,10795,102733,5223,0.3260706704956923,0.09999444218014747
216,240,BalBag_Hard_Run_2,0.8916666666666666,2,0,0.0,593485,12125,90702,17254,0.5872902413288403,0.11231427618659454
2266,2382,BalBag_Medium_Run_2,0.8999999999999998,5,0,0.0,590190,15420,95139,12817,0.4539079930587527,0.1428359702100856
47570,49711,BalBag_Easy_Run_2,0.8530110039248852,4,6,0.6,594808,10802,101247,6709,0.3831306036205813,0.10005928341176035
3293,3804,BRFC_alpha_0_5_Hard_Run_2,0.8109999999999999,1,0,0.0,594814,10796,87510,20446,0.6544395365213495,0.10000370521323503
34759,36995,BRFC_alpha_0_5_Medium_Run_2,0.8533333333333333,53,41,0.43617021276595747,594840,10770,96479,11477,0.5158897828920753,0.09976286635295861
129009,136799,BRFC_alpha_0_5_Easy_Run_2,0.8504724907445492,3,1,0.25,594815,10795,100856,7100,0.3967588711930707,0.09999444218014747
5044,5819,BRFC_alpha_balanced_Hard_Run_2,0.81,1226,1447,0.5413393191170969,595303,10307,88331,19625,0.6556528130428972,0.09547408203342102
115156,120491,BRFC_alpha_balanced_Medium_Run_2,0.8699773626988242,2,0,0.0,594707,10903,97516,10440,0.48915335238719954,0.10099484975360332
137941,143687,BRFC_alpha_balanced_Easy_Run_2,0.9541071886323996,5,3,0.375,594814,10796,101134,6822,0.38721761834487456,0.10000370521323503
2880,3290,EEC_Hard_Run_2,0.5407181833250073,4,1,0.2,594662,10948,97659,10297,0.48467874794069193,0.10141168624254326
2802,3263,EEC_Medium_Run_2,0.5350515400349823,573,402,0.4123076923076923,594890,10720,99390,8566,0.4441563828684019,0.0992997146985809
895,960,EEC_Easy_Run_2,0.5249858354244967,29,17,0.3695652173913043,594808,10802,102834,5122,0.32165285104245167,0.10005928341176035
667597,694910,KBFC_alpha_0_5_gamma_0_0_Hard_Run_2,0.5034412,0,1,1.0,594814,10796,91146,16810,0.6089255958849525,0.10000370521323503
619468,640288,KBFC_alpha_0_5_gamma_0_0_Medium_Run_2,0.45768964,1,0,0.0,594814,10796,97279,10677,0.4972290783774973,0.10000370521323503
138280,144221,KBFC_alpha_0_5_gamma_0_0_Easy_Run_2,0.33518025,1,0,0.0,594813,10797,102170,5786,0.3489115359102696,0.10001296824632258
667999,694952,KBFC_alpha_balanced_gamma_0_0_Hard_Run_2,0.85900813,0,1,1.0,594814,10796,91424,16532,0.604947306791569,0.10000370521323503
619949,640593,KBFC_alpha_balanced_gamma_0_0_Medium_Run_2,0.8167557,1,0,0.0,594814,10796,97415,10541,0.4940244645451563,0.10000370521323503
137909,143896,KBFC_alpha_balanced_gamma_0_0_Easy_Run_2,0.74134773,1,1,0.5,594814,10796,102166,5790,0.3490895936331846,0.10000370521323503
660885,688060,KBFC_alpha_0_5_gamma_1_0_Hard_Run_2,0.5049877,1,0,0.0,594814,10796,91213,16743,0.6079741457569265,0.10000370521323503
613570,634251,KBFC_alpha_0_5_gamma_1_0_Medium_Run_2,0.47489366,1,0,0.0,594814,10796,97324,10632,0.49617323128616764,0.10000370521323503
137270,143411,KBFC_alpha_0_5_gamma_1_0_Easy_Run_2,0.40888926,3,0,0.0,594808,10802,102057,5899,0.3532123824920663,0.10005928341176035
