,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0129,0,1,0,1,605609,0,107956,5.609776205120605,0.1512910526721462
1,0.0146,0,1,0,2,605608,0,107956,5.609766942087517,0.15129126469384666
2,0.0182,0,1,0,3,605607,0,107956,5.60975767905443,0.1512914767161414
3,0.0186,0,1,0,4,605606,0,107956,5.609748416021342,0.15129168873903037
4,0.0187,0,2,0,6,605604,0,107956,5.609729889955167,0.1512921127865912
5,0.0188,0,1,0,7,605603,0,107956,5.609720626922079,0.15129232481126298
6,0.019,0,1,0,8,605602,0,107956,5.609711363888992,0.15129253683652905
7,0.0199,0,1,0,9,605601,0,107956,5.6097021008559045,0.15129274886238941
8,0.0206,0,1,0,10,605600,0,107956,5.609692837822816,0.15129296088884403
9,0.0208,0,1,0,11,605599,0,107956,5.609683574789729,0.15129317291589295
10,0.0216,0,1,0,12,605598,0,107956,5.609674311756642,0.15129338494353617
11,0.0222,0,1,0,13,605597,0,107956,5.609665048723554,0.15129359697177364
12,0.0239,0,1,0,14,605596,0,107956,5.6096557856904665,0.15129380900060543
13,0.0241,0,1,0,15,605595,0,107956,5.609646522657379,0.15129402103003148
14,0.0242,0,1,0,16,605594,0,107956,5.609637259624291,0.15129423306005185
15,0.0245,0,1,0,17,605593,0,107956,5.609627996591204,0.1512944450906665
16,0.0254,0,1,0,18,605592,0,107956,5.609618733558117,0.15129465712187548
17,0.026,0,1,0,19,605591,0,107956,5.609609470525029,0.15129486915367873
18,0.0263,0,2,0,21,605589,0,107956,5.609590944458853,0.15129529321906818
19,0.0265,0,3,0,24,605586,0,107956,5.609563155359591,0.15129592932160965
20,0.0269,0,1,0,25,605585,0,107956,5.609553892326503,0.15129614135697877
21,0.0273,1,0,1,25,605585,1,107955,5.609553892326503,0.15129495192981474
22,0.0274,0,1,0,26,605584,1,107955,5.609544629293416,0.1512951639644084
23,0.0282,0,2,0,28,605582,1,107955,5.609526103227241,0.15129558803537868
24,0.0285,0,1,0,29,605581,1,107955,5.6095168401941535,0.1512958000717553
25,0.0288,0,1,0,30,605580,1,107955,5.609507577161065,0.15129601210872626
26,0.0289,0,3,0,33,605577,1,107955,5.609479788061803,0.15129664822320513
27,0.0294,0,1,0,34,605576,1,107955,5.609470525028716,0.1512968602625534
28,0.0295,0,1,0,35,605575,1,107955,5.6094612619956274,0.15129707230249603
29,0.0296,0,1,0,36,605574,1,107955,5.60945199896254,0.15129728434303302
30,0.0297,0,1,0,37,605573,1,107955,5.609442735929453,0.15129749638416432
