,0
0.33413747,20
0.32066095,17
0.35577524,16
0.3570832,13
0.33505344,13
0.37432584,13
0.3524141,13
0.19733575,12
0.34052393,11
0.34832215,10
0.31425485,10
0.24769442,10
0.30614915,10
0.32602605,10
0.30492467,10
0.3601705,10
0.25002712,10
0.36797976,10
0.3217523,10
0.3713102,10
0.3057232,9
0.1942578,9
0.32130885,9
0.299746,9
0.273115,9
0.31148702,9
0.13836153,8
0.14897422,8
0.3835127,8
0.31921676,8
0.27066672,8
0.33536604,8
0.34293276,8
0.35588035,8
0.34756815,8
0.29878062,8
0.3725885,8
0.3747633,8
0.14752339,8
0.33141154,8
0.28649348,8
0.3217047,8
0.3008742,8
0.32299677,8
0.35254657,8
0.34329268,8
0.35747695,8
0.3712392,8
0.34709585,8
0.34219083,8
0.3434455,7
0.24021198,7
0.31613776,7
0.34324053,7
0.19024634,7
0.29682198,7
0.28770745,7
0.3043921,7
0.3618671,7
0.27499798,7
0.34482402,7
0.35551453,7
0.2583508,7
0.37275633,7
0.3492368,7
0.31781617,7
0.16003773,7
0.25274763,7
0.35889697,7
0.32615018,7
0.30063897,7
0.40773073,7
0.3155656,7
0.26791236,7
0.29156524,7
0.36047378,7
0.29848206,7
0.31076562,7
0.375995,7
0.33266866,7
0.3111222,7
0.38506547,7
0.31682587,7
0.27319732,7
0.40230644,7
0.25879905,7
0.33382782,7
0.2739027,7
0.30957094,7
0.28964818,7
0.2942722,7
0.26521125,7
0.40320393,7
0.4036526,7
0.31757218,7
0.29230428,7
0.2762801,7
0.35329318,7
0.26507872,7
0.33744574,7
