,0
0.5136484,18
0.43501812,17
0.46649012,15
0.31314385,14
0.402742,13
0.05515033,12
0.34202784,12
0.43465254,11
0.49648982,10
0.35295057,10
0.35885862,10
0.5796485,9
0.31464565,9
0.39291382,9
0.5950887,9
0.51259637,9
0.35205904,9
0.50286883,9
0.5298908,9
0.470622,9
0.5593976,9
0.5174502,9
0.63514733,9
0.531395,9
0.5187906,9
0.30968502,8
0.4541297,8
0.1970046,8
0.4136443,8
0.37365884,8
0.47323236,8
0.48553282,8
0.36275667,8
0.1350757,8
0.19668444,8
0.06671387,8
0.30699092,8
0.23035187,8
0.053733937,8
0.103000574,8
0.622187,8
0.4817752,8
0.278188,8
0.47122037,8
0.45973095,8
0.5725145,8
0.271666,8
0.55850303,7
0.35508367,7
0.7154217,7
0.5023113,7
0.5138825,7
0.40654442,7
0.5827389,7
0.32539058,7
0.42599353,7
0.34854674,7
0.44853914,7
0.41635182,7
0.12434541,7
0.50841016,7
0.44800463,7
0.42582247,7
0.30725047,7
0.0721863,7
0.3895873,7
0.79228914,7
0.48986813,7
0.6897472,7
0.24123195,7
0.08445857,7
0.45495492,7
0.40847045,7
0.62192667,7
0.360599,7
0.45208684,7
0.3102289,7
0.19033514,7
0.10471144,7
0.10401681,7
0.38989505,7
0.49538025,7
0.52085483,7
0.32030848,7
0.25459027,7
0.24914877,7
0.33870727,7
0.22574545,7
0.42961726,7
0.3887964,7
0.35358486,7
0.5518552,7
0.62521756,7
0.75227624,6
0.4038019,6
0.2718024,6
0.16776936,6
0.28100803,6
0.58442724,6
0.4316131,6
