Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
105,107,AdaBoost_Hard_Run_2,0.5016512343734291,0.502334738297323,1000,1341,0.5728321230243486,604610,1000,106140,1816,0.6448863636363636,0.016821668086998406,0.009263033087554188
106,108,AdaBoost_Medium_Run_2,0.5005886877447232,0.5009637513027853,1000,1008,0.50199203187251,604610,1000,106770,1186,0.5425434583714547,0.010985957241839268,0.009263033087554188
106,108,AdaBoost_Easy_Run_2,0.4986844664150306,0.4989003861437043,1971,1002,0.33703329969727547,603855,1755,106956,1000,0.3629764065335753,0.009263033087554188,0.0162566230686576
9,11,BalBag_Hard_Run_2,0.9,0.9833333333333334,8659,10565,0.5495734498543488,602144,3466,101272,6684,0.6585221674876848,0.061914113157212194,0.03210567268146282
22,24,BalBag_Medium_Run_2,0.9,0.9923076923076924,11277,8233,0.42198872373141977,601467,4143,103372,4584,0.5252664145754555,0.0424617436733484,0.038376746081737
103,105,BalBag_Easy_Run_2,0.9433333333333334,0.9798076923076924,1351,1001,0.4255952380952381,604561,1049,106904,1052,0.5007139457401237,0.009744710808107007,0.009716921708844344
55,64,BRFC_alpha_0_5_Hard_Run_2,0.82,0.8299999999999998,1335,1656,0.5536609829488466,596247,9363,89318,18638,0.6656190850326774,0.17264441068583497,0.08672977879876986
90,92,BRFC_alpha_0_5_Medium_Run_2,0.93,0.9499999999999998,1025,1349,0.5682392586352149,604451,1159,105868,2088,0.6430551278102864,0.019341213086813146,0.010735855348475305
106,108,BRFC_alpha_0_5_Easy_Run_2,0.9276222943722944,0.9523333333333333,1200,1000,0.45454545454545453,604607,1003,106818,1138,0.5315273236805231,0.010541331653636667,0.00929082218681685
57,65,BRFC_alpha_balanced_Hard_Run_2,0.82,0.8298799705734495,1210,1623,0.5728909283445112,596614,8996,90078,17878,0.665252660564114,0.1656045055392938,0.08333024565563749
93,95,BRFC_alpha_balanced_Medium_Run_2,0.94,0.9599459762761042,1220,1339,0.5232512700273544,604528,1082,106330,1626,0.6004431314623339,0.015061691800363111,0.010022601800733633
106,108,BRFC_alpha_balanced_Easy_Run_2,0.9762344261500958,0.9845155956186272,1258,1000,0.4428697962798937,604610,1000,106875,1081,0.5194617972128784,0.010013338767646079,0.009263033087554188
92,94,EEC_Hard_Run_2,0.5584905540494359,0.5671396925429912,1042,1018,0.4941747572815534,604526,1084,106401,1555,0.5892383478590375,0.014404016451146763,0.010041127866908741
90,92,EEC_Medium_Run_2,0.5466740714493928,0.550233338152863,1114,1000,0.47303689687795647,604609,1001,106930,1026,0.5061667488899853,0.009503871947830598,0.009272296120641742
94,96,EEC_Easy_Run_2,0.5294285016478805,0.5315052087319199,2195,1004,0.31384807752422633,603695,1915,106882,1074,0.3593174974907996,0.0099484975360332,0.01773870836266627
96,102,KBFC_alpha_0_5_gamma_0_0_Hard_Run_2,0.57904446,0.6019566,1000,1304,0.5659722222222222,600610,5000,97696,10260,0.672346002621232,0.09503871947830597,0.04631516543777094
106,108,KBFC_alpha_0_5_gamma_0_0_Medium_Run_2,0.58847344,0.6304282,1000,1218,0.5491433724075744,604610,1000,106438,1518,0.6028594122319301,0.014061284226907259,0.009263033087554188
106,108,KBFC_alpha_0_5_gamma_0_0_Easy_Run_2,0.38361287,0.41110444,1806,1000,0.3563791874554526,603986,1624,106956,1000,0.38109756097560976,0.009263033087554188,0.015043165734188003
97,103,KBFC_alpha_balanced_gamma_0_0_Hard_Run_2,0.8930262,0.9021923,1000,1418,0.586435070306038,600610,5000,98150,9806,0.6622990679454275,0.09083330245655638,0.04631516543777094
106,108,KBFC_alpha_balanced_gamma_0_0_Medium_Run_2,0.8840182,0.90052426,1000,1215,0.5485327313769752,604610,1000,106561,1395,0.5824634655532359,0.012921931157138094,0.009263033087554188
