,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,TP_10,FP_10,Prec_10,TP_20,FP_20,Prec_20,TP_50,FP_50,Prec_50,TP_100,FP_100,Prec_100,TP_200,FP_200,Prec_200,TP_500,FP_500,Prec_500,TP_1000,FP_1000,Prec_1000,TP_2000,FP_2000,Prec_2000,mProb,Pos_1,Neg_1,mProb_1,Pos_10,Neg_10,mProb_10,Pos_20,Neg_20,mProb_20,Pos_50,Neg_50,mProb_50,Pos_100,Neg_100,mProb_100,Pos_200,Neg_200,mProb_200,Pos_500,Neg_500,mProb_500,Pos_1000,Neg_1000,mProb_1000,Pos_2000,Neg_2000,mProb_2000
0,0.1004,0,5,0,5,605605,0,107956,5.609739152988254,0.15129190076251364,107956.0,605605.0,0.15129190076251364,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,0.1005,0,2,0,7,605603,0,107956,5.609720626922079,0.15129232481126298,107956.0,605603.0,0.15129232481126298,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,0.1006,0,2,0,9,605601,0,107956,5.6097021008559045,0.15129274886238941,107956.0,605601.0,0.15129274886238941,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,0.1007,0,1,0,10,605600,0,107956,5.609692837822816,0.15129296088884403,107956.0,605600.0,0.15129296088884403,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,0.1009,0,8,0,18,605592,0,107956,5.609618733558117,0.15129465712187548,107956.0,605592.0,0.15129465712187548,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,0.101,0,1,0,19,605591,0,107956,5.609609470525029,0.15129486915367873,107956.0,605591.0,0.15129486915367873,107956.0,605590.8,0.15129491156011068,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,
6,0.1011,0,5,0,24,605586,0,107956,5.609563155359591,0.15129592932160965,107956.0,605586.0,0.15129592932160965,107956.0,605587.2,0.15129567487995121,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.0,0.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,
7,0.1012,0,8,0,32,605578,0,107956,5.609489051094891,0.15129762562120375,107956.0,605578.0,0.15129762562120375,107956.0,605583.7,0.15129641700384716,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,0.0,0.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,
8,0.1013,0,1,0,33,605577,0,107956,5.609479788061803,0.1512978376613275,107956.0,605577.0,0.1512978376613275,107956.0,605579.6,0.15129728635824197,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,41.0,0.0,,,,,,,,,,,,,,,,,,,,,
9,0.1014,0,2,0,35,605575,0,107956,5.6094612619956274,0.15129826174335803,107956.0,605575.0,0.15129826174335803,107956.0,605570.8,0.15129915232336053,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,88.0,0.0,,,,,,,,,,,,,,,,,,,,,
10,0.1015,0,6,0,41,605569,0,107956,5.609405683797102,0.15129953400371396,107956.0,605569.0,0.15129953400371396,107956.0,605562.4,0.15130093351481896,107955.45,605514.05,0.15131053254553978,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,0.0,0.0,84.0,0.0,6.0,431.0,0.013729977116704805,,,,,,,,,,,,,,,,,,
11,0.1016,0,1,0,42,605568,0,107956,5.609396420764015,0.15129974604918686,107956.0,605568.0,0.15129974604918686,107955.9,605548.9,0.15130367728430136,107955.15,605489.15,0.1513154565815439,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,135.0,0.007352941176470588,6.0,498.0,0.011904761904761904,,,,,,,,,,,,,,,,,,
12,0.1017,0,8,0,50,605560,0,107956,5.6093223164993145,0.15130144243436727,107956.0,605560.0,0.15130144243436727,107955.8,605531.3,0.15130729062936105,107954.85,605462.95,0.15132065670354736,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,0.0,1.0,176.0,0.005649717514124294,6.0,524.0,0.011320754716981131,,,,,,,,,,,,,,,,,,
13,0.1018,0,48,0,98,605512,0,107956,5.608877690911112,0.15131162154434397,107956.0,605512.0,0.15131162154434397,107955.7,605512.0,0.15131126468654432,107954.5,605434.45,0.15132628561179706,,,,,,,,,,,,,,,,,,,0.0,0.0,48.0,0.0,1.0,193.0,0.005154639175257732,7.0,570.0,0.012131715771230503,,,,,,,,,,,,,,,,,,
14,0.1019,0,4,0,102,605508,0,107956,5.608840638778762,0.1513124698653331,107956.0,605508.0,0.1513124698653331,107955.5,605476.9,0.1513184710983129,107954.15,605402.4,0.1513326680746115,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,2.0,351.0,0.0056657223796034,7.0,641.0,0.010802469135802469,,,,,,,,,,,,,,,,,,
15,0.102,1,52,1,154,605456,1,107955,5.608358961058209,0.15132230929996873,107955.0,605456.0,0.15132230929996873,107954.9,605437.3,0.1513261569162096,107953.7,605362.15,0.15134067187768224,,,,,,,,,,,,,,,,,,,0.018867924528301886,1.0,52.0,0.018867924528301886,6.0,396.0,0.014925373134328358,9.0,805.0,0.011056511056511056,,,,,,,,,,,,,,,,,,
16,0.1021,0,46,0,200,605410,1,107955,5.607932861536181,0.15133206703440735,107955.0,605410.0,0.15133206703440735,107954.3,605391.1,0.15133524376830634,107953.2,605320.8,0.151348850511865,,,,,,,,,,,,,,,,,,,0.0,0.0,46.0,0.0,6.0,462.0,0.01282051282051282,10.0,827.0,0.011947431302270013,,,,,,,,,,,,,,,,,,
17,0.1022,0,25,0,225,605385,1,107955,5.607701285708993,0.1513373706787787,107955.0,605385.0,0.1513373706787787,107953.7,605342.2,0.15134490468822268,107952.7,605277.1,0.15135752880768583,,,,,,,,,,,,,,,,,,,0.0,0.0,25.0,0.0,6.0,489.0,0.012121212121212121,10.0,874.0,0.011312217194570135,,,,,,,,,,,,,,,,,,
18,0.1023,1,159,1,384,605226,2,107954,5.606228463448072,0.1513699206371463,107954.0,605226.0,0.1513699206371463,107953.0,605289.3,0.15135529679044554,107952.15,605228.95,0.15136709315488028,,,,,,,,,,,,,,,,,,,0.00625,1.0,159.0,0.00625,7.0,529.0,0.013059701492537313,11.0,963.0,0.011293634496919919,,,,,,,,,,,,,,,,,,
19,0.1024,4,47,4,431,605179,6,107950,5.6057931008929565,0.1513751368966905,107950.0,605179.0,0.1513751368966905,107952.3,605234.0,0.15136619982745042,107951.5,605174.95,0.15137778159820045,,,,,,,,,,,,,,,,,,,0.0784313725490196,4.0,47.0,0.0784313725490196,7.0,553.0,0.0125,13.0,1080.0,0.011893870082342177,,,,,,,,,,,,,,,,,,
20,0.1025,0,72,0,503,605107,6,107950,5.605126162510652,0.15139042180358653,107950.0,605107.0,0.15139042180358653,107951.4,605161.9,0.15138043281481356,107950.85,605115.75,0.15138957567217426,,,,,,,,,,,,,,,,,,,0.0,0.0,72.0,0.0,9.0,721.0,0.012328767123287671,13.0,1184.0,0.01086048454469507,,,,,,,,,,,,,,,,,,
21,0.1026,0,28,0,531,605079,6,107950,5.604866797584201,0.15139636676769108,107950.0,605079.0,0.15139636676769108,107950.5,605092.7,0.15139405298304506,107950.15,605051.2,0.151402448256234,,,,,,,,,,,,,,,,,,,0.0,0.0,28.0,0.0,9.0,692.0,0.012838801711840228,14.0,1291.0,0.010727969348659003,,,,,,,,,,,,,,,,,,
22,0.1027,1,48,1,579,605031,7,107949,5.604422171995998,0.15140536901455862,107949.0,605031.0,0.15140536901455862,107949.6,605022.9,0.15140780324626826,107949.4,604983.75,0.15141587959544311,,,,,,,,,,,,,,,,,,,0.02040816326530612,1.0,48.0,0.02040816326530612,9.0,698.0,0.01272984441301273,15.0,1349.0,0.010997067448680353,,,,,,,,,,,,,,,,,,
23,0.1028,0,72,0,651,604959,7,107949,5.603755233613694,0.15142066016933461,107949.0,604959.0,0.15142066016933461,107948.6,604945.9,0.1514229665118752,107948.6,604909.85,0.1514306241302183,,,,,,,,,,,,,,,,,,,0.0,0.0,72.0,0.0,10.0,770.0,0.01282051282051282,16.0,1478.0,0.0107095046854083,,,,,,,,,,,,,,,,,,
24,0.1029,2,172,2,823,604787,9,107947,5.602161991922635,0.15145482045194983,107947.0,604787.0,0.15145482045194983,107947.5,604873.0,0.1514371430114594,107947.8,604831.1,0.1514464022433885,,,,,,,,,,,,,,,,,,,0.011494252873563218,2.0,172.0,0.011494252873563218,11.0,729.0,0.014864864864864866,16.0,1575.0,0.01005656819610308,,,,,,,,,,,,,,,,,,
25,0.103,1,23,1,846,604764,10,107946,5.601948942161622,0.15145851748958203,107946.0,604764.0,0.15145851748958203,107946.8,604794.2,0.15145305237105766,107947.0,604750.15,0.1514626514221363,107946.22,604567.94,0.15150045579445048,,,,,,,,,,,,,,,,0.041666666666666664,1.0,23.0,0.041666666666666664,7.0,788.0,0.00880503144654088,16.0,1619.0,0.009785932721712538,25.0,2641.0,0.009377344336084021,,,,,,,,,,,,,,,
26,0.1031,0,52,0,898,604712,10,107946,5.601467264441069,0.15146956885350335,107946.0,604712.0,0.15146956885350335,107946.0,604711.3,0.15146971763286504,107946.25,604667.75,0.15147927208839568,107945.72,604514.86,0.15151114746587102,,,,,,,,,,,,,,,,0.0,0.0,52.0,0.0,8.0,829.0,0.009557945041816009,15.0,1648.0,0.009019843656043296,25.0,2654.0,0.00933184023889511,,,,,,,,,,,,,,,
27,0.1032,1,97,1,995,604615,11,107945,5.6005687502315755,0.1514889974177613,107945.0,604615.0,0.1514889974177613,107945.1,604625.3,0.15148692676541153,107945.5,604585.05,0.15149596041881994,107945.22,604461.04,0.15152199813628814,,,,,,,,,,,,,,,,0.01020408163265306,1.0,97.0,0.01020408163265306,9.0,860.0,0.010356731875719217,15.0,1654.0,0.008987417615338526,25.0,2691.0,0.009204712812960236,,,,,,,,,,,,,,,
