,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.498984,0.499498,"28,451",413,0.0143,"28,451","577,159",413,"107,543",0.1571,0.9962,5.3462
1,0.499498,0.499597,"39,550","1,000",0.0247,"68,001","537,609","1,413","106,543",0.1654,0.9869,4.9799
2,0.499597,0.499646,"28,415","1,000",0.0340,"96,416","509,194","2,413","105,543",0.1717,0.9776,4.7167
3,0.499646,0.499682,"24,675","1,000",0.0389,"121,091","484,519","3,413","104,543",0.1775,0.9684,4.4881
4,0.499682,0.499709,"20,734","1,000",0.0460,"141,825","463,785","4,413","103,543",0.1825,0.9591,4.2961
5,0.499709,0.499729,"17,111","1,000",0.0552,"158,936","446,674","5,413","102,543",0.1867,0.9499,4.1376
6,0.499729,0.499749,"16,848","1,000",0.0560,"175,784","429,826","6,413","101,543",0.1911,0.9406,3.9815
7,0.499749,0.499765,"15,365","1,000",0.0611,"191,149","414,461","7,413","100,543",0.1952,0.9313,3.8392
8,0.499765,0.499781,"14,672","1,000",0.0638,"205,821","399,789","8,413","99,543",0.1994,0.9221,3.7033
9,0.499781,0.499795,"13,714","1,000",0.0680,"219,535","386,075","9,413","98,543",0.2033,0.9128,3.5762
10,0.499795,0.499807,"12,321","1,000",0.0751,"231,856","373,754","10,413","97,543",0.2070,0.9035,3.4621
11,0.499807,0.499819,"11,752","1,000",0.0784,"243,608","362,002","11,413","96,543",0.2105,0.8943,3.3532
12,0.499819,0.499830,"11,394","1,000",0.0807,"255,002","350,608","12,413","95,543",0.2141,0.8850,3.2477
13,0.499830,0.499841,"10,548","1,000",0.0866,"265,550","340,060","13,413","94,543",0.2175,0.8758,3.1500
14,0.499841,0.499851,"9,989","1,000",0.0910,"275,539","330,071","14,413","93,543",0.2208,0.8665,3.0575
15,0.499851,0.499860,"10,224","1,000",0.0891,"285,763","319,847","15,413","92,543",0.2244,0.8572,2.9628
16,0.499860,0.499869,"9,045","1,000",0.0996,"294,808","310,802","16,413","91,543",0.2275,0.8480,2.8790
17,0.499869,0.499878,"8,518","1,000",0.1051,"303,326","302,284","17,413","90,543",0.2305,0.8387,2.8001
18,0.499878,0.499886,"8,935","1,000",0.1007,"312,261","293,349","18,413","89,543",0.2339,0.8294,2.7173
19,0.499886,0.499894,"8,502","1,000",0.1052,"320,763","284,847","19,413","88,543",0.2371,0.8202,2.6385
20,0.499894,0.499902,"8,260","1,000",0.1080,"329,023","276,587","20,413","87,543",0.2404,0.8109,2.5620
21,0.499902,0.499910,"7,591","1,000",0.1164,"336,614","268,996","21,413","86,543",0.2434,0.8017,2.4917
22,0.499910,0.499917,"6,804","1,000",0.1281,"343,418","262,192","22,413","85,543",0.2460,0.7924,2.4287
23,0.499917,0.499924,"7,031","1,000",0.1245,"350,449","255,161","23,413","84,543",0.2489,0.7831,2.3636
24,0.499924,0.499931,"7,592","1,000",0.1164,"358,041","247,569","24,413","83,543",0.2523,0.7739,2.2932
25,0.499931,0.499938,"6,558","1,000",0.1323,"364,599","241,011","25,413","82,543",0.2551,0.7646,2.2325
26,0.499938,0.499945,"6,474","1,000",0.1338,"371,073","234,537","26,413","81,543",0.2580,0.7553,2.1725
27,0.499945,0.499952,"6,793","1,000",0.1283,"377,866","227,744","27,413","80,543",0.2613,0.7461,2.1096
28,0.499952,0.499958,"6,353","1,000",0.1360,"384,219","221,391","28,413","79,543",0.2643,0.7368,2.0508
29,0.499958,0.499965,"6,063","1,000",0.1416,"390,282","215,328","29,413","78,543",0.2673,0.7275,1.9946
30,0.499965,0.499971,"5,732","1,000",0.1485,"396,014","209,596","30,413","77,543",0.2701,0.7183,1.9415
31,0.499971,0.499977,"6,040","1,000",0.1420,"402,054","203,556","31,413","76,543",0.2733,0.7090,1.8855
