Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
1266,AdaBoost_Hard_Run_2_Round_5,mProb_1,Min,0.49943,0.50499,0.005560000000000065,0.49943,109.0,111.0,0.5045454545454545,590307,15303,92704,15252,0.14175219533884176
1805,AdaBoost_Hard_Run_2_Round_5,mProb_1,Max,0.49943,0.50499,0.005560000000000065,0.50499,1.0,1.0,0.5,605602,8,107919,37,7.410426470043351e-05
1329,AdaBoost_Hard_Run_2_Round_5,mProb_10,Min,0.50006,0.50155,0.0014900000000001024,0.50006,772.0,746.0,0.4914361001317523,596641,8969,97742,10214,0.08308014376227352
1478,AdaBoost_Hard_Run_2_Round_5,mProb_10,Max,0.50006,0.50155,0.0014900000000001024,0.50155,233.0,238.0,0.505307855626327,603392,2218,104558,3398,0.02054540738819519
1354,AdaBoost_Hard_Run_2_Round_5,mProb_20,Min,0.50031,0.50095,0.0006399999999999739,0.50031,1256.0,1210.0,0.4906731549067315,598389,7221,99424,8532,0.0668883619252288
1418,AdaBoost_Hard_Run_2_Round_5,mProb_20,Max,0.50031,0.50095,0.0006399999999999739,0.50095,786.0,814.0,0.50875,601675,3935,102582,5374,0.036450035199525735
1368,AdaBoost_Hard_Run_2_Round_5,mProb_50,Min,0.50045,0.50092,0.00047000000000008146,0.50045,2908.0,2818.0,0.4921411107230178,599270,6340,100217,7739,0.058727629775093555
1415,AdaBoost_Hard_Run_2_Round_5,mProb_50,Max,0.50045,0.50092,0.00047000000000008146,0.50092,1988.0,2055.0,0.5082859262923571,601540,4070,102442,5514,0.03770054466634555
1375,AdaBoost_Hard_Run_2_Round_5,mProb_100,Min,0.50052,0.50091,0.00039000000000000146,0.50052,5626.0,5419.0,0.4906292440018108,599693,5917,100604,7352,0.054809366779058136
1414,AdaBoost_Hard_Run_2_Round_5,mProb_100,Max,0.50052,0.50091,0.00039000000000000146,0.50091,4072.0,4230.0,0.5095157793302819,601503,4107,102386,5570,0.03804327689058505
1394,AdaBoost_Hard_Run_2_Round_5,mProb_200,Min,0.50071,0.50113,0.00041999999999997595,0.50071,10278.0,9875.0,0.4900014886121173,600642,4968,101539,6417,0.04601874837896921
1436,AdaBoost_Hard_Run_2_Round_5,mProb_200,Max,0.50071,0.50113,0.00041999999999997595,0.50113,7304.0,7581.0,0.5093046691299966,602291,3319,103273,4683,0.030744006817592352
1499,AdaBoost_Hard_Run_2_Round_5,mProb_500,Min,0.50176,0.50215,0.00039000000000000146,0.50176,17649.0,16976.0,0.4902815884476534,603835,1775,105081,2875,0.016441883730408686
1538,AdaBoost_Hard_Run_2_Round_5,mProb_500,Max,0.50176,0.50215,0.00039000000000000146,0.50215,12803.0,13317.0,0.5098392036753445,604436,1174,105850,2106,0.010874800844788618
1012,AdaBoost_Medium_Run_2_Round_5,mProb_1,Min,0.49953,0.50264,0.0031100000000000017,0.49953,77.0,75.0,0.4934210526315789,597338,8272,100217,7739,0.07662380970024825
1316,AdaBoost_Medium_Run_2_Round_5,mProb_1,Max,0.49953,0.50264,0.0031100000000000017,0.50264,1.0,1.0,0.5,605606,4,107941,15,3.7052132350216754e-05
