,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0049,"4,940",204,0.0397,"4,940","600,670",204,"107,752",0.1521,0.9981,5.5640
1,0.0050,0.0328,"7,721",406,0.0500,"12,661","592,949",610,"107,346",0.1533,0.9943,5.4925
2,0.0329,0.0569,"6,184",400,0.0608,"18,845","586,765","1,010","106,946",0.1542,0.9906,5.4352
3,0.0569,0.0791,"6,342",400,0.0593,"25,187","580,423","1,410","106,546",0.1551,0.9869,5.3765
4,0.0791,0.0978,"5,985",400,0.0626,"31,172","574,438","1,810","106,146",0.1560,0.9832,5.3210
5,0.0978,0.1151,"6,840",401,0.0554,"38,012","567,598","2,211","105,745",0.1570,0.9795,5.2577
6,0.1151,0.1323,"6,821",402,0.0557,"44,833","560,777","2,613","105,343",0.1581,0.9758,5.1945
7,0.1324,0.1451,"5,785",400,0.0647,"50,618","554,992","3,013","104,943",0.1590,0.9721,5.1409
8,0.1451,0.1574,"5,792",403,0.0651,"56,410","549,200","3,416","104,540",0.1599,0.9684,5.0873
9,0.1574,0.1684,"5,783",400,0.0647,"62,193","543,417","3,816","104,140",0.1608,0.9647,5.0337
10,0.1684,0.1783,"5,673",400,0.0659,"67,866","537,744","4,216","103,740",0.1617,0.9609,4.9811
11,0.1783,0.1872,"5,837",400,0.0641,"73,703","531,907","4,616","103,340",0.1627,0.9572,4.9271
12,0.1873,0.1957,"6,453",400,0.0584,"80,156","525,454","5,016","102,940",0.1638,0.9535,4.8673
13,0.1957,0.2039,"5,290",400,0.0703,"85,446","520,164","5,416","102,540",0.1647,0.9498,4.8183
14,0.2039,0.2111,"5,441",400,0.0685,"90,887","514,723","5,816","102,140",0.1656,0.9461,4.7679
15,0.2111,0.2180,"5,099",400,0.0727,"95,986","509,624","6,216","101,740",0.1664,0.9424,4.7207
16,0.2180,0.2254,"4,943",401,0.0750,"100,929","504,681","6,617","101,339",0.1672,0.9387,4.6749
17,0.2254,0.2324,"5,014",400,0.0739,"105,943","499,667","7,017","100,939",0.1681,0.9350,4.6284
18,0.2324,0.2388,"4,870",401,0.0761,"110,813","494,797","7,418","100,538",0.1689,0.9313,4.5833
19,0.2388,0.2449,"4,363",405,0.0849,"115,176","490,434","7,823","100,133",0.1696,0.9275,4.5429
20,0.2450,0.2517,"5,013",402,0.0742,"120,189","485,421","8,225","99,731",0.1704,0.9238,4.4965
21,0.2517,0.2577,"4,894",400,0.0756,"125,083","480,527","8,625","99,331",0.1713,0.9201,4.4511
22,0.2578,0.2638,"4,566",405,0.0815,"129,649","475,961","9,030","98,926",0.1721,0.9164,4.4088
23,0.2638,0.2700,"4,769",400,0.0774,"134,418","471,192","9,430","98,526",0.1729,0.9126,4.3647
24,0.2700,0.2760,"4,082",400,0.0892,"138,500","467,110","9,830","98,126",0.1736,0.9089,4.3269
25,0.2760,0.2812,"4,279",401,0.0857,"142,779","462,831","10,231","97,725",0.1743,0.9052,4.2872
26,0.2812,0.2869,"4,642",401,0.0795,"147,421","458,189","10,632","97,324",0.1752,0.9015,4.2442
27,0.2869,0.2916,"4,188",401,0.0874,"151,609","454,001","11,033","96,923",0.1759,0.8978,4.2054
28,0.2916,0.2971,"4,456",402,0.0828,"156,065","449,545","11,435","96,521",0.1768,0.8941,4.1642
29,0.2971,0.3030,"4,444",400,0.0826,"160,509","445,101","11,835","96,121",0.1776,0.8904,4.1230
30,0.3030,0.3082,"4,056",400,0.0898,"164,565","441,045","12,235","95,721",0.1783,0.8867,4.0854
31,0.3082,0.3130,"4,201",401,0.0871,"168,766","436,844","12,636","95,320",0.1791,0.8830,4.0465
32,0.3130,0.3174,"3,859",400,0.0939,"172,625","432,985","13,036","94,920",0.1798,0.8792,4.0108
33,0.3174,0.3218,"4,050",400,0.0899,"176,675","428,935","13,436","94,520",0.1806,0.8755,3.9732
34,0.3218,0.3259,"3,582",400,0.1005,"180,257","425,353","13,836","94,120",0.1812,0.8718,3.9401
35,0.3259,0.3305,"3,728",400,0.0969,"183,985","421,625","14,236","93,720",0.1819,0.8681,3.9055
36,0.3305,0.3353,"4,094",401,0.0892,"188,079","417,531","14,637","93,319",0.1827,0.8644,3.8676
