,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.00000,0.02833,"2,523",16,0.0063,"2,523","603,087",16,"107,940",0.1518,0.9999,5.5864
1,0.03000,0.05917,"6,480",61,0.0093,"9,003","596,607",77,"107,879",0.1531,0.9993,5.5264
2,0.06000,0.07917,"7,200",85,0.0117,"16,203","589,407",162,"107,794",0.1546,0.9985,5.4597
3,0.08000,0.09000,"4,495",59,0.0130,"20,698","584,912",221,"107,735",0.1555,0.9980,5.4181
4,0.09000,0.09917,"5,241",73,0.0137,"25,939","579,671",294,"107,662",0.1566,0.9973,5.3695
5,0.10000,0.10900,"5,687",71,0.0123,"31,626","573,984",365,"107,591",0.1579,0.9966,5.3168
6,0.11000,0.11857,"6,290",91,0.0143,"37,916","567,694",456,"107,500",0.1592,0.9958,5.2586
7,0.12000,0.12917,"6,782",110,0.0160,"44,698","560,912",566,"107,390",0.1607,0.9948,5.1957
8,0.13000,0.14000,"7,256",131,0.0177,"51,954","553,656",697,"107,259",0.1623,0.9935,5.1285
9,0.14000,0.14933,"7,726",144,0.0183,"59,680","545,930",841,"107,115",0.1640,0.9922,5.0570
10,0.15000,0.16000,"8,112",178,0.0215,"67,792","537,818","1,019","106,937",0.1659,0.9906,4.9818
11,0.16000,0.16933,"8,624",198,0.0224,"76,416","529,194","1,217","106,739",0.1678,0.9887,4.9019
12,0.17000,0.18000,"8,892",219,0.0240,"85,308","520,302","1,436","106,520",0.1699,0.9867,4.8196
13,0.18000,0.19000,"9,222",237,0.0251,"94,530","511,080","1,673","106,283",0.1722,0.9845,4.7342
14,0.19000,0.19917,"9,597",257,0.0261,"104,127","501,483","1,930","106,026",0.1745,0.9821,4.6453
15,0.20000,0.21000,"9,974",330,0.0320,"114,101","491,509","2,260","105,696",0.1770,0.9791,4.5529
16,0.21000,0.22000,"9,920",335,0.0327,"124,021","481,589","2,595","105,361",0.1795,0.9760,4.4610
17,0.22000,0.22875,"10,236",384,0.0362,"134,257","471,353","2,979","104,977",0.1821,0.9724,4.3662
18,0.23000,0.23917,"10,705",377,0.0340,"144,962","460,648","3,356","104,600",0.1851,0.9689,4.2670
19,0.24000,0.24933,"10,816",430,0.0382,"155,778","449,832","3,786","104,170",0.1880,0.9649,4.1668
20,0.25000,0.26000,"10,828",438,0.0389,"166,606","439,004","4,224","103,732",0.1911,0.9609,4.0665
21,0.26000,0.26967,"11,127",483,0.0416,"177,733","427,877","4,707","103,249",0.1944,0.9564,3.9634
22,0.27000,0.27950,"11,119",532,0.0457,"188,852","416,758","5,239","102,717",0.1977,0.9515,3.8604
23,0.28000,0.28933,"11,423",586,0.0488,"200,275","405,335","5,825","102,131",0.2013,0.9460,3.7546
24,0.29000,0.29950,"11,596",564,0.0464,"211,871","393,739","6,389","101,567",0.2051,0.9408,3.6472
25,0.30000,0.31000,"11,704",635,0.0515,"223,575","382,035","7,024","100,932",0.2090,0.9349,3.5388
26,0.31000,0.32000,"11,605",710,0.0577,"235,180","370,430","7,734","100,222",0.2129,0.9284,3.4313
27,0.32000,0.32167,"10,795",695,0.0605,"245,975","359,635","8,429","99,527",0.2168,0.9219,3.3313
28,0.32167,0.33000,817,50,0.0577,"246,792","358,818","8,479","99,477",0.2171,0.9215,3.3237
29,0.33000,0.34000,"11,635",815,0.0655,"258,427","347,183","9,294","98,662",0.2213,0.9139,3.2160
30,0.34000,0.34300,"10,846",802,0.0689,"269,273","336,337","10,096","97,860",0.2254,0.9065,3.1155
31,0.34333,0.34967,731,53,0.0676,"270,004","335,606","10,149","97,807",0.2257,0.9060,3.1087
32,0.35000,0.35300,"11,071",824,0.0693,"281,075","324,535","10,973","96,983",0.2301,0.8984,3.0062
33,0.35333,0.36000,766,52,0.0636,"281,841","323,769","11,025","96,931",0.2304,0.8979,2.9991
34,0.36000,0.36300,"10,814",824,0.0708,"292,655","312,955","11,849","96,107",0.2349,0.8902,2.8989
35,0.36333,0.36988,816,54,0.0621,"293,471","312,139","11,903","96,053",0.2353,0.8897,2.8914
36,0.37000,0.37450,"10,936",984,0.0826,"304,407","301,203","12,887","95,069",0.2399,0.8806,2.7901
37,0.37500,0.37967,608,57,0.0857,"305,015","300,595","12,944","95,012",0.2402,0.8801,2.7844
38,0.38000,0.38300,"10,715",957,0.0820,"315,730","289,880","13,901","94,055",0.2450,0.8712,2.6852
39,0.38333,0.38933,784,60,0.0711,"316,514","289,096","13,961","93,995",0.2454,0.8707,2.6779
40,0.39000,0.39467,"10,750","1,011",0.0860,"327,264","278,346","14,972","92,984",0.2504,0.8613,2.5783
41,0.39500,0.40000,634,62,0.0891,"327,898","277,712","15,034","92,922",0.2507,0.8607,2.5725
42,0.40000,0.40467,"10,774","1,100",0.0926,"338,672","266,938","16,134","91,822",0.2559,0.8506,2.4727
43,0.40500,0.41000,632,53,0.0774,"339,304","266,306","16,187","91,769",0.2563,0.8501,2.4668
44,0.41000,0.41500,"10,744","1,118",0.0943,"350,048","255,562","17,305","90,651",0.2618,0.8397,2.3673
45,0.41500,0.41983,695,68,0.0891,"350,743","254,867","17,373","90,583",0.2622,0.8391,2.3608
46,0.42000,0.42467,"10,310","1,167",0.1017,"361,053","244,557","18,540","89,416",0.2677,0.8283,2.2653
47,0.42500,0.43000,662,59,0.0818,"361,715","243,895","18,599","89,357",0.2681,0.8277,2.2592
48,0.43000,0.43500,"10,245","1,198",0.1047,"371,960","233,650","19,797","88,159",0.2739,0.8166,2.1643
49,0.43500,0.44000,624,73,0.1047,"372,584","233,026","19,870","88,086",0.2743,0.8159,2.1585
50,0.44000,0.44500,"10,051","1,259",0.1113,"382,635","222,975","21,129","86,827",0.2803,0.8043,2.0654
51,0.44500,0.45000,615,53,0.0793,"383,250","222,360","21,182","86,774",0.2807,0.8038,2.0597
52,0.45000,0.45483,"9,915","1,313",0.1169,"393,165","212,445","22,495","85,461",0.2869,0.7916,1.9679
53,0.45500,0.45650,315,53,0.1440,"393,480","212,130","22,548","85,408",0.2870,0.7911,1.9650
54,0.45667,0.45952,248,52,0.1733,"393,728","211,882","22,600","85,356",0.2872,0.7907,1.9627
55,0.46000,0.46500,"9,630","1,333",0.1216,"403,358","202,252","23,933","84,023",0.2935,0.7783,1.8735
56,0.46500,0.47000,623,86,0.1213,"403,981","201,629","24,019","83,937",0.2939,0.7775,1.8677
57,0.47000,0.47467,"9,418","1,417",0.1308,"413,399","192,211","25,436","82,520",0.3004,0.7644,1.7805
58,0.47500,0.48000,601,86,0.1252,"414,000","191,610","25,522","82,434",0.3008,0.7636,1.7749
59,0.48000,0.48467,"9,319","1,467",0.1360,"423,319","182,291","26,989","80,967",0.3076,0.7500,1.6886
60,0.48500,0.48952,615,78,0.1126,"423,934","181,676","27,067","80,889",0.3081,0.7493,1.6829
61,0.49000,0.49467,"9,156","1,484",0.1395,"433,090","172,520","28,551","79,405",0.3152,0.7355,1.5981
62,0.49500,0.49933,552,94,0.1455,"433,642","171,968","28,645","79,311",0.3156,0.7347,1.5929
63,0.50000,0.50433,"8,867","1,583",0.1515,"442,509","163,101","30,228","77,728",0.3228,0.7200,1.5108
64,0.50500,0.51000,551,78,0.1240,"443,060","162,550","30,306","77,650",0.3233,0.7193,1.5057
65,0.51000,0.51483,"8,612","1,585",0.1554,"451,672","153,938","31,891","76,065",0.3307,0.7046,1.4259
66,0.51500,0.52000,559,97,0.1479,"452,231","153,379","31,988","75,968",0.3312,0.7037,1.4208
67,0.52000,0.52500,"8,135","1,632",0.1671,"460,366","145,244","33,620","74,336",0.3385,0.6886,1.3454
68,0.52500,0.52979,532,91,0.1461,"460,898","144,712","33,711","74,245",0.3391,0.6877,1.3405
69,0.53000,0.53467,"7,971","1,631",0.1699,"468,869","136,741","35,342","72,614",0.3468,0.6726,1.2666
70,0.53500,0.53625,326,55,0.1444,"469,195","136,415","35,397","72,559",0.3472,0.6721,1.2636
71,0.53667,0.54000,186,52,0.2185,"469,381","136,229","35,449","72,507",0.3474,0.6716,1.2619
72,0.54000,0.54500,"7,694","1,665",0.1779,"477,075","128,535","37,114","70,842",0.3553,0.6562,1.1906
73,0.54500,0.54988,483,100,0.1715,"477,558","128,052","37,214","70,742",0.3559,0.6553,1.1861
74,0.55000,0.55125,"7,222","1,611",0.1824,"484,780","120,830","38,825","69,131",0.3639,0.6404,1.1193
75,0.55167,0.55464,202,50,0.1984,"484,982","120,628","38,875","69,081",0.3641,0.6399,1.1174
76,0.55500,0.56000,495,103,0.1722,"485,477","120,133","38,978","68,978",0.3647,0.6389,1.1128
77,0.56000,0.56067,"7,085","1,773",0.2002,"492,562","113,048","40,751","67,205",0.3728,0.6225,1.0472
78,0.56083,0.56464,174,50,0.2232,"492,736","112,874","40,801","67,155",0.3730,0.6221,1.0456
79,0.56500,0.56583,251,56,0.1824,"492,987","112,623","40,857","67,099",0.3733,0.6215,1.0432
80,0.56600,0.56967,216,53,0.1970,"493,203","112,407","40,910","67,046",0.3736,0.6210,1.0412
81,0.57000,0.57233,"6,823","1,705",0.1999,"500,026","105,584","42,615","65,341",0.3823,0.6053,0.9780
82,0.57250,0.57483,169,52,0.2353,"500,195","105,415","42,667","65,289",0.3825,0.6048,0.9765
83,0.57500,0.57967,420,114,0.2135,"500,615","104,995","42,781","65,175",0.3830,0.6037,0.9726
84,0.58000,0.58167,"6,529","1,779",0.2141,"507,144","98,466","44,560","63,396",0.3917,0.5872,0.9121
85,0.58200,0.58429,161,51,0.2406,"507,305","98,305","44,611","63,345",0.3919,0.5868,0.9106
86,0.58500,0.58933,430,108,0.2007,"507,735","97,875","44,719","63,237",0.3925,0.5858,0.9066
87,0.59000,0.59100,"6,323","1,859",0.2272,"514,058","91,552","46,578","61,378",0.4013,0.5685,0.8480
88,0.59100,0.59475,169,50,0.2283,"514,227","91,383","46,628","61,328",0.4016,0.5681,0.8465
89,0.59500,0.59650,219,74,0.2526,"514,446","91,164","46,702","61,254",0.4019,0.5674,0.8445
90,0.59667,0.59967,180,57,0.2405,"514,626","90,984","46,759","61,197",0.4021,0.5669,0.8428
91,0.60000,0.60476,"6,140","1,895",0.2358,"520,766","84,844","48,654","59,302",0.4114,0.5493,0.7859
92,0.60500,0.60917,390,100,0.2041,"521,156","84,454","48,754","59,202",0.4121,0.5484,0.7823
93,0.61000,0.61483,"5,832","1,893",0.2450,"526,988","78,622","50,647","57,309",0.4216,0.5309,0.7283
94,0.61500,0.61650,226,76,0.2517,"527,214","78,396","50,723","57,233",0.4220,0.5302,0.7262
95,0.61667,0.62000,161,61,0.2748,"527,375","78,235","50,784","57,172",0.4222,0.5296,0.7247
96,0.62000,0.62167,"5,496","1,798",0.2465,"532,871","72,739","52,582","55,374",0.4322,0.5129,0.6738
97,0.62200,0.62467,131,50,0.2762,"533,002","72,608","52,632","55,324",0.4324,0.5125,0.6726
98,0.62500,0.62600,188,77,0.2906,"533,190","72,420","52,709","55,247",0.4327,0.5118,0.6708
99,0.62667,0.63000,147,50,0.2538,"533,337","72,273","52,759","55,197",0.4330,0.5113,0.6695
100,0.63000,0.63500,"5,274","1,807",0.2552,"538,611","66,999","54,566","53,390",0.4435,0.4946,0.6206
101,0.63500,0.63600,201,53,0.2087,"538,812","66,798","54,619","53,337",0.4440,0.4941,0.6188
102,0.63600,0.63917,146,52,0.2626,"538,958","66,652","54,671","53,285",0.4443,0.4936,0.6174
103,0.64000,0.64050,"4,835","1,799",0.2712,"543,793","61,817","56,470","51,486",0.4544,0.4769,0.5726
104,0.64083,0.64467,154,50,0.2451,"543,947","61,663","56,520","51,436",0.4548,0.4765,0.5712
105,0.64500,0.64933,296,109,0.2691,"544,243","61,367","56,629","51,327",0.4555,0.4754,0.5684
106,0.65000,0.65083,"4,597","1,809",0.2824,"548,840","56,770","58,438","49,518",0.4659,0.4587,0.5259
107,0.65095,0.65429,142,50,0.2604,"548,982","56,628","58,488","49,468",0.4663,0.4582,0.5245
108,0.65500,0.65583,163,80,0.3292,"549,145","56,465","58,568","49,388",0.4666,0.4575,0.5230
109,0.65600,0.65944,148,54,0.2673,"549,293","56,317","58,622","49,334",0.4670,0.4570,0.5217
110,0.66000,0.66167,"4,297","1,800",0.2952,"553,590","52,020","60,422","47,534",0.4775,0.4403,0.4819
111,0.66200,0.66483,112,51,0.3129,"553,702","51,908","60,473","47,483",0.4777,0.4398,0.4808
112,0.66500,0.66664,142,65,0.3140,"553,844","51,766","60,538","47,418",0.4781,0.4392,0.4795
113,0.66667,0.67000,140,51,0.2670,"553,984","51,626","60,589","47,367",0.4785,0.4388,0.4782
114,0.67000,0.67150,"4,015","1,771",0.3061,"557,999","47,611","62,360","45,596",0.4892,0.4224,0.4410
115,0.67167,0.67467,92,54,0.3699,"558,091","47,519","62,414","45,542",0.4894,0.4219,0.4402
116,0.67500,0.67583,132,83,0.3860,"558,223","47,387","62,497","45,459",0.4896,0.4211,0.4389
117,0.67595,0.67983,128,50,0.2809,"558,351","47,259","62,547","45,409",0.4900,0.4206,0.4378
118,0.68000,0.68150,"3,713","1,822",0.3292,"562,064","43,546","64,369","43,587",0.5002,0.4037,0.4034
119,0.68167,0.68433,107,50,0.3185,"562,171","43,439","64,419","43,537",0.5006,0.4033,0.4024
120,0.68500,0.68583,127,63,0.3316,"562,298","43,312","64,482","43,474",0.5009,0.4027,0.4012
121,0.68600,0.68933,109,54,0.3313,"562,407","43,203","64,536","43,420",0.5013,0.4022,0.4002
122,0.69000,0.69067,"3,489","1,734",0.3320,"565,896","39,714","66,270","41,686",0.5121,0.3861,0.3679
123,0.69071,0.69483,82,50,0.3788,"565,978","39,632","66,320","41,636",0.5123,0.3857,0.3671
124,0.69500,0.69983,212,94,0.3072,"566,190","39,420","66,414","41,542",0.5131,0.3848,0.3651
