,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.009000,402,4,0.0099,402,"605,208",4,"107,952",0.1514,1.0000,5.6061
1,0.010000,0.024286,"1,325",31,0.0229,"1,727","603,883",35,"107,921",0.1516,0.9997,5.5938
2,0.025000,0.040000,"1,558",28,0.0177,"3,285","602,325",63,"107,893",0.1519,0.9994,5.5794
3,0.040000,0.047333,"1,408",36,0.0249,"4,693","600,917",99,"107,857",0.1522,0.9991,5.5663
4,0.047500,0.051952,"1,242",26,0.0205,"5,935","599,675",125,"107,831",0.1524,0.9988,5.5548
5,0.052000,0.060000,877,25,0.0277,"6,812","598,798",150,"107,806",0.1526,0.9986,5.5467
6,0.060000,0.063214,"1,268",30,0.0231,"8,080","597,530",180,"107,776",0.1528,0.9983,5.5349
7,0.063333,0.070000,978,29,0.0288,"9,058","596,552",209,"107,747",0.1530,0.9981,5.5259
8,0.070000,0.073274,"1,533",38,0.0242,"10,591","595,019",247,"107,709",0.1533,0.9977,5.5117
9,0.073333,0.080000,"1,191",29,0.0238,"11,782","593,828",276,"107,680",0.1535,0.9974,5.5006
10,0.080000,0.083214,"1,674",51,0.0296,"13,456","592,154",327,"107,629",0.1538,0.9970,5.4851
11,0.083333,0.086548,900,25,0.0270,"14,356","591,254",352,"107,604",0.1540,0.9967,5.4768
12,0.086667,0.090000,548,25,0.0436,"14,904","590,706",377,"107,579",0.1541,0.9965,5.4717
13,0.090000,0.092429,"1,785",52,0.0283,"16,689","588,921",429,"107,527",0.1544,0.9960,5.4552
14,0.092500,0.095833,"1,018",32,0.0305,"17,707","587,903",461,"107,495",0.1546,0.9957,5.4458
15,0.096000,0.100000,689,26,0.0364,"18,396","587,214",487,"107,469",0.1547,0.9955,5.4394
16,0.100000,0.102143,"2,035",66,0.0314,"20,431","585,179",553,"107,403",0.1551,0.9949,5.4205
17,0.102186,0.104452,611,25,0.0393,"21,042","584,568",578,"107,378",0.1552,0.9946,5.4149
18,0.104476,0.106643,755,25,0.0321,"21,797","583,813",603,"107,353",0.1553,0.9944,5.4079
19,0.106667,0.110000,713,31,0.0417,"22,510","583,100",634,"107,322",0.1554,0.9941,5.4013
20,0.110000,0.110750,"1,939",60,0.0300,"24,449","581,161",694,"107,262",0.1558,0.9936,5.3833
21,0.110833,0.113269,465,27,0.0549,"24,914","580,696",721,"107,235",0.1559,0.9933,5.3790
22,0.113333,0.115000,477,28,0.0554,"25,391","580,219",749,"107,207",0.1560,0.9931,5.3746
23,0.115000,0.117452,"1,112",38,0.0330,"26,503","579,107",787,"107,169",0.1562,0.9927,5.3643
24,0.117500,0.120000,506,25,0.0471,"27,009","578,601",812,"107,144",0.1562,0.9925,5.3596
25,0.120000,0.122333,"2,354",77,0.0317,"29,363","576,247",889,"107,067",0.1567,0.9918,5.3378
26,0.122500,0.125000,735,28,0.0367,"30,098","575,512",917,"107,039",0.1568,0.9915,5.3310
27,0.125000,0.127500,"1,259",47,0.0360,"31,357","574,253",964,"106,992",0.1571,0.9911,5.3193
28,0.127500,0.130000,579,28,0.0461,"31,936","573,674",992,"106,964",0.1572,0.9908,5.3140
29,0.130000,0.130714,"2,289",60,0.0255,"34,225","571,385","1,052","106,904",0.1576,0.9903,5.2928
30,0.130833,0.133286,587,29,0.0471,"34,812","570,798","1,081","106,875",0.1577,0.9900,5.2873
31,0.133333,0.135000,611,37,0.0571,"35,423","570,187","1,118","106,838",0.1578,0.9896,5.2817
32,0.135000,0.135690,754,35,0.0444,"36,177","569,433","1,153","106,803",0.1579,0.9893,5.2747
