,0
0.34,4232
0.37,4221
0.29,4195
0.32,4187
0.33,4133
0.36,4119
0.35,4113
0.38,4113
0.3,4090
0.4,4062
0.28,4056
0.31,4055
0.39,4046
0.44,3953
0.42,3938
0.45,3914
0.41,3880
0.25,3879
0.43,3847
0.27,3836
0.26,3819
0.24,3721
0.46,3695
0.23,3686
0.47,3600
0.48,3535
0.22,3534
0.49,3414
0.51,3394
0.21,3313
0.2,3308
0.5,3304
0.53,3247
0.52,3245
0.54,3094
0.19,3077
0.55,3059
0.18,2966
0.17,2937
0.56,2932
0.58,2893
0.57,2794
0.59,2676
0.16,2644
0.6,2551
0.62,2525
0.61,2514
0.64,2464
0.15,2444
0.63,2407
0.14,2336
0.65,2323
0.67,2262
0.13,2260
0.68,2254
0.66,2246
0.69,2145
0.7,2081
0.71,2078
0.73,2041
0.72,2028
0.12,2024
0.78,1958
0.11,1935
0.74,1931
0.76,1923
0.75,1909
0.77,1853
0.79,1832
0.1,1812
0.345,1777
0.8,1753
0.81,1735
0.82,1693
0.405,1684
0.325,1655
0.83,1639
0.385,1635
0.335,1614
0.365,1599
0.09,1594
0.305,1581
0.445,1580
0.375,1579
0.425,1568
0.355,1565
0.84,1561
0.315,1553
0.455,1551
0.295,1547
0.395,1533
0.85,1521
0.415,1495
0.435,1489
0.285,1483
0.265,1448
0.275,1445
0.485,1443
0.465,1424
0.255,1401
