,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.029711,"1,799",32,0.0175,"1,799","603,811",32,"107,924",0.1516,0.9997,5.5931
1,0.030000,0.058871,"4,550",110,0.0236,"6,349","599,261",142,"107,814",0.1525,0.9987,5.5510
2,0.058938,0.074325,"3,988",100,0.0245,"10,337","595,273",242,"107,714",0.1532,0.9978,5.5140
3,0.074346,0.089956,"4,434",100,0.0221,"14,771","590,839",342,"107,614",0.1541,0.9968,5.4730
4,0.090000,0.099961,"3,696",112,0.0294,"18,467","587,143",454,"107,502",0.1548,0.9958,5.4387
5,0.100000,0.109946,"4,113",126,0.0297,"22,580","583,030",580,"107,376",0.1555,0.9946,5.4006
6,0.110000,0.118473,"3,622",127,0.0339,"26,202","579,408",707,"107,249",0.1562,0.9935,5.3671
7,0.118487,0.123845,"3,457",120,0.0335,"29,659","575,951",827,"107,129",0.1568,0.9923,5.3351
8,0.123887,0.129981,"2,557",101,0.0380,"32,216","573,394",928,"107,028",0.1573,0.9914,5.3114
9,0.130000,0.135595,"3,118",123,0.0380,"35,334","570,276","1,051","106,905",0.1579,0.9903,5.2825
10,0.135697,0.139980,"2,511",101,0.0387,"37,845","567,765","1,152","106,804",0.1583,0.9893,5.2592
11,0.140000,0.146504,"3,671",132,0.0347,"41,516","564,094","1,284","106,672",0.1590,0.9881,5.2252
12,0.146516,0.149982,"2,465",100,0.0390,"43,981","561,629","1,384","106,572",0.1595,0.9872,5.2024
13,0.150000,0.156954,"4,286",169,0.0379,"48,267","557,343","1,553","106,403",0.1603,0.9856,5.1627
14,0.156974,0.159968,"2,562",103,0.0386,"50,829","554,781","1,656","106,300",0.1608,0.9847,5.1390
15,0.160000,0.161684,"2,879",117,0.0391,"53,708","551,902","1,773","106,183",0.1614,0.9836,5.1123
16,0.161686,0.167365,"1,924",100,0.0494,"55,632","549,978","1,873","106,083",0.1617,0.9827,5.0945
17,0.167372,0.169957,"2,390",103,0.0413,"58,022","547,588","1,976","105,980",0.1622,0.9817,5.0723
18,0.170000,0.174325,"3,522",132,0.0361,"61,544","544,066","2,108","105,848",0.1629,0.9805,5.0397
19,0.174346,0.177665,"2,024",102,0.0480,"63,568","542,042","2,210","105,746",0.1632,0.9795,5.0210
20,0.177669,0.179991,"2,170",104,0.0457,"65,738","539,872","2,314","105,642",0.1637,0.9786,5.0009
21,0.180000,0.184391,"3,881",196,0.0481,"69,619","535,991","2,510","105,446",0.1644,0.9767,4.9649
22,0.184399,0.187663,"1,993",100,0.0478,"71,612","533,998","2,610","105,346",0.1648,0.9758,4.9464
23,0.187669,0.189998,"2,257",101,0.0428,"73,869","531,741","2,711","105,245",0.1652,0.9749,4.9255
24,0.190000,0.195666,"4,554",220,0.0461,"78,423","527,187","2,931","105,025",0.1661,0.9729,4.8834
25,0.195697,0.197840,"1,924",100,0.0494,"80,347","525,263","3,031","104,925",0.1665,0.9719,4.8655
26,0.197876,0.199978,"2,169",100,0.0441,"82,516","523,094","3,131","104,825",0.1669,0.9710,4.8454
27,0.200000,0.201446,"3,424",156,0.0436,"85,940","519,670","3,287","104,669",0.1676,0.9696,4.8137
28,0.201454,0.206511,"1,914",100,0.0497,"87,854","517,756","3,387","104,569",0.1680,0.9686,4.7960
29,0.206516,0.208436,"1,735",116,0.0627,"89,589","516,021","3,503","104,453",0.1683,0.9676,4.7799
30,0.208487,0.209989,"1,945",111,0.0540,"91,534","514,076","3,614","104,342",0.1687,0.9665,4.7619
31,0.210000,0.212929,"3,753",202,0.0511,"95,287","510,323","3,816","104,140",0.1695,0.9647,4.7271
32,0.212929,0.216250,"1,646",100,0.0573,"96,933","508,677","3,916","104,040",0.1698,0.9637,4.7119
33,0.216255,0.218474,"1,931",100,0.0492,"98,864","506,746","4,016","103,940",0.1702,0.9628,4.6940
34,0.218487,0.219972,"2,069",136,0.0617,"100,933","504,677","4,152","103,804",0.1706,0.9615,4.6748
35,0.220000,0.224533,"4,460",251,0.0533,"105,393","500,217","4,403","103,553",0.1715,0.9592,4.6335
36,0.224568,0.226553,"1,358",100,0.0686,"106,751","498,859","4,503","103,453",0.1718,0.9583,4.6209
37,0.226553,0.228480,"1,721",105,0.0575,"108,472","497,138","4,608","103,348",0.1721,0.9573,4.6050
38,0.228487,0.229971,"2,154",119,0.0524,"110,626","494,984","4,727","103,229",0.1726,0.9562,4.5851
39,0.230000,0.234317,"4,410",260,0.0557,"115,036","490,574","4,987","102,969",0.1735,0.9538,4.5442
40,0.234325,0.236961,"1,846",101,0.0519,"116,882","488,728","5,088","102,868",0.1739,0.9529,4.5271
41,0.236974,0.238482,"1,605",101,0.0592,"118,487","487,123","5,189","102,767",0.1742,0.9519,4.5122
42,0.238487,0.239984,"2,239",124,0.0525,"120,726","484,884","5,313","102,643",0.1747,0.9508,4.4915
43,0.240000,0.241017,"3,516",201,0.0541,"124,242","481,368","5,514","102,442",0.1755,0.9489,4.4589
44,0.241025,0.244913,"1,374",100,0.0678,"125,616","479,994","5,614","102,342",0.1757,0.9480,4.4462
45,0.244917,0.246811,"1,470",101,0.0643,"127,086","478,524","5,715","102,241",0.1760,0.9471,4.4326
46,0.246811,0.248476,"1,786",100,0.0530,"128,872","476,738","5,815","102,141",0.1764,0.9461,4.4160
47,0.248487,0.249986,"2,246",139,0.0583,"131,118","474,492","5,954","102,002",0.1769,0.9448,4.3952
48,0.250000,0.252289,"4,051",239,0.0557,"135,169","470,441","6,193","101,763",0.1778,0.9426,4.3577
49,0.252289,0.255014,"1,228",100,0.0753,"136,397","469,213","6,293","101,663",0.1781,0.9417,4.3463
50,0.255017,0.256972,"1,510",100,0.0621,"137,907","467,703","6,393","101,563",0.1784,0.9408,4.3323
51,0.256974,0.258471,"1,664",105,0.0594,"139,571","466,039","6,498","101,458",0.1788,0.9398,4.3169
52,0.258487,0.259999,"2,352",154,0.0615,"141,923","463,687","6,652","101,304",0.1793,0.9384,4.2951
53,0.260000,0.262682,"4,124",271,0.0617,"146,047","459,563","6,923","101,033",0.1802,0.9359,4.2569
54,0.262687,0.265453,"1,431",100,0.0653,"147,478","458,132","7,023","100,933",0.1805,0.9349,4.2437
55,0.265461,0.267040,"1,634",105,0.0604,"149,112","456,498","7,128","100,828",0.1809,0.9340,4.2286
56,0.267047,0.268478,"1,455",100,0.0643,"150,567","455,043","7,228","100,728",0.1812,0.9330,4.2151
57,0.268487,0.269989,"2,489",157,0.0593,"153,056","452,554","7,385","100,571",0.1818,0.9316,4.1920
58,0.270000,0.273685,"4,592",282,0.0579,"157,648","447,962","7,667","100,289",0.1829,0.9290,4.1495
59,0.273701,0.275855,"1,330",100,0.0699,"158,978","446,632","7,767","100,189",0.1832,0.9281,4.1372
60,0.275859,0.277261,"1,454",110,0.0703,"160,432","445,178","7,877","100,079",0.1835,0.9270,4.1237
61,0.277261,0.278486,"1,329",100,0.0700,"161,761","443,849","7,977","99,979",0.1838,0.9261,4.1114
62,0.278487,0.279981,"2,543",162,0.0599,"164,304","441,306","8,139","99,817",0.1845,0.9246,4.0878
63,0.280000,0.281855,"4,001",277,0.0647,"168,305","437,305","8,416","99,540",0.1854,0.9220,4.0508
