,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0,0.0326530612244897,"30,703","2,112",0.0644,"30,703","574,907","2,112","105,844",0.1555,0.9804,5.3254
1,0.0333333333333333,0.0498829039812646,"3,516",243,0.0646,"34,219","571,391","2,355","105,601",0.1560,0.9782,5.2928
2,0.05,0.0599850690556177,"3,904",278,0.0665,"38,123","567,487","2,633","105,323",0.1565,0.9756,5.2567
3,0.06,0.069491341991342,"3,109",225,0.0675,"41,232","564,378","2,858","105,098",0.1570,0.9735,5.2279
4,0.0695652173913043,0.0791652145808156,"2,834",202,0.0665,"44,066","561,544","3,060","104,896",0.1574,0.9717,5.2016
5,0.0791666666666666,0.0874358974358974,"2,704",200,0.0689,"46,770","558,840","3,260","104,696",0.1578,0.9698,5.1766
6,0.0875,0.0999999999999999,"2,903",203,0.0654,"49,673","555,937","3,463","104,493",0.1582,0.9679,5.1497
7,0.1,0.1022435897435897,"7,084",690,0.0888,"56,757","548,853","4,153","103,803",0.1590,0.9615,5.0840
8,0.1022516269420294,0.1123799723033316,"2,796",202,0.0674,"59,553","546,057","4,355","103,601",0.1595,0.9597,5.0581
9,0.1124242424242424,0.1199346405228758,"2,899",200,0.0645,"62,452","543,158","4,555","103,401",0.1599,0.9578,5.0313
10,0.12,0.1261904761904762,"2,767",212,0.0712,"65,219","540,391","4,767","103,189",0.1603,0.9558,5.0057
11,0.1261925602776996,0.1332913165266106,"3,002",200,0.0625,"68,221","537,389","4,967","102,989",0.1608,0.9540,4.9779
12,0.1333333333333333,0.1374999999999999,"2,338",200,0.0788,"70,559","535,051","5,167","102,789",0.1612,0.9521,4.9562
13,0.1375,0.1427649749425416,"2,695",210,0.0723,"73,254","532,356","5,377","102,579",0.1616,0.9502,4.9312
14,0.1428571428571428,0.1485714285714285,"2,826",200,0.0661,"76,080","529,530","5,577","102,379",0.1620,0.9483,4.9051
15,0.1486100827277297,0.1503934901191597,"2,114",200,0.0864,"78,194","527,416","5,777","102,179",0.1623,0.9465,4.8855
16,0.1504154398233345,0.1566269841269841,"2,491",201,0.0747,"80,685","524,925","5,978","101,978",0.1627,0.9446,4.8624
17,0.1566666666666666,0.1608333333333333,"2,178",203,0.0853,"82,863","522,747","6,181","101,775",0.1630,0.9427,4.8422
18,0.1608747050112629,0.166653258592113,"2,933",201,0.0641,"85,796","519,814","6,382","101,574",0.1635,0.9409,4.8151
19,0.1666666666666666,0.1693877551020408,"2,315",208,0.0824,"88,111","517,499","6,590","101,366",0.1638,0.9390,4.7936
20,0.1694444444444444,0.1749675324675324,"2,732",200,0.0682,"90,843","514,767","6,790","101,166",0.1642,0.9371,4.7683
21,0.175,0.1792794950147891,"2,682",226,0.0777,"93,525","512,085","7,016","100,940",0.1647,0.9350,4.7435
22,0.1792832167832167,0.183333007951655,"2,627",202,0.0714,"96,152","509,458","7,218","100,738",0.1651,0.9331,4.7191
23,0.1833333333333333,0.1869047619047619,"2,939",233,0.0735,"99,091","506,519","7,451","100,505",0.1656,0.9310,4.6919
