,0
0.0,29653
0.1,7361
0.2,3776
0.05,2455
0.3,2436
0.15,1785
0.4,1741
1.0,1606
0.5,1392
0.25,1384
0.0666666666666666,1351
0.35,1273
0.9,1217
0.0333333333333333,1213
0.1666666666666666,1209
0.7,1196
0.6,1136
0.55,1101
0.45,1092
0.8,999
0.1333333333333333,950
0.2666666666666666,911
0.65,893
0.5666666666666667,843
0.3666666666666666,808
0.2333333333333333,808
0.3333333333333333,804
0.175,786
0.75,744
0.3833333333333333,705
0.075,704
0.4666666666666666,681
0.275,661
0.025,652
0.375,651
0.85,631
0.125,610
0.1833333333333333,603
0.2833333333333333,602
0.225,578
0.3166666666666666,573
0.0833333333333333,568
0.2166666666666666,546
0.4166666666666666,526
0.4333333333333333,521
0.5333333333333333,511
0.325,506
0.475,498
0.04,491
0.5166666666666666,484
0.425,477
0.6833333333333333,477
0.575,475
0.1166666666666666,475
0.95,469
0.5833333333333333,464
0.4583333333333333,462
0.06,439
0.08,439
0.3416666666666667,439
0.4833333333333333,437
0.6333333333333333,436
0.625,431
0.525,429
0.3583333333333333,387
0.675,381
0.3916666666666666,368
0.3083333333333333,366
0.02,364
0.6666666666666666,362
0.7333333333333333,347
0.5583333333333333,347
0.7666666666666667,346
0.6666666666666667,344
0.1399999999999999,337
0.2083333333333333,335
0.18,330
0.825,328
0.16,324
0.6166666666666667,323
0.24,321
0.2583333333333333,319
0.775,311
0.6166666666666666,310
0.2416666666666666,305
0.0166666666666666,303
0.8666666666666666,292
0.725,290
0.26,289
0.4416666666666666,288
0.7166666666666667,287
0.5083333333333333,287
0.5166666666666667,286
0.12,285
0.6916666666666667,280
0.7666666666666666,272
0.8166666666666667,266
0.3399999999999999,265
0.36,262
0.875,260
