,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.032500,"54,918","2,683",0.0466,"54,918","550,692","2,683","105,273",0.1605,0.9751,5.1011
1,0.033333,0.047619,934,64,0.0641,"55,852","549,758","2,747","105,209",0.1606,0.9746,5.0924
2,0.050000,0.065000,"4,093",285,0.0651,"59,945","545,665","3,032","104,924",0.1613,0.9719,5.0545
3,0.066667,0.073333,"1,874",140,0.0695,"61,819","543,791","3,172","104,784",0.1616,0.9706,5.0372
4,0.075000,0.078571,765,63,0.0761,"62,584","543,026","3,235","104,721",0.1617,0.9700,5.0301
5,0.080000,0.098626,612,53,0.0797,"63,196","542,414","3,288","104,668",0.1618,0.9695,5.0244
6,0.100000,0.115000,"74,320","5,366",0.0673,"137,516","468,094","8,654","99,302",0.1750,0.9198,4.3360
7,0.116667,0.131429,824,66,0.0742,"138,340","467,270","8,720","99,236",0.1752,0.9192,4.3283
8,0.133333,0.150000,"1,785",145,0.0751,"140,125","465,485","8,865","99,091",0.1755,0.9179,4.3118
9,0.150000,0.165000,"7,006",586,0.0772,"147,131","458,479","9,451","98,505",0.1769,0.9125,4.2469
10,0.166667,0.174286,"3,307",277,0.0773,"150,438","455,172","9,728","98,228",0.1775,0.9099,4.2163
11,0.175000,0.179167,"1,399",110,0.0729,"151,837","453,773","9,838","98,118",0.1778,0.9089,4.2033
12,0.180000,0.182143,425,53,0.1109,"152,262","453,348","9,891","98,065",0.1778,0.9084,4.1994
13,0.183333,0.200000,708,71,0.0911,"152,970","452,640","9,962","97,994",0.1780,0.9077,4.1928
14,0.200000,0.215000,"80,366","7,554",0.0859,"233,336","372,274","17,516","90,440",0.1955,0.8377,3.4484
15,0.216667,0.223810,647,76,0.1051,"233,983","371,627","17,592","90,364",0.1956,0.8370,3.4424
16,0.225000,0.232143,626,86,0.1208,"234,609","371,001","17,678","90,278",0.1957,0.8362,3.4366
17,0.233333,0.250000,"2,045",205,0.0911,"236,654","368,956","17,883","90,073",0.1962,0.8343,3.4177
18,0.250000,0.260000,"7,895",830,0.0951,"244,549","361,061","18,713","89,243",0.1982,0.8267,3.3445
19,0.260000,0.265714,359,58,0.1391,"244,908","360,702","18,771","89,185",0.1982,0.8261,3.3412
20,0.266667,0.274762,"4,015",469,0.1046,"248,923","356,687","19,240","88,716",0.1992,0.8218,3.3040
21,0.275000,0.279167,"1,579",203,0.1139,"250,502","355,108","19,443","88,513",0.1995,0.8199,3.2894
22,0.280000,0.282857,574,61,0.0961,"251,076","354,534","19,504","88,452",0.1997,0.8193,3.2841
23,0.283333,0.300000,933,107,0.1029,"252,009","353,601","19,611","88,345",0.1999,0.8183,3.2754
24,0.300000,0.316071,"75,147","9,142",0.1085,"327,156","278,454","28,753","79,203",0.2214,0.7337,2.5793
25,0.316667,0.325000,931,150,0.1388,"328,087","277,523","28,903","79,053",0.2217,0.7323,2.5707
