,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.436730,0.458644,"33,507",722,0.0211,"33,507","572,103",722,"107,234",0.1579,0.9933,5.2994
1,0.458895,0.462365,"29,140","1,048",0.0347,"62,647","542,963","1,770","106,186",0.1636,0.9836,5.0295
2,0.462366,0.467955,"24,024","1,019",0.0407,"86,671","518,939","2,789","105,167",0.1685,0.9742,4.8069
3,0.467957,0.469897,"22,435","1,126",0.0478,"109,106","496,504","3,915","104,041",0.1732,0.9637,4.5991
4,0.469950,0.471629,"15,978","1,002",0.0590,"125,084","480,526","4,917","103,039",0.1766,0.9545,4.4511
5,0.471698,0.475487,"18,686","1,057",0.0535,"143,770","461,840","5,974","101,982",0.1809,0.9447,4.2780
6,0.475517,0.476403,"14,068","1,035",0.0685,"157,838","447,772","7,009","100,947",0.1840,0.9351,4.1477
7,0.476414,0.477110,"14,302","1,000",0.0654,"172,140","433,470","8,009","99,947",0.1874,0.9258,4.0152
8,0.477144,0.478931,"15,495","1,056",0.0638,"187,635","417,975","9,065","98,891",0.1913,0.9160,3.8717
9,0.478996,0.480268,"12,449","1,005",0.0747,"200,084","405,526","10,070","97,886",0.1944,0.9067,3.7564
10,0.480326,0.483129,"11,774","1,021",0.0798,"211,858","393,752","11,091","96,865",0.1974,0.8973,3.6473
11,0.483197,0.484427,"10,146","1,017",0.0911,"222,004","383,606","12,108","95,848",0.1999,0.8878,3.5534
12,0.484440,0.484672,"11,278","1,189",0.0954,"233,282","372,328","13,297","94,659",0.2027,0.8768,3.4489
13,0.484741,0.485077,"12,747","1,228",0.0879,"246,029","359,581","14,525","93,431",0.2062,0.8655,3.3308
14,0.485078,0.485275,"12,136","1,255",0.0937,"258,165","347,445","15,780","92,176",0.2097,0.8538,3.2184
15,0.485306,0.485522,"10,923","1,089",0.0907,"269,088","336,522","16,869","91,087",0.2130,0.8437,3.1172
16,0.485548,0.486018,"11,020","1,212",0.0991,"280,108","325,502","18,081","89,875",0.2164,0.8325,3.0151
17,0.486033,0.486635,"9,324","1,005",0.0973,"289,432","316,178","19,086","88,870",0.2194,0.8232,2.9288
18,0.486646,0.487506,"10,220","1,004",0.0895,"299,652","305,958","20,090","87,866",0.2231,0.8139,2.8341
19,0.487543,0.488727,"8,736","1,038",0.1062,"308,388","297,222","21,128","86,828",0.2261,0.8043,2.7532
20,0.488750,0.491180,"9,009","1,073",0.1064,"317,397","288,213","22,201","85,755",0.2293,0.7944,2.6697
21,0.491229,0.492405,"8,660","1,076",0.1105,"326,057","279,553","23,277","84,679",0.2325,0.7844,2.5895
22,0.492445,0.493104,"6,338","1,004",0.1367,"332,395","273,215","24,281","83,675",0.2345,0.7751,2.5308
23,0.493106,0.493457,"7,222","1,111",0.1333,"339,617","265,993","25,392","82,564",0.2369,0.7648,2.4639
24,0.493484,0.493897,"7,309","1,031",0.1236,"346,926","258,684","26,423","81,533",0.2396,0.7552,2.3962
