,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.455155,0.455155,365,8,0.0214,365,"605,245",8,"107,948",0.1514,0.9999,5.6064
1,0.455449,0.456959,"1,395",52,0.0359,"1,760","603,850",60,"107,896",0.1516,0.9994,5.5935
2,0.457280,0.462658,"1,734",50,0.0280,"3,494","602,116",110,"107,846",0.1519,0.9990,5.5774
3,0.462815,0.463228,"1,931",62,0.0311,"5,425","600,185",172,"107,784",0.1522,0.9984,5.5595
4,0.463228,0.463415,"4,794",204,0.0408,"10,219","595,391",376,"107,580",0.1530,0.9965,5.5151
5,0.463444,0.463624,"4,627",180,0.0374,"14,846","590,764",556,"107,400",0.1538,0.9948,5.4723
6,0.463661,0.463699,"3,644",144,0.0380,"18,490","587,120",700,"107,256",0.1545,0.9935,5.4385
7,0.463764,0.463951,"3,201",158,0.0470,"21,691","583,919",858,"107,098",0.1550,0.9921,5.4089
8,0.463993,0.464238,"4,365",159,0.0351,"26,056","579,554","1,017","106,939",0.1558,0.9906,5.3684
9,0.464308,0.464692,"1,070",52,0.0463,"27,126","578,484","1,069","106,887",0.1560,0.9901,5.3585
10,0.464738,0.464851,"1,023",66,0.0606,"28,149","577,461","1,135","106,821",0.1561,0.9895,5.3490
11,0.464980,0.466567,"1,048",60,0.0542,"29,197","576,413","1,195","106,761",0.1563,0.9889,5.3393
12,0.466598,0.468302,"1,297",73,0.0533,"30,494","575,116","1,268","106,688",0.1565,0.9883,5.3273
13,0.468361,0.468737,"1,667",59,0.0342,"32,161","573,449","1,327","106,629",0.1568,0.9877,5.3119
14,0.468839,0.469122,"1,211",51,0.0404,"33,372","572,238","1,378","106,578",0.1570,0.9872,5.3007
15,0.469203,0.469262,"4,877",261,0.0508,"38,249","567,361","1,639","106,317",0.1578,0.9848,5.2555
16,0.469276,0.469279,"3,614",182,0.0479,"41,863","563,747","1,821","106,135",0.1584,0.9831,5.2220
17,0.469291,0.469448,858,51,0.0561,"42,721","562,889","1,872","106,084",0.1586,0.9827,5.2141
18,0.469485,0.469625,"3,626",182,0.0478,"46,347","559,263","2,054","105,902",0.1592,0.9810,5.1805
19,0.469658,0.469661,"2,723",144,0.0502,"49,070","556,540","2,198","105,758",0.1597,0.9796,5.1552
20,0.469667,0.469667,"1,015",60,0.0558,"50,085","555,525","2,258","105,698",0.1599,0.9791,5.1458
21,0.469710,0.470017,"3,690",199,0.0512,"53,775","551,835","2,457","105,499",0.1605,0.9772,5.1117
22,0.470035,0.470132,"2,017",94,0.0445,"55,792","549,818","2,551","105,405",0.1609,0.9764,5.0930
23,0.470165,0.470379,"1,795",101,0.0533,"57,587","548,023","2,652","105,304",0.1612,0.9754,5.0764
24,0.470436,0.470461,"1,316",61,0.0443,"58,903","546,707","2,713","105,243",0.1614,0.9749,5.0642
25,0.470471,0.470692,"1,288",61,0.0452,"60,191","545,419","2,774","105,182",0.1617,0.9743,5.0522
26,0.470715,0.470843,988,79,0.0740,"61,179","544,431","2,853","105,103",0.1618,0.9736,5.0431
27,0.471042,0.471057,"1,217",74,0.0573,"62,396","543,214","2,927","105,029",0.1620,0.9729,5.0318
28,0.471085,0.471198,"3,999",196,0.0467,"66,395","539,215","3,123","104,833",0.1628,0.9711,4.9948
29,0.471215,0.471273,"3,588",176,0.0468,"69,983","535,627","3,299","104,657",0.1635,0.9694,4.9615
30,0.471294,0.471295,"3,188",165,0.0492,"73,171","532,439","3,464","104,492",0.1641,0.9679,4.9320
31,0.471322,0.471610,981,52,0.0503,"74,152","531,458","3,516","104,440",0.1642,0.9674,4.9229
32,0.471704,0.471818,"2,404",146,0.0573,"76,556","529,054","3,662","104,294",0.1647,0.9661,4.9006
33,0.471850,0.472300,"3,340",185,0.0525,"79,896","525,714","3,847","104,109",0.1653,0.9644,4.8697
34,0.472316,0.472478,987,52,0.0500,"80,883","524,727","3,899","104,057",0.1655,0.9639,4.8606
35,0.472492,0.472552,504,50,0.0903,"81,387","524,223","3,949","104,007",0.1656,0.9634,4.8559
36,0.472569,0.472725,940,77,0.0757,"82,327","523,283","4,026","103,930",0.1657,0.9627,4.8472
37,0.472753,0.472837,685,56,0.0756,"83,012","522,598","4,082","103,874",0.1658,0.9622,4.8408
38,0.472902,0.473090,502,55,0.0987,"83,514","522,096","4,137","103,819",0.1659,0.9617,4.8362
39,0.473140,0.473716,723,79,0.0985,"84,237","521,373","4,216","103,740",0.1660,0.9609,4.8295
40,0.473726,0.474237,696,53,0.0708,"84,933","520,677","4,269","103,687",0.1661,0.9605,4.8230
41,0.474263,0.474911,"1,080",62,0.0543,"86,013","519,597","4,331","103,625",0.1663,0.9599,4.8130
42,0.474926,0.475466,"1,076",70,0.0611,"87,089","518,521","4,401","103,555",0.1665,0.9592,4.8031
43,0.475651,0.475825,"1,168",83,0.0663,"88,257","517,353","4,484","103,472",0.1667,0.9585,4.7923
44,0.475868,0.475999,"1,232",80,0.0610,"89,489","516,121","4,564","103,392",0.1669,0.9577,4.7808
45,0.476007,0.476095,"1,144",74,0.0608,"90,633","514,977","4,638","103,318",0.1671,0.9570,4.7702
46,0.476161,0.476394,"1,380",85,0.0580,"92,013","513,597","4,723","103,233",0.1674,0.9563,4.7575
47,0.476394,0.476796,"1,505",87,0.0546,"93,518","512,092","4,810","103,146",0.1677,0.9554,4.7435
48,0.476878,0.476932,"1,151",83,0.0673,"94,669","510,941","4,893","103,063",0.1679,0.9547,4.7329
49,0.476947,0.477021,783,63,0.0745,"95,452","510,158","4,956","103,000",0.1680,0.9541,4.7256
50,0.477058,0.477058,"3,906",297,0.0707,"99,358","506,252","5,253","102,703",0.1687,0.9513,4.6894
51,0.477071,0.477071,"4,016",304,0.0704,"103,374","502,236","5,557","102,399",0.1694,0.9485,4.6522
52,0.477072,0.477122,958,54,0.0534,"104,332","501,278","5,611","102,345",0.1696,0.9480,4.6434
53,0.477128,0.477527,"4,421",313,0.0661,"108,753","496,857","5,924","102,032",0.1704,0.9451,4.6024
54,0.477537,0.477547,891,51,0.0541,"109,644","495,966","5,975","101,981",0.1706,0.9447,4.5941
55,0.477577,0.477577,"3,001",227,0.0703,"112,645","492,965","6,202","101,754",0.1711,0.9426,4.5664
56,0.477610,0.477947,"2,868",239,0.0769,"115,513","490,097","6,441","101,515",0.1716,0.9403,4.5398
57,0.477948,0.478272,"1,309",95,0.0677,"116,822","488,788","6,536","101,420",0.1718,0.9395,4.5277
58,0.478304,0.478339,920,78,0.0782,"117,742","487,868","6,614","101,342",0.1720,0.9387,4.5191
59,0.478341,0.478475,709,51,0.0671,"118,451","487,159","6,665","101,291",0.1721,0.9383,4.5126
60,0.478480,0.478586,716,72,0.0914,"119,167","486,443","6,737","101,219",0.1722,0.9376,4.5059
61,0.478591,0.478661,624,81,0.1149,"119,791","485,819","6,818","101,138",0.1723,0.9368,4.5002
62,0.478765,0.478824,601,55,0.0838,"120,392","485,218","6,873","101,083",0.1724,0.9363,4.4946
63,0.478842,0.479115,919,68,0.0689,"121,311","484,299","6,941","101,015",0.1726,0.9357,4.4861
64,0.479135,0.479200,"4,443",365,0.0759,"125,754","479,856","7,306","100,650",0.1734,0.9323,4.4449
65,0.479226,0.479381,852,62,0.0678,"126,606","479,004","7,368","100,588",0.1735,0.9317,4.4370
66,0.479382,0.479395,"3,249",239,0.0685,"129,855","475,755","7,607","100,349",0.1742,0.9295,4.4069
67,0.479417,0.479657,"3,816",297,0.0722,"133,671","471,939","7,904","100,052",0.1749,0.9268,4.3716
68,0.479658,0.479990,"3,906",296,0.0704,"137,577","468,033","8,200","99,756",0.1757,0.9240,4.3354
69,0.479991,0.479991,"2,774",208,0.0698,"140,351","465,259","8,408","99,548",0.1763,0.9221,4.3097
70,0.480066,0.480175,835,65,0.0722,"141,186","464,424","8,473","99,483",0.1764,0.9215,4.3020
71,0.480178,0.480361,"1,476",84,0.0538,"142,662","462,948","8,557","99,399",0.1768,0.9207,4.2883
72,0.480366,0.480410,461,50,0.0978,"143,123","462,487","8,607","99,349",0.1768,0.9203,4.2840
73,0.480421,0.480518,516,55,0.0963,"143,639","461,971","8,662","99,294",0.1769,0.9198,4.2793
74,0.480525,0.480650,686,73,0.0962,"144,325","461,285","8,735","99,221",0.1770,0.9191,4.2729
75,0.480678,0.480820,"1,222",103,0.0777,"145,547","460,063","8,838","99,118",0.1773,0.9181,4.2616
76,0.480835,0.480835,670,73,0.0983,"146,217","459,393","8,911","99,045",0.1774,0.9175,4.2554
77,0.480859,0.480923,421,58,0.1211,"146,638","458,972","8,969","98,987",0.1774,0.9169,4.2515
78,0.481012,0.481202,721,64,0.0815,"147,359","458,251","9,033","98,923",0.1775,0.9163,4.2448
79,0.481251,0.481664,"1,096",68,0.0584,"148,455","457,155","9,101","98,855",0.1778,0.9157,4.2346
80,0.481690,0.482175,721,60,0.0768,"149,176","456,434","9,161","98,795",0.1779,0.9151,4.2280
81,0.482193,0.482228,988,65,0.0617,"150,164","455,446","9,226","98,730",0.1782,0.9145,4.2188
82,0.482277,0.482654,829,66,0.0737,"150,993","454,617","9,292","98,664",0.1783,0.9139,4.2111
83,0.482718,0.482843,"1,468",145,0.0899,"152,461","453,149","9,437","98,519",0.1786,0.9126,4.1975
