,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.005,0.070,"96,624","5,545",0.0543,"96,624","508,986","5,545","102,411",0.1675,0.9486,4.7148
1,0.070,0.094,"67,241","6,400",0.0869,"163,865","441,745","11,945","96,011",0.1785,0.8894,4.0919
2,0.094,0.110,"55,146","6,402",0.1040,"219,011","386,599","18,347","89,609",0.1882,0.8301,3.5811
3,0.110,0.122,"46,922","6,400",0.1200,"265,933","339,677","24,747","83,209",0.1968,0.7708,3.1464
4,0.122,0.134,"43,232","6,400",0.1289,"309,165","296,445","31,147","76,809",0.2058,0.7115,2.7460
5,0.134,0.145,"40,319","6,400",0.1370,"349,484","256,126","37,547","70,409",0.2156,0.6522,2.3725
6,0.145,0.157,"35,444","6,406",0.1531,"384,928","220,682","43,953","64,003",0.2248,0.5929,2.0442
7,0.157,0.170,"32,829","6,400",0.1631,"417,757","187,853","50,353","57,603",0.2347,0.5336,1.7401
8,0.170,0.184,"30,415","6,400",0.1738,"448,172","157,438","56,753","51,203",0.2454,0.4743,1.4584
9,0.184,0.200,"27,165","6,400",0.1907,"475,337","130,273","63,153","44,803",0.2559,0.4150,1.2067
10,0.200,0.215,"24,681","6,401",0.2059,"500,018","105,592","69,554","38,402",0.2667,0.3557,0.9781
11,0.215,0.233,"22,815","6,400",0.2191,"522,833","82,777","75,954","32,002",0.2788,0.2964,0.7668
12,0.233,0.251,"20,682","6,400",0.2363,"543,515","62,095","82,354","25,602",0.2919,0.2372,0.5752
13,0.251,0.271,"18,721","6,400",0.2548,"562,236","43,374","88,754","19,202",0.3069,0.1779,0.4018
14,0.271,0.295,"16,776","6,400",0.2761,"579,012","26,598","95,154","12,802",0.3249,0.1186,0.2464
15,0.295,0.332,"14,747","6,401",0.3027,"593,759","11,851","101,555","6,401",0.3507,0.0593,0.1098
16,0.332,0.681,"11,851","6,401",0.3507,"605,610",0,"107,956",0,nan,0.0000,0.0000
