,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.002,0.053,"108,004","4,758",0.0422,"108,004","497,606","4,758","103,198",0.1718,0.9559,4.6093
1,0.053,0.076,"81,160","6,400",0.0731,"189,164","416,446","11,158","96,798",0.1886,0.8966,3.8576
2,0.076,0.094,"64,610","6,400",0.0901,"253,774","351,836","17,558","90,398",0.2044,0.8374,3.2591
3,0.094,0.110,"52,871","6,400",0.1080,"306,645","298,965","23,958","83,998",0.2193,0.7781,2.7693
4,0.110,0.127,"45,689","6,400",0.1229,"352,334","253,276","30,358","77,598",0.2345,0.7188,2.3461
5,0.127,0.143,"40,432","6,400",0.1367,"392,766","212,844","36,758","71,198",0.2507,0.6595,1.9716
6,0.143,0.160,"35,329","6,400",0.1534,"428,095","177,515","43,158","64,798",0.2674,0.6002,1.6443
7,0.160,0.179,"31,257","6,401",0.1700,"459,352","146,258","49,559","58,397",0.2853,0.5409,1.3548
8,0.179,0.199,"27,502","6,400",0.1888,"486,854","118,756","55,959","51,997",0.3045,0.4816,1.1000
9,0.199,0.222,"24,477","6,400",0.2073,"511,331","94,279","62,359","45,597",0.3260,0.4224,0.8733
10,0.222,0.248,"21,366","6,400",0.2305,"532,697","72,913","68,759","39,197",0.3496,0.3631,0.6754
11,0.248,0.279,"18,681","6,400",0.2552,"551,378","54,232","75,159","32,797",0.3769,0.3038,0.5024
12,0.279,0.316,"15,749","6,401",0.2890,"567,127","38,483","81,560","26,396",0.4068,0.2445,0.3565
13,0.316,0.362,"13,114","6,400",0.3280,"580,241","25,369","87,960","19,996",0.4408,0.1852,0.2350
14,0.362,0.421,"10,616","6,400",0.3761,"590,857","14,753","94,360","13,596",0.4796,0.1259,0.1367
15,0.421,0.501,"8,352","6,400",0.4338,"599,209","6,401","100,760","7,196",0.5292,0.0667,0.0593
16,0.501,0.929,"6,401","7,196",0.5292,"605,610",0,"107,956",0,nan,0.0000,0.0000
