,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.04211,0.13696,"5,534",153,0.0269,"5,534","600,076",153,"107,803",0.1523,0.9986,5.5585
1,0.13703,0.16272,"5,161",200,0.0373,"10,695","594,915",353,"107,603",0.1532,0.9967,5.5107
2,0.16274,0.17653,"4,865",200,0.0395,"15,560","590,050",553,"107,403",0.1540,0.9949,5.4657
3,0.17653,0.19117,"4,776",200,0.0402,"20,336","585,274",753,"107,203",0.1548,0.9930,5.4214
4,0.19119,0.19967,"3,837",203,0.0502,"24,173","581,437",956,"107,000",0.1554,0.9911,5.3859
5,0.19967,0.20530,"3,867",200,0.0492,"28,040","577,570","1,156","106,800",0.1561,0.9893,5.3501
6,0.20531,0.21229,"4,107",204,0.0473,"32,147","573,463","1,360","106,596",0.1567,0.9874,5.3120
7,0.21235,0.21768,"3,564",200,0.0531,"35,711","569,899","1,560","106,396",0.1573,0.9855,5.2790
8,0.21770,0.22363,"3,810",201,0.0501,"39,521","566,089","1,761","106,195",0.1580,0.9837,5.2437
9,0.22364,0.22918,"3,880",200,0.0490,"43,401","562,209","1,961","105,995",0.1586,0.9818,5.2078
10,0.22919,0.23338,"3,262",202,0.0583,"46,663","558,947","2,163","105,793",0.1591,0.9800,5.1775
11,0.23338,0.23737,"3,644",200,0.0520,"50,307","555,303","2,363","105,593",0.1598,0.9781,5.1438
12,0.23737,0.24077,"3,342",203,0.0573,"53,649","551,961","2,566","105,390",0.1603,0.9762,5.1128
13,0.24077,0.24460,"3,123",203,0.0610,"56,772","548,838","2,769","105,187",0.1608,0.9744,5.0839
14,0.24460,0.24833,"2,749",200,0.0678,"59,521","546,089","2,969","104,987",0.1613,0.9725,5.0584
15,0.24834,0.25278,"3,655",202,0.0524,"63,176","542,434","3,171","104,785",0.1619,0.9706,5.0246
16,0.25278,0.25686,"3,159",200,0.0595,"66,335","539,275","3,371","104,585",0.1624,0.9688,4.9953
17,0.25686,0.25971,"2,791",201,0.0672,"69,126","536,484","3,572","104,384",0.1629,0.9669,4.9695
18,0.25971,0.26355,"3,486",201,0.0545,"72,612","532,998","3,773","104,183",0.1635,0.9651,4.9372
19,0.26356,0.26729,"3,229",200,0.0583,"75,841","529,769","3,973","103,983",0.1641,0.9632,4.9073
20,0.26730,0.27093,"3,081",202,0.0615,"78,922","526,688","4,175","103,781",0.1646,0.9613,4.8787
21,0.27093,0.27466,"2,850",200,0.0656,"81,772","523,838","4,375","103,581",0.1651,0.9595,4.8523
22,0.27467,0.27801,"2,838",206,0.0677,"84,610","521,000","4,581","103,375",0.1656,0.9576,4.8260
23,0.27801,0.28214,"3,278",200,0.0575,"87,888","517,722","4,781","103,175",0.1662,0.9557,4.7957
24,0.28215,0.28568,"2,575",201,0.0724,"90,463","515,147","4,982","102,974",0.1666,0.9539,4.7718
25,0.28568,0.28896,"2,997",200,0.0626,"93,460","512,150","5,182","102,774",0.1671,0.9520,4.7441
26,0.28898,0.29233,"2,489",200,0.0744,"95,949","509,661","5,382","102,574",0.1675,0.9501,4.7210
27,0.29234,0.29613,"2,602",200,0.0714,"98,551","507,059","5,582","102,374",0.1680,0.9483,4.6969
28,0.29613,0.29944,"2,357",200,0.0782,"100,908","504,702","5,782","102,174",0.1684,0.9464,4.6751
29,0.29945,0.30238,"2,589",203,0.0727,"103,497","502,113","5,985","101,971",0.1688,0.9446,4.6511
30,0.30238,0.30564,"2,616",201,0.0714,"106,113","499,497","6,186","101,770",0.1693,0.9427,4.6269
31,0.30564,0.30848,"2,545",200,0.0729,"108,658","496,952","6,386","101,570",0.1697,0.9408,4.6033
32,0.30848,0.31125,"2,133",200,0.0857,"110,791","494,819","6,586","101,370",0.1700,0.9390,4.5835
33,0.31125,0.31399,"2,301",200,0.0800,"113,092","492,518","6,786","101,170",0.1704,0.9371,4.5622
34,0.31400,0.31693,"2,187",200,0.0838,"115,279","490,331","6,986","100,970",0.1708,0.9353,4.5420
35,0.31694,0.31968,"2,340",202,0.0795,"117,619","487,991","7,188","100,768",0.1712,0.9334,4.5203
36,0.31969,0.32247,"2,175",200,0.0842,"119,794","485,816","7,388","100,568",0.1715,0.9316,4.5001
37,0.32247,0.32531,"2,497",200,0.0742,"122,291","483,319","7,588","100,368",0.1720,0.9297,4.4770
38,0.32532,0.32813,"2,356",200,0.0782,"124,647","480,963","7,788","100,168",0.1724,0.9279,4.4552
39,0.32813,0.33010,"1,931",200,0.0939,"126,578","479,032","7,988","99,968",0.1727,0.9260,4.4373
40,0.33011,0.33181,"2,143",202,0.0861,"128,721","476,889","8,190","99,766",0.1730,0.9241,4.4174
41,0.33181,0.33417,"2,121",201,0.0866,"130,842","474,768","8,391","99,565",0.1734,0.9223,4.3978
42,0.33418,0.33623,"2,077",203,0.0890,"132,919","472,691","8,594","99,362",0.1737,0.9204,4.3786
