,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0037,1,0,1,0,605610,1,107955,5.609785468153692,0.15128965125811944
1,0.0048,0,1,0,1,605609,1,107955,5.609776205120605,0.15128986327785596
2,0.0049,0,1,0,2,605608,1,107955,5.609766942087517,0.1512900752981867
3,0.0057,0,1,0,3,605607,1,107955,5.60975767905443,0.15129028731911173
4,0.0059,0,1,0,4,605606,1,107955,5.609748416021342,0.151290499340631
5,0.0067,0,1,0,5,605605,1,107955,5.609739152988254,0.15129071136274455
6,0.0071,0,1,0,6,605604,1,107955,5.609729889955167,0.15129092338545236
7,0.0083,0,1,0,7,605603,1,107955,5.609720626922079,0.15129113540875444
8,0.0088,0,2,0,9,605601,1,107955,5.6097021008559045,0.15129155945714143
9,0.0089,0,1,0,10,605600,1,107955,5.609692837822816,0.1512917714822263
10,0.0091,0,1,0,11,605599,1,107955,5.609683574789729,0.1512919835079055
11,0.0092,1,0,1,11,605599,2,107954,5.609683574789729,0.15129079409658427
12,0.0103,0,1,0,12,605598,2,107954,5.609674311756642,0.151291006121488
13,0.0104,0,1,0,13,605597,2,107954,5.609665048723554,0.15129121814698598
14,0.0106,0,2,0,15,605595,2,107954,5.609646522657379,0.15129164219976485
15,0.0107,0,1,0,16,605594,2,107954,5.609637259624291,0.1512918542270457
16,0.0109,0,1,0,17,605593,2,107954,5.609627996591204,0.15129206625492084
17,0.0113,0,1,0,18,605592,2,107954,5.609618733558117,0.15129227828339029
18,0.0116,0,2,0,20,605590,2,107954,5.609600207491941,0.15129270234211206
19,0.0117,0,1,0,21,605589,2,107954,5.609590944458853,0.1512929143723644
20,0.012,0,1,0,22,605588,2,107954,5.609581681425766,0.15129312640321102
21,0.0128,0,1,0,23,605587,2,107954,5.609572418392679,0.15129333843465198
22,0.0129,0,1,0,24,605586,2,107954,5.609563155359591,0.15129355046668722
23,0.0131,0,1,0,25,605585,2,107954,5.609553892326503,0.15129376249931678
24,0.0133,0,2,0,27,605583,2,107954,5.609535366260328,0.15129418656635885
25,0.0136,0,1,0,28,605582,2,107954,5.609526103227241,0.15129439860077137
26,0.0137,0,1,0,29,605581,2,107954,5.6095168401941535,0.1512946106357782
27,0.0138,0,2,0,31,605579,2,107954,5.609498314127978,0.15129503470757485
28,0.0139,0,1,0,32,605578,2,107954,5.609489051094891,0.15129524674436465
29,0.014,0,2,0,34,605576,2,107954,5.609470525028716,0.15129567081972728
30,0.0141,0,2,0,36,605574,2,107954,5.60945199896254,0.15129609489746723
31,0.0142,0,2,0,38,605572,2,107954,5.609433472896365,0.15129651897758456
32,0.0143,0,1,0,39,605571,2,107954,5.609424209863278,0.15129673101853475
33,0.0145,0,2,0,41,605569,2,107954,5.609405683797102,0.15129715510221814
34,0.0146,0,1,0,42,605568,2,107954,5.609396420764015,0.15129736714495137
35,0.0148,0,3,0,45,605565,2,107954,5.609368631664752,0.15129800327671722
36,0.015,0,1,0,46,605564,2,107954,5.609359368631665,0.1512982153218279
37,0.0152,0,1,0,47,605563,2,107954,5.609350105598577,0.15129842736753293
38,0.0154,0,3,0,50,605560,2,107954,5.6093223164993145,0.1512990635082143
39,0.0155,0,1,0,51,605559,2,107954,5.609313053466227,0.1512992755562968
40,0.0157,0,1,0,52,605558,2,107954,5.609303790433139,0.15129948760497372
41,0.0158,0,1,0,53,605557,2,107954,5.609294527400052,0.151299699654245
