,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.03651,0.04712,"2,348",107,0.0436,"2,348","603,262",107,"107,849",0.1517,0.9990,5.5880
1,0.04712,0.05027,"4,663",200,0.0411,"7,011","598,599",307,"107,649",0.1524,0.9972,5.5448
2,0.05027,0.05167,"4,541",200,0.0422,"11,552","594,058",507,"107,449",0.1532,0.9953,5.5028
3,0.05167,0.05273,"3,099",200,0.0606,"14,651","590,959",707,"107,249",0.1536,0.9935,5.4741
4,0.05274,0.05375,"4,136",201,0.0463,"18,787","586,823",908,"107,048",0.1543,0.9916,5.4358
5,0.05375,0.05464,"3,346",201,0.0567,"22,133","583,477","1,109","106,847",0.1548,0.9897,5.4048
6,0.05464,0.05541,"3,663",203,0.0525,"25,796","579,814","1,312","106,644",0.1554,0.9878,5.3708
7,0.05541,0.05614,"3,698",201,0.0516,"29,494","576,116","1,513","106,443",0.1559,0.9860,5.3366
8,0.05614,0.05680,"3,824",200,0.0497,"33,318","572,292","1,713","106,243",0.1566,0.9841,5.3012
9,0.05681,0.05730,"3,581",202,0.0534,"36,899","568,711","1,915","106,041",0.1572,0.9823,5.2680
10,0.05730,0.05785,"3,524",200,0.0537,"40,423","565,187","2,115","105,841",0.1577,0.9804,5.2353
11,0.05785,0.05853,"3,482",200,0.0543,"43,905","561,705","2,315","105,641",0.1583,0.9786,5.2031
12,0.05853,0.05915,"3,257",201,0.0581,"47,162","558,448","2,516","105,440",0.1588,0.9767,5.1729
13,0.05915,0.05978,"3,796",201,0.0503,"50,958","554,652","2,717","105,239",0.1595,0.9748,5.1378
14,0.05978,0.06035,"3,459",201,0.0549,"54,417","551,193","2,918","105,038",0.1601,0.9730,5.1057
15,0.06035,0.06100,"3,565",200,0.0531,"57,982","547,628","3,118","104,838",0.1607,0.9711,5.0727
16,0.06100,0.06135,"2,810",200,0.0664,"60,792","544,818","3,318","104,638",0.1611,0.9693,5.0467
17,0.06135,0.06182,"3,029",206,0.0637,"63,821","541,789","3,524","104,432",0.1616,0.9674,5.0186
18,0.06182,0.06236,"3,284",200,0.0574,"67,105","538,505","3,724","104,232",0.1622,0.9655,4.9882
19,0.06236,0.06294,"2,843",201,0.0660,"69,948","535,662","3,925","104,031",0.1626,0.9636,4.9619
20,0.06294,0.06346,"2,848",200,0.0656,"72,796","532,814","4,125","103,831",0.1631,0.9618,4.9355
21,0.06347,0.06400,"2,993",201,0.0629,"75,789","529,821","4,326","103,630",0.1636,0.9599,4.9077
22,0.06400,0.06450,"3,418",201,0.0555,"79,207","526,403","4,527","103,429",0.1642,0.9581,4.8761
23,0.06450,0.06517,"2,967",200,0.0632,"82,174","523,436","4,727","103,229",0.1647,0.9562,4.8486
24,0.06517,0.06578,"2,999",203,0.0634,"85,173","520,437","4,930","103,026",0.1652,0.9543,4.8208
25,0.06578,0.06644,"2,779",202,0.0678,"87,952","517,658","5,132","102,824",0.1657,0.9525,4.7951
26,0.06645,0.06739,"3,159",200,0.0595,"91,111","514,499","5,332","102,624",0.1663,0.9506,4.7658
27,0.06739,0.06821,"2,833",200,0.0659,"93,944","511,666","5,532","102,424",0.1668,0.9488,4.7396
28,0.06821,0.06890,"2,795",200,0.0668,"96,739","508,871","5,732","102,224",0.1673,0.9469,4.7137
29,0.06890,0.06972,"2,692",200,0.0692,"99,431","506,179","5,932","102,024",0.1677,0.9451,4.6888
30,0.06973,0.07065,"2,429",201,0.0764,"101,860","503,750","6,133","101,823",0.1681,0.9432,4.6663
31,0.07065,0.07158,"2,592",200,0.0716,"104,452","501,158","6,333","101,623",0.1686,0.9413,4.6422
32,0.07158,0.07285,"2,594",201,0.0719,"107,046","498,564","6,534","101,422",0.1690,0.9395,4.6182
33,0.07285,0.07398,"2,880",200,0.0649,"109,926","495,684","6,734","101,222",0.1696,0.9376,4.5915
34,0.07398,0.07544,"2,639",201,0.0708,"112,565","493,045","6,935","101,021",0.1701,0.9358,4.5671
35,0.07544,0.07687,"2,481",200,0.0746,"115,046","490,564","7,135","100,821",0.1705,0.9339,4.5441
36,0.07687,0.07863,"2,405",200,0.0768,"117,451","488,159","7,335","100,621",0.1709,0.9321,4.5218
37,0.07863,0.07979,"2,130",201,0.0862,"119,581","486,029","7,536","100,420",0.1712,0.9302,4.5021
38,0.07979,0.08098,"2,005",200,0.0907,"121,586","484,024","7,736","100,220",0.1715,0.9283,4.4835
39,0.08098,0.08222,"2,253",200,0.0815,"123,839","481,771","7,936","100,020",0.1719,0.9265,4.4627
40,0.08222,0.08346,"1,964",201,0.0928,"125,803","479,807","8,137","99,819",0.1722,0.9246,4.4445
41,0.08347,0.08466,"2,145",201,0.0857,"127,948","477,662","8,338","99,618",0.1726,0.9228,4.4246
42,0.08466,0.08579,"2,303",200,0.0799,"130,251","475,359","8,538","99,418",0.1730,0.9209,4.4033
