,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.00354,0.00742,200,3,0.0148,200,"605,410",3,"107,953",0.1513,1.0000,5.6079
1,0.00742,0.02056,"15,478",200,0.0128,"15,678","589,932",203,"107,753",0.1544,0.9981,5.4646
2,0.02056,0.02475,"10,930",200,0.0180,"26,608","579,002",403,"107,553",0.1567,0.9963,5.3633
3,0.02475,0.02811,"10,317",200,0.0190,"36,925","568,685",603,"107,353",0.1588,0.9944,5.2677
4,0.02811,0.03048,"8,063",200,0.0242,"44,988","560,622",803,"107,153",0.1605,0.9926,5.1931
5,0.03048,0.03252,"7,132",200,0.0273,"52,120","553,490","1,003","106,953",0.1619,0.9907,5.1270
6,0.03253,0.03428,"6,433",200,0.0302,"58,553","547,057","1,203","106,753",0.1633,0.9889,5.0674
7,0.03428,0.03602,"6,510",200,0.0298,"65,063","540,547","1,403","106,553",0.1647,0.9870,5.0071
8,0.03602,0.03770,"6,461",200,0.0300,"71,524","534,086","1,603","106,353",0.1661,0.9852,4.9473
9,0.03770,0.03940,"6,440",200,0.0301,"77,964","527,646","1,803","106,153",0.1675,0.9833,4.8876
10,0.03940,0.04070,"5,159",200,0.0373,"83,123","522,487","2,003","105,953",0.1686,0.9814,4.8398
11,0.04070,0.04225,"6,129",200,0.0316,"89,252","516,358","2,203","105,753",0.1700,0.9796,4.7830
12,0.04225,0.04361,"5,337",200,0.0361,"94,589","511,021","2,403","105,553",0.1712,0.9777,4.7336
13,0.04361,0.04492,"5,232",200,0.0368,"99,821","505,789","2,603","105,353",0.1724,0.9759,4.6851
14,0.04492,0.04613,"4,791",200,0.0401,"104,612","500,998","2,803","105,153",0.1735,0.9740,4.6408
15,0.04613,0.04724,"4,491",200,0.0426,"109,103","496,507","3,003","104,953",0.1745,0.9722,4.5992
16,0.04724,0.04847,"4,942",200,0.0389,"114,045","491,565","3,203","104,753",0.1757,0.9703,4.5534
17,0.04848,0.04961,"4,661",200,0.0411,"118,706","486,904","3,403","104,553",0.1768,0.9685,4.5102
18,0.04961,0.05079,"4,765",200,0.0403,"123,471","482,139","3,603","104,353",0.1779,0.9666,4.4661
19,0.05079,0.05183,"4,133",200,0.0462,"127,604","478,006","3,803","104,153",0.1789,0.9648,4.4278
20,0.05183,0.05290,"4,326",200,0.0442,"131,930","473,680","4,003","103,953",0.1800,0.9629,4.3877
21,0.05290,0.05390,"4,131",200,0.0462,"136,061","469,549","4,203","103,753",0.1810,0.9611,4.3494
