,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.01043,0.01902,216,6,0.0270,216,"605,394",6,"107,950",0.1513,0.9999,5.6078
1,0.01902,0.02952,"4,045",100,0.0241,"4,261","601,349",106,"107,850",0.1521,0.9990,5.5703
2,0.02952,0.03234,"3,171",100,0.0306,"7,432","598,178",206,"107,750",0.1526,0.9981,5.5409
3,0.03234,0.03439,"3,239",100,0.0299,"10,671","594,939",306,"107,650",0.1532,0.9972,5.5109
4,0.03439,0.03659,"4,299",100,0.0227,"14,970","590,640",406,"107,550",0.1540,0.9962,5.4711
5,0.03659,0.03785,"2,756",100,0.0350,"17,726","587,884",506,"107,450",0.1545,0.9953,5.4456
6,0.03785,0.03885,"2,412",100,0.0398,"20,138","585,472",606,"107,350",0.1549,0.9944,5.4232
7,0.03885,0.03988,"2,664",100,0.0362,"22,802","582,808",706,"107,250",0.1554,0.9935,5.3986
8,0.03988,0.04097,"2,903",100,0.0333,"25,705","579,905",806,"107,150",0.1560,0.9925,5.3717
9,0.04097,0.04188,"2,538",101,0.0383,"28,243","577,367",907,"107,049",0.1564,0.9916,5.3482
10,0.04188,0.04279,"2,505",100,0.0384,"30,748","574,862","1,007","106,949",0.1569,0.9907,5.3250
11,0.04279,0.04350,"2,122",100,0.0450,"32,870","572,740","1,107","106,849",0.1572,0.9897,5.3053
12,0.04350,0.04431,"2,463",100,0.0390,"35,333","570,277","1,207","106,749",0.1577,0.9888,5.2825
13,0.04431,0.04525,"2,812",100,0.0343,"38,145","567,465","1,307","106,649",0.1582,0.9879,5.2564
14,0.04525,0.04602,"2,330",100,0.0412,"40,475","565,135","1,407","106,549",0.1586,0.9870,5.2349
15,0.04602,0.04667,"1,908",100,0.0498,"42,383","563,227","1,507","106,449",0.1590,0.9860,5.2172
16,0.04667,0.04738,"2,197",100,0.0435,"44,580","561,030","1,607","106,349",0.1594,0.9851,5.1968
17,0.04738,0.04796,"1,755",100,0.0539,"46,335","559,275","1,707","106,249",0.1596,0.9842,5.1806
18,0.04796,0.04852,"1,778",100,0.0532,"48,113","557,497","1,807","106,149",0.1599,0.9833,5.1641
19,0.04852,0.04912,"1,991",100,0.0478,"50,104","555,506","1,907","106,049",0.1603,0.9823,5.1457
20,0.04912,0.04974,"1,897",101,0.0506,"52,001","553,609","2,008","105,948",0.1606,0.9814,5.1281
21,0.04974,0.05037,"2,071",100,0.0461,"54,072","551,538","2,108","105,848",0.1610,0.9805,5.1089
22,0.05037,0.05095,"1,891",100,0.0502,"55,963","549,647","2,208","105,748",0.1614,0.9795,5.0914
23,0.05095,0.05153,"1,867",100,0.0508,"57,830","547,780","2,308","105,648",0.1617,0.9786,5.0741
24,0.05153,0.05216,"2,090",100,0.0457,"59,920","545,690","2,408","105,548",0.1621,0.9777,5.0547
25,0.05216,0.05277,"2,015",100,0.0473,"61,935","543,675","2,508","105,448",0.1624,0.9768,5.0361
26,0.05277,0.05335,"1,926",100,0.0494,"63,861","541,749","2,608","105,348",0.1628,0.9758,5.0182
27,0.05335,0.05386,"1,610",100,0.0585,"65,471","540,139","2,708","105,248",0.1631,0.9749,5.0033
28,0.05386,0.05431,"1,406",100,0.0664,"66,877","538,733","2,808","105,148",0.1633,0.9740,4.9903
29,0.05431,0.05482,"1,717",100,0.0550,"68,594","537,016","2,908","105,048",0.1636,0.9731,4.9744
30,0.05482,0.05531,"1,590",100,0.0592,"70,184","535,426","3,008","104,948",0.1639,0.9721,4.9597
31,0.05531,0.05580,"1,593",100,0.0591,"71,777","533,833","3,108","104,848",0.1642,0.9712,4.9449
32,0.05580,0.05626,"1,550",100,0.0606,"73,327","532,283","3,208","104,748",0.1644,0.9703,4.9306
33,0.05626,0.05676,"1,739",100,0.0544,"75,066","530,544","3,308","104,648",0.1648,0.9694,4.9144
34,0.05676,0.05730,"1,902",100,0.0500,"76,968","528,642","3,408","104,548",0.1651,0.9684,4.8968
