,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.172181,0.189797,115,0,0.0000,115,"605,495",0,"107,956",0.1513,1.0000,5.6087
1,0.189877,0.198088,224,10,0.0427,339,"605,271",10,"107,946",0.1514,0.9999,5.6066
2,0.198104,0.203780,257,10,0.0375,596,"605,014",20,"107,936",0.1514,0.9998,5.6043
3,0.203844,0.204874,96,10,0.0943,692,"604,918",30,"107,926",0.1514,0.9997,5.6034
4,0.204968,0.207548,430,10,0.0227,"1,122","604,488",40,"107,916",0.1515,0.9996,5.5994
5,0.207564,0.208503,226,10,0.0424,"1,348","604,262",50,"107,906",0.1515,0.9995,5.5973
6,0.208509,0.210341,208,10,0.0459,"1,556","604,054",60,"107,896",0.1515,0.9994,5.5954
7,0.210341,0.211539,213,10,0.0448,"1,769","603,841",70,"107,886",0.1516,0.9994,5.5934
8,0.211541,0.212811,233,11,0.0451,"2,002","603,608",81,"107,875",0.1516,0.9992,5.5912
9,0.212865,0.213501,176,11,0.0588,"2,178","603,432",92,"107,864",0.1516,0.9991,5.5896
10,0.213502,0.214067,262,10,0.0368,"2,440","603,170",102,"107,854",0.1517,0.9991,5.5872
11,0.214081,0.215272,232,12,0.0492,"2,672","602,938",114,"107,842",0.1517,0.9989,5.5850
12,0.215392,0.216166,194,11,0.0537,"2,866","602,744",125,"107,831",0.1518,0.9988,5.5832
13,0.216178,0.217834,245,10,0.0392,"3,111","602,499",135,"107,821",0.1518,0.9987,5.5810
14,0.217855,0.218826,275,10,0.0351,"3,386","602,224",145,"107,811",0.1518,0.9987,5.5784
15,0.218876,0.219961,268,11,0.0394,"3,654","601,956",156,"107,800",0.1519,0.9986,5.5759
16,0.219985,0.220523,264,10,0.0365,"3,918","601,692",166,"107,790",0.1519,0.9985,5.5735
17,0.220564,0.221118,211,10,0.0452,"4,129","601,481",176,"107,780",0.1520,0.9984,5.5715
18,0.221143,0.221773,343,11,0.0311,"4,472","601,138",187,"107,769",0.1520,0.9983,5.5684
19,0.221775,0.222363,209,11,0.0500,"4,681","600,929",198,"107,758",0.1521,0.9982,5.5664
20,0.222367,0.222495,145,10,0.0645,"4,826","600,784",208,"107,748",0.1521,0.9981,5.5651
21,0.222547,0.222831,247,11,0.0426,"5,073","600,537",219,"107,737",0.1521,0.9980,5.5628
22,0.222843,0.223524,344,10,0.0282,"5,417","600,193",229,"107,727",0.1522,0.9979,5.5596
23,0.223539,0.223864,257,10,0.0375,"5,674","599,936",239,"107,717",0.1522,0.9978,5.5572
24,0.223887,0.224074,150,12,0.0741,"5,824","599,786",251,"107,705",0.1522,0.9977,5.5558
25,0.224081,0.224651,376,10,0.0259,"6,200","599,410",261,"107,695",0.1523,0.9976,5.5524
26,0.224677,0.224955,191,10,0.0498,"6,391","599,219",271,"107,685",0.1523,0.9975,5.5506
27,0.224972,0.225310,205,10,0.0465,"6,596","599,014",281,"107,675",0.1524,0.9974,5.5487
28,0.225318,0.225466,180,10,0.0526,"6,776","598,834",291,"107,665",0.1524,0.9973,5.5470
29,0.225467,0.225745,268,11,0.0394,"7,044","598,566",302,"107,654",0.1524,0.9972,5.5445
30,0.225745,0.226323,407,10,0.0240,"7,451","598,159",312,"107,644",0.1525,0.9971,5.5408
31,0.226328,0.226619,268,12,0.0429,"7,719","597,891",324,"107,632",0.1526,0.9970,5.5383
32,0.226694,0.227264,278,10,0.0347,"7,997","597,613",334,"107,622",0.1526,0.9969,5.5357
33,0.227276,0.227761,201,11,0.0519,"8,198","597,412",345,"107,611",0.1526,0.9968,5.5338
34,0.227786,0.227908,146,11,0.0701,"8,344","597,266",356,"107,600",0.1527,0.9967,5.5325
