,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.01780,0.09784,"15,731",192,0.0121,"15,731","589,879",192,"107,764",0.1545,0.9982,5.4641
1,0.09785,0.11818,"11,882",200,0.0166,"27,613","577,997",392,"107,564",0.1569,0.9964,5.3540
2,0.11818,0.13221,"10,100",200,0.0194,"37,713","567,897",592,"107,364",0.1590,0.9945,5.2604
3,0.13221,0.14248,"8,088",200,0.0241,"45,801","559,809",792,"107,164",0.1607,0.9927,5.1855
4,0.14248,0.15203,"8,190",200,0.0238,"53,991","551,619",992,"106,964",0.1624,0.9908,5.1097
5,0.15203,0.15935,"6,425",200,0.0302,"60,416","545,194","1,192","106,764",0.1638,0.9890,5.0502
6,0.15935,0.16615,"6,296",200,0.0308,"66,712","538,898","1,392","106,564",0.1651,0.9871,4.9918
7,0.16615,0.17366,"7,068",200,0.0275,"73,780","531,830","1,592","106,364",0.1667,0.9853,4.9264
8,0.17366,0.18003,"6,146",200,0.0315,"79,926","525,684","1,792","106,164",0.1680,0.9834,4.8694
9,0.18003,0.18623,"6,253",200,0.0310,"86,179","519,431","1,992","105,964",0.1694,0.9815,4.8115
10,0.18623,0.19175,"5,591",200,0.0345,"91,770","513,840","2,192","105,764",0.1707,0.9797,4.7597
11,0.19175,0.19654,"4,857",200,0.0395,"96,627","508,983","2,392","105,564",0.1718,0.9778,4.7147
12,0.19654,0.20183,"5,516",200,0.0350,"102,143","503,467","2,592","105,364",0.1731,0.9760,4.6636
13,0.20183,0.20663,"4,974",200,0.0387,"107,117","498,493","2,792","105,164",0.1742,0.9741,4.6176
14,0.20663,0.21093,"4,532",200,0.0423,"111,649","493,961","2,992","104,964",0.1753,0.9723,4.5756
15,0.21093,0.21514,"4,449",200,0.0430,"116,098","489,512","3,192","104,764",0.1763,0.9704,4.5344
16,0.21514,0.21939,"4,565",200,0.0420,"120,663","484,947","3,392","104,564",0.1774,0.9686,4.4921
17,0.21939,0.22406,"5,053",200,0.0381,"125,716","479,894","3,592","104,364",0.1786,0.9667,4.4453
18,0.22406,0.22767,"3,972",200,0.0479,"129,688","475,922","3,792","104,164",0.1796,0.9649,4.4085
19,0.22767,0.23126,"3,953",200,0.0482,"133,641","471,969","3,992","103,964",0.1805,0.9630,4.3719
20,0.23126,0.23535,"4,581",200,0.0418,"138,222","467,388","4,192","103,764",0.1817,0.9612,4.3294
21,0.23535,0.23844,"3,452",200,0.0548,"141,674","463,936","4,392","103,564",0.1825,0.9593,4.2975
22,0.23844,0.24225,"4,185",200,0.0456,"145,859","459,751","4,592","103,364",0.1836,0.9575,4.2587
23,0.24226,0.24502,"3,166",200,0.0594,"149,025","456,585","4,792","103,164",0.1843,0.9556,4.2294
24,0.24502,0.24796,"3,217",200,0.0585,"152,242","453,368","4,992","102,964",0.1851,0.9538,4.1996
25,0.24796,0.25112,"3,601",200,0.0526,"155,843","449,767","5,192","102,764",0.1860,0.9519,4.1662
26,0.25112,0.25394,"3,279",200,0.0575,"159,122","446,488","5,392","102,564",0.1868,0.9501,4.1358
27,0.25394,0.25717,"3,690",200,0.0514,"162,812","442,798","5,592","102,364",0.1878,0.9482,4.1017
28,0.25717,0.26030,"3,633",200,0.0522,"166,445","439,165","5,792","102,164",0.1887,0.9463,4.0680
29,0.26030,0.26326,"3,382",200,0.0558,"169,827","435,783","5,992","101,964",0.1896,0.9445,4.0367
30,0.26326,0.26623,"3,379",200,0.0559,"173,206","432,404","6,192","101,764",0.1905,0.9426,4.0054
31,0.26623,0.26914,"3,290",200,0.0573,"176,496","429,114","6,392","101,564",0.1914,0.9408,3.9749
32,0.26914,0.27210,"3,304",200,0.0571,"179,800","425,810","6,592","101,364",0.1923,0.9389,3.9443
33,0.27210,0.27471,"3,038",200,0.0618,"182,838","422,772","6,792","101,164",0.1931,0.9371,3.9162
34,0.27471,0.27722,"2,846",200,0.0657,"185,684","419,926","6,992","100,964",0.1938,0.9352,3.8898
35,0.27722,0.28008,"3,364",200,0.0561,"189,048","416,562","7,192","100,764",0.1948,0.9334,3.8586
36,0.28008,0.28268,"3,006",200,0.0624,"192,054","413,556","7,392","100,564",0.1956,0.9315,3.8308
37,0.28268,0.28539,"3,182",200,0.0591,"195,236","410,374","7,592","100,364",0.1965,0.9297,3.8013
38,0.28539,0.28789,"3,004",200,0.0624,"198,240","407,370","7,792","100,164",0.1974,0.9278,3.7735
39,0.28789,0.29040,"2,843",200,0.0657,"201,083","404,527","7,992","99,964",0.1981,0.9260,3.7471
40,0.29041,0.29268,"2,634",200,0.0706,"203,717","401,893","8,192","99,764",0.1989,0.9241,3.7227
41,0.29268,0.29535,"3,031",200,0.0619,"206,748","398,862","8,392","99,564",0.1998,0.9223,3.6947
42,0.29535,0.29788,"2,879",200,0.0650,"209,627","395,983","8,592","99,364",0.2006,0.9204,3.6680
43,0.29788,0.30016,"2,503",200,0.0740,"212,130","393,480","8,792","99,164",0.2013,0.9186,3.6448
44,0.30016,0.30238,"2,620",200,0.0709,"214,750","390,860","8,992","98,964",0.2020,0.9167,3.6205
45,0.30239,0.30504,"3,091",200,0.0608,"217,841","387,769","9,192","98,764",0.2030,0.9149,3.5919
