,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.116396,0.118377,"2,113",73,0.0334,"2,113","603,497",73,"107,883",0.1517,0.9993,5.5902
1,0.118378,0.118943,"2,911",105,0.0348,"5,024","600,586",178,"107,778",0.1522,0.9984,5.5632
2,0.118944,0.119384,"2,284",100,0.0419,"7,308","598,302",278,"107,678",0.1525,0.9974,5.5421
3,0.119386,0.119590,"2,531",102,0.0387,"9,839","595,771",380,"107,576",0.1529,0.9965,5.5186
4,0.119590,0.119737,"2,303",103,0.0428,"12,142","593,468",483,"107,473",0.1533,0.9955,5.4973
5,0.119737,0.119868,"2,105",100,0.0454,"14,247","591,363",583,"107,373",0.1537,0.9946,5.4778
6,0.119869,0.120065,"2,350",100,0.0408,"16,597","589,013",683,"107,273",0.1541,0.9937,5.4560
7,0.120065,0.120322,"2,369",101,0.0409,"18,966","586,644",784,"107,172",0.1545,0.9927,5.4341
8,0.120324,0.120580,"2,066",100,0.0462,"21,032","584,578",884,"107,072",0.1548,0.9918,5.4150
9,0.120581,0.120779,"1,804",108,0.0565,"22,836","582,774",992,"106,964",0.1551,0.9908,5.3983
10,0.120779,0.120984,"2,228",104,0.0446,"25,064","580,546","1,096","106,860",0.1555,0.9898,5.3776
11,0.120985,0.121193,"1,936",100,0.0491,"27,000","578,610","1,196","106,760",0.1558,0.9889,5.3597
12,0.121194,0.121413,"1,828",100,0.0519,"28,828","576,782","1,296","106,660",0.1561,0.9880,5.3428
13,0.121415,0.121688,"1,860",102,0.0520,"30,688","574,922","1,398","106,558",0.1564,0.9871,5.3255
14,0.121688,0.122067,"2,419",105,0.0416,"33,107","572,503","1,503","106,453",0.1568,0.9861,5.3031
15,0.122067,0.122360,"1,633",102,0.0588,"34,740","570,870","1,605","106,351",0.1570,0.9851,5.2880
16,0.122360,0.122636,"1,443",101,0.0654,"36,183","569,427","1,706","106,250",0.1572,0.9842,5.2746
