,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.48266,0.48967,"40,229","5,538",0.1210,"40,229","565,381","5,538","102,418",0.1534,0.9487,5.2371
1,0.48967,0.49281,"42,904","6,400",0.1298,"83,133","522,477","11,938","96,018",0.1552,0.8894,4.8397
2,0.49281,0.49433,"51,521","6,403",0.1105,"134,654","470,956","18,341","89,615",0.1599,0.8301,4.3625
3,0.49433,0.49513,"43,263","6,400",0.1289,"177,917","427,693","24,741","83,215",0.1629,0.7708,3.9617
4,0.49513,0.49564,"39,805","6,400",0.1385,"217,722","387,888","31,141","76,815",0.1653,0.7115,3.5930
5,0.49564,0.49632,"43,515","6,402",0.1283,"261,237","344,373","37,543","70,413",0.1698,0.6522,3.1899
6,0.49632,0.49687,"34,626","6,409",0.1562,"295,863","309,747","43,952","64,004",0.1712,0.5929,2.8692
7,0.49687,0.49754,"33,712","6,400",0.1596,"329,575","276,035","50,352","57,604",0.1727,0.5336,2.5569
8,0.49754,0.49833,"36,970","6,400",0.1476,"366,545","239,065","56,752","51,204",0.1764,0.4743,2.2145
9,0.49833,0.49888,"40,663","6,401",0.1360,"407,208","198,402","63,153","44,803",0.1842,0.4150,1.8378
10,0.49888,0.49936,"39,813","6,400",0.1385,"447,021","158,589","69,553","38,403",0.1949,0.3557,1.4690
11,0.49936,0.49969,"31,874","6,400",0.1672,"478,895","126,715","75,953","32,003",0.2016,0.2964,1.1738
12,0.49969,0.50032,"32,176","6,400",0.1659,"511,071","94,539","82,353","25,603",0.2131,0.2372,0.8757
13,0.50032,0.50172,"27,657","6,400",0.1879,"538,728","66,882","88,753","19,203",0.2231,0.1779,0.6195
14,0.50172,0.50347,"26,134","6,400",0.1967,"564,862","40,748","95,153","12,803",0.2391,0.1186,0.3775
15,0.50347,0.50719,"21,795","6,402",0.2270,"586,657","18,953","101,555","6,401",0.2525,0.0593,0.1756
16,0.50719,0.59384,"18,953","6,401",0.2525,"605,610",0,"107,956",0,nan,0.0000,0.0000
