,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.477543,0.480320,67,4,0.0563,67,"605,543",4,"107,952",0.1513,1.0000,5.6092
1,0.480323,0.482214,211,50,0.1916,278,"605,332",54,"107,902",0.1513,0.9995,5.6072
2,0.482214,0.483122,310,50,0.1389,588,"605,022",104,"107,852",0.1513,0.9990,5.6043
3,0.483123,0.483752,257,50,0.1629,845,"604,765",154,"107,802",0.1513,0.9986,5.6020
4,0.483755,0.484485,277,50,0.1529,"1,122","604,488",204,"107,752",0.1513,0.9981,5.5994
5,0.484489,0.484904,219,50,0.1859,"1,341","604,269",254,"107,702",0.1513,0.9976,5.5974
6,0.484905,0.485314,436,50,0.1029,"1,777","603,833",304,"107,652",0.1513,0.9972,5.5933
7,0.485315,0.485490,280,50,0.1515,"2,057","603,553",354,"107,602",0.1513,0.9967,5.5907
8,0.485491,0.485763,336,50,0.1295,"2,393","603,217",404,"107,552",0.1513,0.9963,5.5876
9,0.485763,0.486042,437,50,0.1027,"2,830","602,780",454,"107,502",0.1514,0.9958,5.5836
10,0.486042,0.486183,325,50,0.1333,"3,155","602,455",504,"107,452",0.1514,0.9953,5.5806
11,0.486183,0.486327,301,50,0.1425,"3,456","602,154",554,"107,402",0.1514,0.9949,5.5778
12,0.486328,0.486508,303,50,0.1416,"3,759","601,851",604,"107,352",0.1514,0.9944,5.5750
13,0.486508,0.486683,266,50,0.1582,"4,025","601,585",654,"107,302",0.1514,0.9939,5.5725
14,0.486685,0.486862,287,50,0.1484,"4,312","601,298",704,"107,252",0.1514,0.9935,5.5698
15,0.486863,0.487025,319,50,0.1355,"4,631","600,979",754,"107,202",0.1514,0.9930,5.5669
16,0.487026,0.487180,326,50,0.1330,"4,957","600,653",804,"107,152",0.1514,0.9926,5.5639
17,0.487181,0.487326,319,50,0.1355,"5,276","600,334",854,"107,102",0.1514,0.9921,5.5609
18,0.487326,0.487453,261,50,0.1608,"5,537","600,073",904,"107,052",0.1514,0.9916,5.5585
19,0.487454,0.487597,283,50,0.1502,"5,820","599,790",954,"107,002",0.1514,0.9912,5.5559
20,0.487597,0.487726,330,50,0.1316,"6,150","599,460","1,004","106,952",0.1514,0.9907,5.5528
21,0.487726,0.487853,334,50,0.1302,"6,484","599,126","1,054","106,902",0.1514,0.9902,5.5497
22,0.487854,0.487957,284,50,0.1497,"6,768","598,842","1,104","106,852",0.1514,0.9898,5.5471
23,0.487957,0.488056,327,50,0.1326,"7,095","598,515","1,154","106,802",0.1514,0.9893,5.5441
24,0.488056,0.488143,257,50,0.1629,"7,352","598,258","1,204","106,752",0.1514,0.9888,5.5417
25,0.488144,0.488251,335,50,0.1299,"7,687","597,923","1,254","106,702",0.1514,0.9884,5.5386
26,0.488251,0.488347,274,50,0.1543,"7,961","597,649","1,304","106,652",0.1514,0.9879,5.5360
27,0.488348,0.488471,363,50,0.1211,"8,324","597,286","1,354","106,602",0.1514,0.9875,5.5327
28,0.488471,0.488582,315,50,0.1370,"8,639","596,971","1,404","106,552",0.1515,0.9870,5.5298
29,0.488583,0.488660,243,50,0.1706,"8,882","596,728","1,454","106,502",0.1514,0.9865,5.5275
30,0.488660,0.488749,300,50,0.1429,"9,182","596,428","1,504","106,452",0.1515,0.9861,5.5247
31,0.488749,0.488825,286,50,0.1488,"9,468","596,142","1,554","106,402",0.1515,0.9856,5.5221
32,0.488825,0.488894,288,50,0.1479,"9,756","595,854","1,604","106,352",0.1515,0.9851,5.5194
33,0.488894,0.488966,321,50,0.1348,"10,077","595,533","1,654","106,302",0.1515,0.9847,5.5164
34,0.488966,0.489037,302,50,0.1420,"10,379","595,231","1,704","106,252",0.1515,0.9842,5.5136
35,0.489038,0.489101,270,50,0.1562,"10,649","594,961","1,754","106,202",0.1515,0.9838,5.5111
36,0.489102,0.489182,344,50,0.1269,"10,993","594,617","1,804","106,152",0.1515,0.9833,5.5080
37,0.489182,0.489256,300,50,0.1429,"11,293","594,317","1,854","106,102",0.1515,0.9828,5.5052
38,0.489256,0.489351,347,50,0.1259,"11,640","593,970","1,904","106,052",0.1515,0.9824,5.5020
39,0.489352,0.489426,278,50,0.1524,"11,918","593,692","1,954","106,002",0.1515,0.9819,5.4994
40,0.489426,0.489507,299,50,0.1433,"12,217","593,393","2,004","105,952",0.1515,0.9814,5.4966
41,0.489507,0.489587,303,50,0.1416,"12,520","593,090","2,054","105,902",0.1515,0.9810,5.4938
42,0.489587,0.489652,282,50,0.1506,"12,802","592,808","2,104","105,852",0.1515,0.9805,5.4912
43,0.489652,0.489735,395,50,0.1124,"13,197","592,413","2,154","105,802",0.1515,0.9800,5.4875
44,0.489735,0.489793,293,50,0.1458,"13,490","592,120","2,204","105,752",0.1515,0.9796,5.4848
45,0.489794,0.489857,332,50,0.1309,"13,822","591,788","2,254","105,702",0.1515,0.9791,5.4818
46,0.489858,0.489916,290,50,0.1471,"14,112","591,498","2,304","105,652",0.1515,0.9787,5.4791
47,0.489916,0.489980,320,50,0.1351,"14,432","591,178","2,354","105,602",0.1516,0.9782,5.4761
48,0.489980,0.490027,225,50,0.1818,"14,657","590,953","2,404","105,552",0.1515,0.9777,5.4740
49,0.490027,0.490077,249,50,0.1672,"14,906","590,704","2,454","105,502",0.1515,0.9773,5.4717
50,0.490077,0.490134,291,50,0.1466,"15,197","590,413","2,504","105,452",0.1515,0.9768,5.4690
51,0.490135,0.490192,305,50,0.1408,"15,502","590,108","2,554","105,402",0.1515,0.9763,5.4662
52,0.490192,0.490257,285,50,0.1493,"15,787","589,823","2,604","105,352",0.1515,0.9759,5.4635
53,0.490257,0.490318,263,50,0.1597,"16,050","589,560","2,654","105,302",0.1515,0.9754,5.4611
54,0.490318,0.490390,342,50,0.1276,"16,392","589,218","2,704","105,252",0.1516,0.9750,5.4579
