Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
102,107,AdaBoost_Hard_Run_3,0.5007236523146028,0.5009562487418848,1034,1000,0.4916420845624385,601610,4000,102515,5441,0.576316068213113,0.05040016302938234,0.03705213235021675
106,108,AdaBoost_Medium_Run_3,0.5005827011319338,0.500952168922901,1000,1002,0.5004995004995005,604610,1000,106773,1183,0.5419147961520843,0.010958168142576606,0.009263033087554188
107,108,AdaBoost_Easy_Run_3,0.4989097686013495,0.4998702737686959,1725,1000,0.3669724770642202,605610,0,107956,0,,0.0,0.0
9,11,BalBag_Hard_Run_3,0.9,0.9875,8773,10571,0.5464743589743589,602322,3288,101411,6545,0.6656157835858842,0.06062655155804217,0.030456852791878174
23,24,BalBag_Medium_Run_3,1.0,1.0,4159,4562,0.5231051484921454,605610,0,107956,0,,0.0,0.0
104,105,BalBag_Easy_Run_3,0.98,1.0,1072,1065,0.4983621899859616,605610,0,107956,0,,0.0,0.0
52,63,BRFC_alpha_0_5_Hard_Run_3,0.79,0.7999999999999998,1779,1718,0.4912782384901344,591868,13742,84300,23656,0.6325471950371677,0.2191263107191819,0.12729260068916967
86,92,BRFC_alpha_0_5_Medium_Run_3,0.8833333333333334,0.8906410533910534,1023,1012,0.4972972972972973,600242,5368,101261,6695,0.5550029014341374,0.062016006521175296,0.04972396161399088
107,108,BRFC_alpha_0_5_Easy_Run_3,0.9525317460317462,1.0,1002,1159,0.5363257751041185,605610,0,107956,0,,0.0,0.0
54,65,BRFC_alpha_balanced_Hard_Run_3,0.79,0.7998565696766261,1669,1672,0.5004489673750374,592333,13277,85188,22768,0.6316548758496324,0.21090073733743378,0.12298529030345696
90,96,BRFC_alpha_balanced_Medium_Run_3,0.8965155926229561,0.9035889272671448,1016,1002,0.4965312190287413,599809,5801,101924,6032,0.5097608383334742,0.05587461558412687,0.05373485494090185
