,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.4887624626772006,0.4910134906151039,"2,598",63,0.0237,"2,598","603,012",63,"107,893",0.1518,0.9994,5.5857
1,0.4910137334520284,0.4918274280696628,"14,371",400,0.0271,"16,969","588,641",463,"107,493",0.1544,0.9957,5.4526
2,0.4918274690517883,0.4920848104193397,"9,896",400,0.0389,"26,865","578,745",863,"107,093",0.1561,0.9920,5.3609
3,0.4920848650974289,0.4923044352379902,"10,330",400,0.0373,"37,195","568,415","1,263","106,693",0.1580,0.9883,5.2652
4,0.4923044375562232,0.4924606528474957,"8,320",400,0.0459,"45,515","560,095","1,663","106,293",0.1595,0.9846,5.1882
5,0.4924606690438208,0.4925946793359617,"7,694",400,0.0494,"53,209","552,401","2,063","105,893",0.1609,0.9809,5.1169
6,0.4925946878099358,0.492715669074442,"7,755",400,0.0490,"60,964","544,646","2,463","105,493",0.1623,0.9772,5.0451
7,0.4927156991710937,0.492826607386467,"7,241",400,0.0523,"68,205","537,405","2,863","105,093",0.1636,0.9735,4.9780
8,0.4928266290077379,0.492932644524133,"7,359",400,0.0516,"75,564","530,046","3,263","104,693",0.1649,0.9698,4.9098
9,0.4929326478952735,0.4930269660070757,"7,035",400,0.0538,"82,599","523,011","3,663","104,293",0.1663,0.9661,4.8447
10,0.4930269742314873,0.4931147237288336,"6,786",400,0.0557,"89,385","516,225","4,063","103,893",0.1675,0.9624,4.7818
11,0.4931147288684781,0.4931954510547741,"6,576",400,0.0573,"95,961","509,649","4,463","103,493",0.1688,0.9587,4.7209
12,0.4931954673971698,0.4932685179267724,"6,128",400,0.0613,"102,089","503,521","4,863","103,093",0.1699,0.9550,4.6641
13,0.4932685276372709,0.4933323967190268,"5,521",400,0.0676,"107,610","498,000","5,263","102,693",0.1710,0.9512,4.6130
14,0.4933324179228048,0.493396775714856,"5,799",400,0.0645,"113,409","492,201","5,663","102,293",0.1721,0.9475,4.5593
15,0.4933967869324156,0.493452973718934,"5,060",400,0.0733,"118,469","487,141","6,063","101,893",0.1730,0.9438,4.5124
16,0.4934529745855761,0.4935168760264816,"5,907",400,0.0634,"124,376","481,234","6,463","101,493",0.1742,0.9401,4.4577
17,0.4935169208077305,0.4935740175258757,"5,368",401,0.0695,"129,744","475,866","6,864","101,092",0.1752,0.9364,4.4080
18,0.4935740188026394,0.4936266569925806,"5,121",401,0.0726,"134,865","470,745","7,265","100,691",0.1762,0.9327,4.3605
19,0.4936266571039726,0.4936806999959067,"5,378",400,0.0692,"140,243","465,367","7,665","100,291",0.1773,0.9290,4.3107
20,0.4936807038399778,0.4937339199325935,"5,314",400,0.0700,"145,557","460,053","8,065","99,891",0.1784,0.9253,4.2615
