,0
0.35,11786
0.37,11606
0.41,11582
0.4,11573
0.38,11571
0.33,11569
0.36,11546
0.34,11537
0.31,11513
0.3,11495
0.32,11471
0.39,11455
0.29,11335
0.28,11224
0.42,11171
0.43,11122
0.44,11011
0.45,10913
0.27,10877
0.26,10836
0.46,10623
0.25,10575
0.24,10565
0.47,10525
0.48,10470
0.23,10442
0.49,10358
0.5,10167
0.22,10015
0.51,9910
0.21,9714
0.2,9704
0.52,9510
0.19,9396
0.53,9299
0.54,9081
0.18,8974
0.56,8856
0.55,8823
0.17,8653
0.57,8493
0.16,8430
0.58,8272
0.59,8169
0.15,7897
0.6,7808
0.14,7537
0.61,7492
0.62,7269
0.13,7090
0.63,6898
0.64,6633
0.12,6610
0.65,6395
0.11,6135
0.66,6077
0.67,5771
0.1,5551
0.68,5523
0.69,5217
0.09,5150
0.7,4930
0.71,4742
0.08,4438
0.72,4416
0.73,4136
0.74,4020
0.75,3984
0.07,3818
0.76,3684
0.77,3524
0.06,3284
0.79,3253
0.78,3225
0.8,2907
0.81,2868
0.82,2807
0.05,2673
0.83,2629
0.84,2530
0.85,2362
0.86,2240
0.87,2116
0.04,2114
0.88,2032
0.89,1913
0.9,1795
0.91,1649
0.03,1623
0.92,1519
0.93,1353
0.02,1162
0.94,1152
0.95,1028
0.96,792
0.01,777
0.97,597
0.0,576
0.415,413
0.355,383
