,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.00000,0.08571,"76,341","2,083",0.0266,"76,341","529,269","2,083","105,873",0.1667,0.9807,4.9026
1,0.10000,0.14167,"96,670","4,658",0.0460,"173,011","432,599","6,741","101,215",0.1896,0.9376,4.0072
2,0.15000,0.20000,660,32,0.0462,"173,671","431,939","6,773","101,183",0.1898,0.9373,4.0011
3,0.20000,0.24000,"99,135","7,452",0.0699,"272,806","332,804","14,225","93,731",0.2197,0.8682,3.0828
4,0.25000,0.26000,543,40,0.0686,"273,349","332,261","14,265","93,691",0.2200,0.8679,3.0777
5,0.26667,0.27143,240,32,0.1176,"273,589","332,021","14,297","93,659",0.2200,0.8676,3.0755
6,0.27500,0.28750,125,25,0.1667,"273,714","331,896","14,322","93,634",0.2200,0.8673,3.0744
7,0.30000,0.34167,"92,213","9,913",0.0971,"365,927","239,683","24,235","83,721",0.2589,0.7755,2.2202
8,0.35000,0.36000,517,66,0.1132,"366,444","239,166","24,301","83,655",0.2591,0.7749,2.2154
9,0.36667,0.39167,368,56,0.1321,"366,812","238,798","24,357","83,599",0.2593,0.7744,2.2120
10,0.40000,0.44667,"77,234","12,266",0.1371,"444,046","161,564","36,623","71,333",0.3063,0.6608,1.4966
11,0.45000,0.46500,498,89,0.1516,"444,544","161,066","36,712","71,244",0.3067,0.6599,1.4920
12,0.46667,0.47143,217,39,0.1523,"444,761","160,849","36,751","71,205",0.3068,0.6596,1.4899
13,0.47500,0.49667,133,27,0.1688,"444,894","160,716","36,778","71,178",0.3069,0.6593,1.4887
14,0.50000,0.55000,"60,037","13,339",0.1818,"504,931","100,679","50,117","57,839",0.3649,0.5358,0.9326
15,0.55000,0.56333,333,103,0.2362,"505,264","100,346","50,220","57,736",0.3652,0.5348,0.9295
16,0.56667,0.57167,190,74,0.2803,"505,454","100,156","50,294","57,662",0.3654,0.5341,0.9277
17,0.57500,0.59667,110,38,0.2568,"505,564","100,046","50,332","57,624",0.3655,0.5338,0.9267
18,0.60000,0.61667,"42,727","13,894",0.2454,"548,291","57,319","64,226","43,730",0.4328,0.4051,0.5309
19,0.61667,0.65000,55,26,0.3210,"548,346","57,264","64,252","43,704",0.4329,0.4048,0.5304
20,0.65000,0.66333,267,104,0.2803,"548,613","56,997","64,356","43,600",0.4334,0.4039,0.5280
21,0.66667,0.67071,147,41,0.2181,"548,760","56,850","64,397","43,559",0.4338,0.4035,0.5266
22,0.67500,0.69667,73,40,0.3540,"548,833","56,777","64,437","43,519",0.4339,0.4031,0.5259
23,0.70000,0.70833,"27,619","13,537",0.3289,"576,452","29,158","77,974","29,982",0.5070,0.2777,0.2701
24,0.71333,0.75000,61,25,0.2907,"576,513","29,097","77,999","29,957",0.5073,0.2775,0.2695
25,0.75000,0.76000,158,89,0.3603,"576,671","28,939","78,088","29,868",0.5079,0.2767,0.2681
26,0.76571,0.76667,40,25,0.3846,"576,711","28,899","78,113","29,843",0.5080,0.2764,0.2677
27,0.76667,0.77000,57,39,0.4062,"576,768","28,842","78,152","29,804",0.5082,0.2761,0.2672
28,0.77500,0.79333,44,37,0.4568,"576,812","28,798","78,189","29,767",0.5083,0.2757,0.2668
29,0.80000,0.81667,"16,509","12,478",0.4305,"593,321","12,289","90,667","17,289",0.5845,0.1601,0.1138
30,0.81667,0.84500,34,28,0.4516,"593,355","12,255","90,695","17,261",0.5848,0.1599,0.1135
31,0.85000,0.86333,96,77,0.4451,"593,451","12,159","90,772","17,184",0.5856,0.1592,0.1126
32,0.86667,0.87167,62,42,0.4038,"593,513","12,097","90,814","17,142",0.5863,0.1588,0.1121
33,0.87500,0.89667,36,26,0.4194,"593,549","12,061","90,840","17,116",0.5866,0.1585,0.1117
34,0.90000,0.94167,"8,709","10,495",0.5465,"602,258","3,352","101,335","6,621",0.6639,0.0613,0.0310
35,0.95000,0.96000,39,34,0.4658,"602,297","3,313","101,369","6,587",0.6654,0.0610,0.0307
36,0.96667,0.98750,25,42,0.6269,"602,322","3,288","101,411","6,545",0.6656,0.0606,0.0305
37,1.00000,1.00000,"3,288","6,545",0.6656,"605,610",0,"107,956",0,nan,0.0000,0.0000
