,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0529,0.1882,"24,881",785,0.0306,"24,881","580,729",785,"107,171",0.1558,0.9927,5.3793
1,0.1882,0.2191,"23,318","1,000",0.0411,"48,199","557,411","1,785","106,171",0.1600,0.9835,5.1633
2,0.2191,0.2404,"18,815","1,000",0.0505,"67,014","538,596","2,785","105,171",0.1634,0.9742,4.9890
3,0.2404,0.2595,"18,275","1,000",0.0519,"85,289","520,321","3,785","104,171",0.1668,0.9649,4.8198
4,0.2595,0.2743,"15,582","1,000",0.0603,"100,871","504,739","4,785","103,171",0.1697,0.9557,4.6754
5,0.2743,0.2881,"15,012","1,000",0.0625,"115,883","489,727","5,785","102,171",0.1726,0.9464,4.5364
6,0.2881,0.2996,"12,961","1,001",0.0717,"128,844","476,766","6,786","101,170",0.1751,0.9371,4.4163
7,0.2996,0.3106,"12,827","1,000",0.0723,"141,671","463,939","7,786","100,170",0.1776,0.9279,4.2975
8,0.3106,0.3214,"13,153","1,000",0.0707,"154,824","450,786","8,786","99,170",0.1803,0.9186,4.1756
9,0.3214,0.3307,"11,640","1,000",0.0791,"166,464","439,146","9,786","98,170",0.1827,0.9094,4.0678
10,0.3307,0.3399,"11,677","1,000",0.0789,"178,141","427,469","10,786","97,170",0.1852,0.9001,3.9597
11,0.3399,0.3481,"10,669","1,000",0.0857,"188,810","416,800","11,786","96,170",0.1875,0.8908,3.8608
12,0.3481,0.3560,"10,409","1,000",0.0877,"199,219","406,391","12,786","95,170",0.1897,0.8816,3.7644
13,0.3560,0.3633,"9,837","1,000",0.0923,"209,056","396,554","13,786","94,170",0.1919,0.8723,3.6733
14,0.3633,0.3702,"9,466","1,000",0.0955,"218,522","387,088","14,786","93,170",0.1940,0.8630,3.5856
15,0.3702,0.3771,"9,578","1,000",0.0945,"228,100","377,510","15,786","92,170",0.1962,0.8538,3.4969
16,0.3771,0.3837,"9,269","1,000",0.0974,"237,369","368,241","16,786","91,170",0.1984,0.8445,3.4110
17,0.3837,0.3901,"9,020","1,000",0.0998,"246,389","359,221","17,786","90,170",0.2006,0.8352,3.3275
18,0.3901,0.3961,"8,670","1,000",0.1034,"255,059","350,551","18,786","89,170",0.2028,0.8260,3.2472
19,0.3961,0.4020,"8,696","1,000",0.1031,"263,755","341,855","19,786","88,170",0.2050,0.8167,3.1666
20,0.4020,0.4079,"8,455","1,000",0.1058,"272,210","333,400","20,786","87,170",0.2073,0.8075,3.0883
21,0.4079,0.4134,"7,907","1,000",0.1123,"280,117","325,493","21,786","86,170",0.2093,0.7982,3.0151
22,0.4134,0.4189,"8,087","1,000",0.1100,"288,204","317,406","22,786","85,170",0.2116,0.7889,2.9401
23,0.4189,0.4239,"7,252","1,000",0.1212,"295,456","310,154","23,786","84,170",0.2135,0.7797,2.8730
24,0.4239,0.4292,"7,664","1,000",0.1154,"303,120","302,490","24,786","83,170",0.2157,0.7704,2.8020
25,0.4292,0.4344,"7,672","1,000",0.1153,"310,792","294,818","25,786","82,170",0.2180,0.7611,2.7309
26,0.4344,0.4392,"6,752","1,000",0.1290,"317,544","288,066","26,786","81,170",0.2198,0.7519,2.6684
27,0.4392,0.4441,"7,012","1,000",0.1248,"324,556","281,054","27,786","80,170",0.2219,0.7426,2.6034
28,0.4441,0.4487,"6,591","1,000",0.1317,"331,147","274,463","28,786","79,170",0.2239,0.7334,2.5424
29,0.4487,0.4534,"6,546","1,000",0.1325,"337,693","267,917","29,786","78,170",0.2259,0.7241,2.4817
30,0.4534,0.4582,"6,833","1,000",0.1277,"344,526","261,084","30,786","77,170",0.2281,0.7148,2.4184
31,0.4582,0.4629,"6,548","1,000",0.1325,"351,074","254,536","31,786","76,170",0.2303,0.7056,2.3578
32,0.4629,0.4674,"6,279","1,000",0.1374,"357,353","248,257","32,786","75,170",0.2324,0.6963,2.2996
33,0.4674,0.4717,"5,956","1,000",0.1438,"363,309","242,301","33,786","74,170",0.2344,0.6870,2.2444
34,0.4717,0.4762,"6,119","1,000",0.1405,"369,428","236,182","34,786","73,170",0.2365,0.6778,2.1878
35,0.4762,0.4809,"6,469","1,000",0.1339,"375,897","229,713","35,786","72,170",0.2391,0.6685,2.1278
36,0.4809,0.4851,"5,697","1,000",0.1493,"381,594","224,016","36,786","71,170",0.2411,0.6593,2.0751
37,0.4851,0.4895,"5,939","1,000",0.1441,"387,533","218,077","37,786","70,170",0.2434,0.6500,2.0201
38,0.4895,0.4936,"5,599","1,000",0.1515,"393,132","212,478","38,786","69,170",0.2456,0.6407,1.9682
39,0.4936,0.4982,"5,865","1,000",0.1457,"398,997","206,613","39,786","68,170",0.2481,0.6315,1.9139
40,0.4982,0.5023,"5,397","1,000",0.1563,"404,394","201,216","40,786","67,170",0.2503,0.6222,1.8639
41,0.5023,0.5063,"5,235","1,000",0.1604,"409,629","195,981","41,786","66,170",0.2524,0.6129,1.8154
42,0.5063,0.5104,"5,264","1,000",0.1596,"414,893","190,717","42,786","65,170",0.2547,0.6037,1.7666
43,0.5104,0.5143,"4,889","1,000",0.1698,"419,782","185,828","43,786","64,170",0.2567,0.5944,1.7213
44,0.5143,0.5187,"5,360","1,000",0.1572,"425,142","180,468","44,786","63,170",0.2593,0.5851,1.6717
45,0.5187,0.5230,"5,165","1,000",0.1622,"430,307","175,303","45,786","62,170",0.2618,0.5759,1.6238
46,0.5230,0.5272,"5,060","1,000",0.1650,"435,367","170,243","46,786","61,170",0.2643,0.5666,1.5770
47,0.5272,0.5312,"4,749","1,000",0.1739,"440,116","165,494","47,786","60,170",0.2666,0.5574,1.5330
48,0.5312,0.5354,"4,923","1,000",0.1688,"445,039","160,571","48,786","59,170",0.2693,0.5481,1.4874
49,0.5354,0.5393,"4,563","1,000",0.1798,"449,602","156,008","49,786","58,170",0.2716,0.5388,1.4451
50,0.5393,0.5435,"4,822","1,000",0.1718,"454,424","151,186","50,786","57,170",0.2744,0.5296,1.4004
51,0.5435,0.5475,"4,471","1,000",0.1828,"458,895","146,715","51,786","56,170",0.2769,0.5203,1.3590
52,0.5475,0.5516,"4,319","1,000",0.1880,"463,214","142,396","52,786","55,170",0.2792,0.5110,1.3190
53,0.5516,0.5558,"4,549","1,000",0.1802,"467,763","137,847","53,786","54,170",0.2821,0.5018,1.2769
54,0.5558,0.5601,"4,513","1,000",0.1814,"472,276","133,334","54,786","53,170",0.2851,0.4925,1.2351
55,0.5601,0.5640,"3,960","1,000",0.2016,"476,236","129,374","55,786","52,170",0.2874,0.4833,1.1984
56,0.5640,0.5682,"4,223","1,000",0.1915,"480,459","125,151","56,786","51,170",0.2902,0.4740,1.1593
57,0.5682,0.5726,"4,069","1,000",0.1973,"484,528","121,082","57,786","50,170",0.2930,0.4647,1.1216
58,0.5726,0.5770,"4,207","1,000",0.1920,"488,735","116,875","58,786","49,170",0.2961,0.4555,1.0826
59,0.5770,0.5812,"3,859","1,000",0.2058,"492,594","113,016","59,786","48,170",0.2988,0.4462,1.0469
60,0.5812,0.5856,"3,803","1,000",0.2082,"496,397","109,213","60,786","47,170",0.3016,0.4369,1.0116
61,0.5856,0.5899,"3,817","1,000",0.2076,"500,214","105,396","61,786","46,170",0.3046,0.4277,0.9763
62,0.5899,0.5941,"3,549","1,000",0.2198,"503,763","101,847","62,786","45,170",0.3072,0.4184,0.9434
63,0.5941,0.5984,"3,680","1,000",0.2137,"507,443","98,167","63,786","44,170",0.3103,0.4091,0.9093
64,0.5984,0.6028,"3,623","1,000",0.2163,"511,066","94,544","64,786","43,170",0.3135,0.3999,0.8758
65,0.6028,0.6073,"3,685","1,000",0.2134,"514,751","90,859","65,786","42,170",0.3170,0.3906,0.8416
66,0.6073,0.6118,"3,394","1,000",0.2276,"518,145","87,465","66,786","41,170",0.3201,0.3814,0.8102
67,0.6118,0.6164,"3,439","1,000",0.2253,"521,584","84,026","67,786","40,170",0.3234,0.3721,0.7783
68,0.6164,0.6211,"3,347","1,000",0.2300,"524,931","80,679","68,786","39,170",0.3268,0.3628,0.7473
69,0.6211,0.6257,"3,195","1,000",0.2384,"528,126","77,484","69,786","38,170",0.3300,0.3536,0.7177
70,0.6257,0.6305,"3,353","1,000",0.2297,"531,479","74,131","70,786","37,170",0.3340,0.3443,0.6867
71,0.6305,0.6355,"3,343","1,000",0.2303,"534,822","70,788","71,786","36,170",0.3382,0.3350,0.6557
72,0.6355,0.6408,"3,474","1,000",0.2235,"538,296","67,314","72,786","35,170",0.3432,0.3258,0.6235
73,0.6408,0.6454,"2,763","1,000",0.2657,"541,059","64,551","73,786","34,170",0.3461,0.3165,0.5979
74,0.6454,0.6504,"2,837","1,000",0.2606,"543,896","61,714","74,786","33,170",0.3496,0.3073,0.5717
75,0.6504,0.6557,"2,969","1,001",0.2521,"546,865","58,745","75,787","32,169",0.3538,0.2980,0.5442
76,0.6557,0.6608,"2,713","1,000",0.2693,"549,578","56,032","76,787","31,169",0.3574,0.2887,0.5190
77,0.6608,0.6663,"2,938","1,000",0.2539,"552,516","53,094","77,787","30,169",0.3623,0.2795,0.4918
