,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.10387,0.11903,"36,161",772,0.0209,"36,161","569,449",772,"107,184",0.1584,0.9928,5.2748
1,0.11903,0.12248,"29,297","1,000",0.0330,"65,458","540,152","1,772","106,184",0.1643,0.9836,5.0034
2,0.12248,0.12438,"22,190","1,000",0.0431,"87,648","517,962","2,772","105,184",0.1688,0.9743,4.7979
3,0.12438,0.12572,"16,895","1,000",0.0559,"104,543","501,067","3,772","104,184",0.1721,0.9651,4.6414
4,0.12572,0.12697,"16,961","1,000",0.0557,"121,504","484,106","4,772","103,184",0.1757,0.9558,4.4843
5,0.12697,0.12795,"14,216","1,000",0.0657,"135,720","469,890","5,772","102,184",0.1786,0.9465,4.3526
6,0.12795,0.12896,"14,324","1,000",0.0653,"150,044","455,566","6,772","101,184",0.1817,0.9373,4.2199
7,0.12896,0.13003,"15,623","1,000",0.0602,"165,667","439,943","7,772","100,184",0.1855,0.9280,4.0752
8,0.13003,0.13102,"14,141","1,000",0.0660,"179,808","425,802","8,772","99,184",0.1889,0.9187,3.9442
9,0.13103,0.13190,"13,747","1,000",0.0678,"193,555","412,055","9,772","98,184",0.1924,0.9095,3.8169
10,0.13190,0.13265,"12,368","1,001",0.0749,"205,923","399,687","10,773","97,183",0.1956,0.9002,3.7023
11,0.13265,0.13336,"12,389","1,000",0.0747,"218,312","387,298","11,773","96,183",0.1989,0.8909,3.5876
12,0.13336,0.13396,"10,386","1,000",0.0878,"228,698","376,912","12,773","95,183",0.2016,0.8817,3.4913
13,0.13396,0.13448,"9,878","1,002",0.0921,"238,576","367,034","13,775","94,181",0.2042,0.8724,3.3998
14,0.13448,0.13497,"9,206","1,000",0.0980,"247,782","357,828","14,775","93,181",0.2066,0.8631,3.3146
15,0.13497,0.13543,"8,797","1,000",0.1021,"256,579","349,031","15,775","92,181",0.2089,0.8539,3.2331
16,0.13543,0.13585,"8,017","1,000",0.1109,"264,596","341,014","16,775","91,181",0.2110,0.8446,3.1588
17,0.13585,0.13629,"8,488","1,000",0.1054,"273,084","332,526","17,775","90,181",0.2133,0.8353,3.0802
18,0.13629,0.13668,"7,302","1,000",0.1205,"280,386","325,224","18,775","89,181",0.2152,0.8261,3.0126
19,0.13668,0.13704,"7,320","1,000",0.1202,"287,706","317,904","19,775","88,181",0.2171,0.8168,2.9448
20,0.13704,0.13740,"6,922","1,000",0.1262,"294,628","310,982","20,775","87,181",0.2190,0.8076,2.8806
21,0.13740,0.13775,"6,711","1,000",0.1297,"301,339","304,271","21,775","86,181",0.2207,0.7983,2.8185
22,0.13775,0.13812,"6,794","1,000",0.1283,"308,133","297,477","22,775","85,181",0.2226,0.7890,2.7555
23,0.13812,0.13846,"6,113","1,000",0.1406,"314,246","291,364","23,775","84,181",0.2242,0.7798,2.6989
24,0.13846,0.13880,"5,963","1,000",0.1436,"320,209","285,401","24,775","83,181",0.2257,0.7705,2.6437
25,0.13880,0.13918,"6,564","1,000",0.1322,"326,773","278,837","25,775","82,181",0.2276,0.7612,2.5829
26,0.13918,0.13951,"5,859","1,000",0.1458,"332,632","272,978","26,775","81,181",0.2292,0.7520,2.5286
27,0.13951,0.13984,"5,911","1,000",0.1447,"338,543","267,067","27,775","80,181",0.2309,0.7427,2.4739
28,0.13984,0.14020,"6,079","1,000",0.1413,"344,622","260,988","28,775","79,181",0.2328,0.7335,2.4175
29,0.14020,0.14056,"5,970","1,010",0.1447,"350,592","255,018","29,785","78,171",0.2346,0.7241,2.3622
30,0.14056,0.14091,"5,430","1,000",0.1555,"356,022","249,588","30,785","77,171",0.2362,0.7148,2.3119
31,0.14091,0.14125,"5,217","1,000",0.1608,"361,239","244,371","31,785","76,171",0.2376,0.7056,2.2636
32,0.14125,0.14162,"5,476","1,000",0.1544,"366,715","238,895","32,785","75,171",0.2393,0.6963,2.2129
33,0.14162,0.14200,"5,199","1,000",0.1613,"371,914","233,696","33,785","74,171",0.2409,0.6870,2.1647
34,0.14200,0.14240,"5,610","1,000",0.1513,"377,524","228,086","34,785","73,171",0.2429,0.6778,2.1128
35,0.14240,0.14277,"5,094","1,000",0.1641,"382,618","222,992","35,785","72,171",0.2445,0.6685,2.0656
36,0.14277,0.14319,"5,635","1,000",0.1507,"388,253","217,357","36,785","71,171",0.2467,0.6593,2.0134
37,0.14319,0.14362,"5,489","1,001",0.1542,"393,742","211,868","37,786","70,170",0.2488,0.6500,1.9625
38,0.14362,0.14404,"5,341","1,000",0.1577,"399,083","206,527","38,786","69,170",0.2509,0.6407,1.9131
39,0.14404,0.14445,"5,174","1,000",0.1620,"404,257","201,353","39,786","68,170",0.2529,0.6315,1.8651
40,0.14445,0.14487,"4,811","1,002",0.1724,"409,068","196,542","40,788","67,168",0.2547,0.6222,1.8206
41,0.14487,0.14531,"4,960","1,000",0.1678,"414,028","191,582","41,788","66,168",0.2567,0.6129,1.7746
42,0.14531,0.14574,"4,707","1,000",0.1752,"418,735","186,875","42,788","65,168",0.2586,0.6037,1.7310
43,0.14574,0.14617,"4,558","1,000",0.1799,"423,293","182,317","43,788","64,168",0.2603,0.5944,1.6888
44,0.14617,0.14666,"4,966","1,000",0.1676,"428,259","177,351","44,788","63,168",0.2626,0.5851,1.6428
45,0.14666,0.14714,"4,449","1,000",0.1835,"432,708","172,902","45,788","62,168",0.2645,0.5759,1.6016
46,0.14714,0.14763,"4,425","1,000",0.1843,"437,133","168,477","46,788","61,168",0.2664,0.5666,1.5606
47,0.14763,0.14812,"4,418","1,000",0.1846,"441,551","164,059","47,788","60,168",0.2683,0.5573,1.5197
48,0.14812,0.14862,"4,513","1,000",0.1814,"446,064","159,546","48,788","59,168",0.2705,0.5481,1.4779
49,0.14862,0.14909,"4,058","1,000",0.1977,"450,122","155,488","49,788","58,168",0.2723,0.5388,1.4403
50,0.14909,0.14959,"4,032","1,001",0.1989,"454,154","151,456","50,789","57,167",0.2740,0.5295,1.4029
51,0.14959,0.15010,"3,742","1,000",0.2109,"457,896","147,714","51,789","56,167",0.2755,0.5203,1.3683
52,0.15010,0.15065,"3,864","1,002",0.2059,"461,760","143,850","52,791","55,165",0.2772,0.5110,1.3325
53,0.15065,0.15119,"3,809","1,000",0.2079,"465,569","140,041","53,791","54,165",0.2789,0.5017,1.2972
54,0.15119,0.15174,"3,805","1,000",0.2081,"469,374","136,236","54,791","53,165",0.2807,0.4925,1.2620
55,0.15174,0.15233,"3,890","1,000",0.2045,"473,264","132,346","55,791","52,165",0.2827,0.4832,1.2259
56,0.15233,0.15297,"3,719","1,000",0.2119,"476,983","128,627","56,791","51,165",0.2846,0.4739,1.1915
57,0.15297,0.15363,"3,494","1,000",0.2225,"480,477","125,133","57,791","50,165",0.2862,0.4647,1.1591
58,0.15363,0.15427,"3,364","1,000",0.2291,"483,841","121,769","58,791","49,165",0.2876,0.4554,1.1280
59,0.15427,0.15496,"3,435","1,000",0.2255,"487,276","118,334","59,791","48,165",0.2893,0.4462,1.0961
60,0.15496,0.15568,"3,212","1,000",0.2374,"490,488","115,122","60,791","47,165",0.2906,0.4369,1.0664
61,0.15568,0.15642,"3,297","1,000",0.2327,"493,785","111,825","61,791","46,165",0.2922,0.4276,1.0358
