p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.29,RFC_5_Fold_Hard_Test,560,1008,0.6428571428571429,605330,280,107152,804,0.7416974169741697,0.007447478602393568,0.0025936492645151727,0.0015191306760692074
0.88,RFC_5_Fold_Hard_Test_Transformed_100,97,209,0.6830065359477124,605198,412,106921,1035,0.7152729785763648,0.009587239245618585,0.003816369632072326,0.0020278432548636004
0.99,RFC_5_Fold_Hard_Test_Transformed_98,114,218,0.6566265060240963,605088,522,106696,1260,0.7070707070707071,0.011671421690318278,0.004835303271703287,0.0024973162958997486
1.0,RFC_5_Fold_Hard_Test_Transformed_95,1736,2932,0.6281062553556127,605610,0,107956,0,,0.0,0.0,0.0
0.88,BRFC_5_Fold_alpha_0_5_Hard_Test,732,1422,0.6601671309192201,602043,3567,98507,9449,0.7259526736324524,0.08752639964429954,0.03304123902330579,0.018240779409332844
0.88,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,732,1422,0.6601671309192201,602043,3567,98507,9449,0.7259526736324524,0.08752639964429954,0.03304123902330579,0.018240779409332844
0.92,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,709,1402,0.6641402179062056,602070,3540,98563,9393,0.7262816051960103,0.0870076697913965,0.032791137129941826,0.018124462208120903
0.94,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,710,1403,0.6639848556554662,602078,3532,98579,9377,0.7263924393833759,0.08685946126199563,0.03271703286524139,0.018090828318613836
0.88,BRFC_5_Fold_alpha_balanced_Hard_Test,716,1362,0.6554379210779596,602039,3571,98687,9269,0.7218847352024922,0.08585905368853977,0.033078291155656005,0.017994130886281018
0.88,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,716,1362,0.6554379210779596,602039,3571,98687,9269,0.7218847352024922,0.08585905368853977,0.033078291155656005,0.017994130886281018
0.94,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,599,1299,0.684404636459431,603246,2364,101309,6647,0.737653978470758,0.061571380932972694,0.021897810218978103,0.012628124097840985
0.96,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_95,599,1297,0.6840717299578059,603243,2367,101301,6655,0.7376413212148083,0.06164548519767313,0.021925599318240764,0.012643539630531725
0.76,LogReg_5_Fold_alpha_0_5_Hard_Test,90,180,0.6666666666666666,605218,392,106979,977,0.7136596055514974,0.009049983326540442,0.003631108970321242,0.0019185331139656317
0.81,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_100,86,170,0.6640625,605061,549,106675,1281,0.7,0.011865945385156916,0.005085405165067249,0.0025645840749138832
0.98,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_98,67,131,0.6616161616161617,605039,571,106633,1323,0.6985216473072862,0.012254992774834191,0.005289191892993442,0.0026542744469327294
1.0,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_95,1565,2866,0.646806589934552,605610,0,107956,0,,0.0,0.0,0.0
0.96,LogReg_5_Fold_alpha_balanced_Hard_Test,274,547,0.6662606577344702,605378,232,107396,560,0.7070707070707071,0.0051872985290303455,0.002149023676312572,0.0011099183537332216
0.97,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_100,270,543,0.6678966789667896,605373,237,107387,569,0.705955334987593,0.005270665826818333,0.002195338841750343,0.0011295381226123441
1.0,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_98,833,1644,0.6637060960839726,605610,0,107956,0,,0.0,0.0,0.0
1.0,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_95,2132,3362,0.6119402985074627,605610,0,107956,0,,0.0,0.0,0.0
0.51,AdaBoost_5_Fold_Hard_Test,9473,10668,0.5296658557171938,605610,0,107956,0,,0.0,0.0,0.0
0.86,AdaBoost_5_Fold_Hard_Test_Transformed_100,63,121,0.657608695652174,605463,147,107596,360,0.7100591715976331,0.0033346919115195077,0.0013616658638704658,0.0007105159158367971
1.0,AdaBoost_5_Fold_Hard_Test_Transformed_98,620,1241,0.6668457818377217,605610,0,107956,0,,0.0,0.0,0.0
1.0,AdaBoost_5_Fold_Hard_Test_Transformed_95,1831,2956,0.6175057447252977,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Hard_Test,3220,6588,0.6716965742251223,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Hard_Test_Transformed_100,3220,6588,0.6716965742251223,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Hard_Test_Transformed_98,3220,6588,0.6716965742251223,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Hard_Test_Transformed_95,3220,6588,0.6716965742251223,605610,0,107956,0,,0.0,0.0,0.0
0.58,EEC_5_Fold_Hard_Test,501,753,0.6004784688995215,605540,70,107861,95,0.5757575757575758,0.000879988143317648,0.0006484123161287932,0.00023123299036108784
