p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.18,RFC_5_Fold_Hard_Test,20840,5180,0.19907763259031513,535528,70082,72223,35733,0.33769314369418324,0.3309959613175738,0.6491718848419726,0.14829041742459703
0.36,RFC_5_Fold_Hard_Test_Transformed_100,3447,904,0.20776832911974258,535459,70151,72193,35763,0.337660743622184,0.33127385231020046,0.6498110341250138,0.14842915721881367
0.39,RFC_5_Fold_Hard_Test_Transformed_98,2958,773,0.20718306084159743,534799,70811,72011,35945,0.336702386751096,0.33295972433213533,0.6559246359627997,0.14960914617568663
0.41,RFC_5_Fold_Hard_Test_Transformed_95,2627,694,0.20897320084311954,535392,70218,72180,35776,0.337528539351284,0.33139427174033864,0.65043165734188,0.14854127018383723
0.65,BRFC_5_Fold_alpha_0_5_Hard_Test,5006,1930,0.2782583621683968,548762,56848,58288,49668,0.46629614330241465,0.4600763273926414,0.5265849049612805,0.14927280728061595
0.65,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,5006,1930,0.2782583621683968,548762,56848,58288,49668,0.46629614330241465,0.4600763273926414,0.5265849049612805,0.14927280728061595
0.67,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,4939,1877,0.27538145539906106,549065,56545,58387,49569,0.46712969070999116,0.45915928711697357,0.5237782059357516,0.14870943963137256
0.67,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,4940,1895,0.27724945135332846,548823,56787,58304,49652,0.4664831499732241,0.4599281188632406,0.5260198599429398,0.14916489855178078
0.64,BRFC_5_Fold_alpha_balanced_Hard_Test,4676,1867,0.2853431147791533,548808,56802,58941,49015,0.463205345076878,0.45402756678646855,0.526158805439253,0.1482932202487226
0.64,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,4676,1867,0.2853431147791533,548808,56802,58941,49015,0.463205345076878,0.45402756678646855,0.526158805439253,0.1482932202487226
0.65,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,4670,1867,0.28560501759216766,548810,56800,58941,49015,0.46321410008032887,0.45402756678646855,0.526140279373078,0.14829041742459703
0.66,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_95,4662,1863,0.28551724137931034,548827,56783,58945,49011,0.4632682382743823,0.4539905146541183,0.5259828078105895,0.14826098777127833
0.26,LogReg_5_Fold_alpha_0_5_Hard_Test,6401,2343,0.2679551692589204,537641,67969,65312,42644,0.3855243054613834,0.39501278298566084,0.6295990959279707,0.1550143925018849
