,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.49171,0.49344,"94,049","5,515",0.0554,"94,049","511,561","5,515","102,441",0.1668,0.9489,4.7386
1,0.49344,0.49444,"68,537","6,400",0.0854,"162,586","443,024","11,915","96,041",0.1782,0.8896,4.1037
2,0.49444,0.49484,"54,251","6,400",0.1055,"216,837","388,773","18,315","89,641",0.1874,0.8303,3.6012
3,0.49484,0.49512,"46,299","6,400",0.1214,"263,136","342,474","24,715","83,241",0.1955,0.7711,3.1723
4,0.49512,0.49536,"43,061","6,400",0.1294,"306,197","299,413","31,115","76,841",0.2042,0.7118,2.7735
5,0.49536,0.49558,"38,155","6,402",0.1437,"344,352","261,258","37,517","70,439",0.2124,0.6525,2.4200
6,0.49558,0.49579,"36,647","6,409",0.1489,"380,999","224,611","43,926","64,030",0.2218,0.5931,2.0806
7,0.49579,0.49599,"33,187","6,405",0.1618,"414,186","191,424","50,331","57,625",0.2314,0.5338,1.7732
8,0.49599,0.49620,"30,417","6,413",0.1741,"444,603","161,007","56,744","51,212",0.2413,0.4744,1.4914
9,0.49620,0.49649,"28,126","6,401",0.1854,"472,729","132,881","63,145","44,811",0.2522,0.4151,1.2309
10,0.49649,0.49674,"24,581","6,401",0.2066,"497,310","108,300","69,546","38,410",0.2618,0.3558,1.0032
11,0.49674,0.49692,"22,241","6,401",0.2235,"519,551","86,059","75,947","32,009",0.2711,0.2965,0.7972
12,0.49692,0.49709,"19,680","6,401",0.2454,"539,231","66,379","82,348","25,608",0.2784,0.2372,0.6149
13,0.49709,0.49729,"19,464","6,403",0.2475,"558,695","46,915","88,751","19,205",0.2905,0.1779,0.4346
14,0.49729,0.49755,"17,101","6,405",0.2725,"575,796","29,814","95,156","12,800",0.3004,0.1186,0.2762
15,0.49755,0.49801,"16,373","6,400",0.2810,"592,169","13,441","101,556","6,400",0.3226,0.0593,0.1245
16,0.49801,0.49976,"13,441","6,400",0.3226,"605,610",0,"107,956",0,nan,0.0000,0.0000
