,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000,0.121,"40,328","2,305",0.0541,"40,328","565,282","2,305","105,651",0.1575,0.9786,5.2362
1,0.121,0.205,"46,134","3,200",0.0649,"86,462","519,148","5,505","102,451",0.1648,0.9490,4.8089
2,0.205,0.260,"40,669","3,201",0.0730,"127,131","478,479","8,706","99,250",0.1718,0.9194,4.4322
3,0.260,0.305,"35,931","3,201",0.0818,"163,062","442,548","11,907","96,049",0.1783,0.8897,4.0993
4,0.305,0.341,"30,131","3,200",0.0960,"193,193","412,417","15,107","92,849",0.1838,0.8601,3.8202
5,0.341,0.372,"27,161","3,202",0.1055,"220,354","385,256","18,309","89,647",0.1888,0.8304,3.5686
6,0.372,0.396,"24,567","3,200",0.1152,"244,921","360,689","21,509","86,447",0.1933,0.8008,3.3411
7,0.396,0.418,"23,956","3,200",0.1178,"268,877","336,733","24,709","83,247",0.1982,0.7711,3.1192
8,0.418,0.439,"23,283","3,200",0.1208,"292,160","313,450","27,909","80,047",0.2034,0.7415,2.9035
9,0.439,0.458,"21,537","3,202",0.1294,"313,697","291,913","31,111","76,845",0.2084,0.7118,2.7040
10,0.458,0.476,"20,707","3,203",0.1340,"334,404","271,206","34,314","73,642",0.2135,0.6821,2.5122
11,0.476,0.494,"20,429","3,201",0.1355,"354,833","250,777","37,515","70,441",0.2193,0.6525,2.3230
12,0.494,0.511,"18,756","3,200",0.1457,"373,589","232,021","40,715","67,241",0.2247,0.6229,2.1492
13,0.511,0.527,"18,030","3,202",0.1508,"391,619","213,991","43,917","64,039",0.2303,0.5932,1.9822
14,0.527,0.543,"16,994","3,201",0.1585,"408,613","196,997","47,118","60,838",0.2360,0.5635,1.8248
15,0.543,0.561,"16,587","3,200",0.1617,"425,200","180,410","50,318","57,638",0.2421,0.5339,1.6711
16,0.561,0.576,"15,022","3,205",0.1758,"440,222","165,388","53,523","54,433",0.2476,0.5042,1.5320
17,0.576,0.591,"13,984","3,200",0.1862,"454,206","151,404","56,723","51,233",0.2528,0.4746,1.4025
18,0.591,0.607,"14,169","3,208",0.1846,"468,375","137,235","59,931","48,025",0.2592,0.4449,1.2712
19,0.607,0.623,"13,468","3,200",0.1920,"481,843","123,767","63,131","44,825",0.2659,0.4152,1.1465
20,0.623,0.637,"11,937","3,200",0.2114,"493,780","111,830","66,331","41,625",0.2713,0.3856,1.0359
21,0.637,0.652,"12,455","3,217",0.2053,"506,235","99,375","69,548","38,408",0.2788,0.3558,0.9205
22,0.652,0.666,"10,869","3,200",0.2275,"517,104","88,506","72,748","35,208",0.2846,0.3261,0.8198
23,0.666,0.682,"10,971","3,201",0.2259,"528,075","77,535","75,949","32,007",0.2922,0.2965,0.7182
24,0.682,0.698,"9,993","3,200",0.2426,"538,068","67,542","79,149","28,807",0.2990,0.2668,0.6256
25,0.698,0.714,"10,011","3,200",0.2422,"548,079","57,531","82,349","25,607",0.3080,0.2372,0.5329
26,0.714,0.731,"9,447","3,200",0.2530,"557,526","48,084","85,549","22,407",0.3179,0.2076,0.4454
27,0.731,0.750,"8,928","3,202",0.2640,"566,454","39,156","88,751","19,205",0.3291,0.1779,0.3627
28,0.750,0.770,"8,004","3,202",0.2857,"574,458","31,152","91,953","16,003",0.3394,0.1482,0.2886
29,0.770,0.794,"8,004","3,200",0.2856,"582,462","23,148","95,153","12,803",0.3561,0.1186,0.2144
30,0.794,0.822,"7,239","3,201",0.3066,"589,701","15,909","98,354","9,602",0.3764,0.0889,0.1474
31,0.822,0.857,"6,443","3,200",0.3318,"596,144","9,466","101,554","6,402",0.4035,0.0593,0.0877
32,0.857,0.906,"5,598","3,200",0.3637,"601,742","3,868","104,754","3,202",0.4529,0.0297,0.0358
33,0.906,1.000,"3,868","3,202",0.4529,"605,610",0,"107,956",0,nan,0.0000,0.0000
