,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.074833,"10,892",259,0.0232,"10,892","594,718",259,"107,697",0.1533,0.9976,5.5089
1,0.075000,0.108274,"11,329",405,0.0345,"22,221","583,389",664,"107,292",0.1553,0.9938,5.4040
2,0.108333,0.130762,"11,954",400,0.0324,"34,175","571,435","1,064","106,892",0.1576,0.9901,5.2932
3,0.130833,0.149857,"9,170",401,0.0419,"43,345","562,265","1,465","106,491",0.1592,0.9864,5.2083
4,0.150000,0.164143,"10,431",430,0.0396,"53,776","551,834","1,895","106,061",0.1612,0.9824,5.1117
5,0.164167,0.176619,"8,369",404,0.0461,"62,145","543,465","2,299","105,657",0.1628,0.9787,5.0341
6,0.176667,0.188000,"8,602",407,0.0452,"70,747","534,863","2,706","105,250",0.1644,0.9749,4.9545
7,0.188000,0.200000,"8,753",400,0.0437,"79,500","526,110","3,106","104,850",0.1662,0.9712,4.8734
8,0.200000,0.210000,"8,646",462,0.0507,"88,146","517,464","3,568","104,388",0.1679,0.9669,4.7933
9,0.210000,0.220000,"9,106",444,0.0465,"97,252","508,358","4,012","103,944",0.1698,0.9628,4.7089
10,0.220000,0.230000,"9,349",566,0.0571,"106,601","499,009","4,578","103,378",0.1716,0.9576,4.6223
11,0.230000,0.235952,"7,545",452,0.0565,"114,146","491,464","5,030","102,926",0.1732,0.9534,4.5524
12,0.236000,0.242000,"6,705",402,0.0566,"120,851","484,759","5,432","102,524",0.1746,0.9497,4.4903
13,0.242000,0.250000,"5,734",403,0.0657,"126,585","479,025","5,835","102,121",0.1757,0.9460,4.4372
14,0.250000,0.256655,"8,124",532,0.0615,"134,709","470,901","6,367","101,589",0.1775,0.9410,4.3620
15,0.256667,0.261905,"6,765",422,0.0587,"141,474","464,136","6,789","101,167",0.1790,0.9371,4.2993
16,0.261976,0.268762,"5,804",400,0.0645,"147,278","458,332","7,189","100,767",0.1802,0.9334,4.2455
17,0.268810,0.272762,"5,665",400,0.0660,"152,943","452,667","7,589","100,367",0.1815,0.9297,4.1931
18,0.272774,0.280000,"5,818",400,0.0643,"158,761","446,849","7,989","99,967",0.1828,0.9260,4.1392
19,0.280000,0.283333,"6,211",401,0.0606,"164,972","440,638","8,390","99,566",0.1843,0.9223,4.0816
20,0.283357,0.289881,"4,944",400,0.0749,"169,916","435,694","8,790","99,166",0.1854,0.9186,4.0358
21,0.290000,0.293262,"5,579",408,0.0681,"175,495","430,115","9,198","98,758",0.1867,0.9148,3.9842
22,0.293333,0.299952,"5,848",458,0.0726,"181,343","424,267","9,656","98,300",0.1881,0.9106,3.9300
23,0.300000,0.303298,"5,599",477,0.0785,"186,942","418,668","10,133","97,823",0.1894,0.9061,3.8781
24,0.303333,0.310000,"5,806",453,0.0724,"192,748","412,862","10,586","97,370",0.1908,0.9019,3.8244
25,0.310000,0.315000,"7,028",562,0.0740,"199,776","405,834","11,148","96,808",0.1926,0.8967,3.7593
26,0.315000,0.320000,"4,728",420,0.0816,"204,504","401,106","11,568","96,388",0.1937,0.8928,3.7155
