,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0,0.0084870915934895,"4,573",198,0.0415,"4,573","601,037",198,"107,758",0.1520,0.9982,5.5674
1,0.0084870915934896,0.0184680672886483,"2,198",108,0.0468,"6,771","598,839",306,"107,650",0.1524,0.9972,5.5471
2,0.0184870915934896,0.0271800138183812,"1,689",100,0.0559,"8,460","597,150",406,"107,550",0.1526,0.9962,5.5314
3,0.0271804832769473,0.0363773232935615,"1,618",101,0.0588,"10,078","595,532",507,"107,449",0.1528,0.9953,5.5164
4,0.0363886791016794,0.0441798746419878,"1,529",100,0.0614,"11,607","594,003",607,"107,349",0.1531,0.9944,5.5023
5,0.0441842958060573,0.0532079325425147,"1,579",100,0.0596,"13,186","592,424",707,"107,249",0.1533,0.9935,5.4876
6,0.053209554134913,0.0612174040176686,"1,580",100,0.0595,"14,766","590,844",807,"107,149",0.1535,0.9925,5.4730
7,0.0612181090898765,0.0713085546297217,"1,863",100,0.0509,"16,629","588,981",907,"107,049",0.1538,0.9916,5.4558
8,0.0713554262318353,0.0796701644020145,"1,402",100,0.0666,"18,031","587,579","1,007","106,949",0.1540,0.9907,5.4428
9,0.0797018876528272,0.0887650080822874,"1,540",100,0.0610,"19,571","586,039","1,107","106,849",0.1542,0.9897,5.4285
10,0.088772917162278,0.0976249905357728,"1,572",100,0.0598,"21,143","584,467","1,207","106,749",0.1544,0.9888,5.4139
11,0.0976372044528424,0.1061665110762841,"1,429",100,0.0654,"22,572","583,038","1,307","106,649",0.1546,0.9879,5.4007
12,0.1061814625596032,0.1131836953783062,"1,241",100,0.0746,"23,813","581,797","1,407","106,549",0.1548,0.9870,5.3892
13,0.1132010236000713,0.1219781981537606,"1,649",100,0.0572,"25,462","580,148","1,507","106,449",0.1550,0.9860,5.3739
14,0.1219899871826018,0.1306944773991762,"1,554",102,0.0616,"27,016","578,594","1,609","106,347",0.1553,0.9851,5.3595
15,0.1307095868357487,0.1375187606750795,"1,124",100,0.0817,"28,140","577,470","1,709","106,247",0.1554,0.9842,5.3491
16,0.1375805740550082,0.1459011438469586,"1,362",100,0.0684,"29,502","576,108","1,809","106,147",0.1556,0.9832,5.3365
17,0.1459074907725817,0.1532534800002371,"1,305",100,0.0712,"30,807","574,803","1,909","106,047",0.1558,0.9823,5.3244
18,0.1532536528208643,0.1625169651803488,"1,602",100,0.0588,"32,409","573,201","2,009","105,947",0.1560,0.9814,5.3096
19,0.1625180962003655,0.1694323101839805,"1,315",100,0.0707,"33,724","571,886","2,109","105,847",0.1562,0.9805,5.2974
20,0.1694411569496995,0.1781710026739032,"1,545",100,0.0608,"35,269","570,341","2,209","105,747",0.1564,0.9795,5.2831
21,0.1781984961455726,0.1859105028401271,"1,365",100,0.0683,"36,634","568,976","2,309","105,647",0.1566,0.9786,5.2704
22,0.1859243165365825,0.1929769234545712,"1,367",100,0.0682,"38,001","567,609","2,409","105,547",0.1568,0.9777,5.2578
23,0.193008182670823,0.1981265459146794,943,104,0.0993,"38,944","566,666","2,513","105,443",0.1569,0.9767,5.2490
24,0.1981298444192363,0.204525861277761,"1,229",100,0.0752,"40,173","565,437","2,613","105,343",0.1570,0.9758,5.2377
25,0.2045337178320985,0.2111748655740133,"1,279",100,0.0725,"41,452","564,158","2,713","105,243",0.1572,0.9749,5.2258
26,0.2111838017151737,0.2166481949576805,"1,004",100,0.0906,"42,456","563,154","2,813","105,143",0.1573,0.9739,5.2165
27,0.2166564079225472,0.222679987644944,"1,212",100,0.0762,"43,668","561,942","2,913","105,043",0.1575,0.9730,5.2053
28,0.2226940452514436,0.2287270648278801,"1,152",100,0.0799,"44,820","560,790","3,013","104,943",0.1576,0.9721,5.1946
29,0.2287320944140711,0.2337575938049592,"1,008",100,0.0903,"45,828","559,782","3,113","104,843",0.1577,0.9712,5.1853
30,0.2337976808737854,0.2401866460702617,"1,289",100,0.0720,"47,117","558,493","3,213","104,743",0.1579,0.9702,5.1733
31,0.2401977966404039,0.2456974429683082,"1,120",100,0.0820,"48,237","557,373","3,313","104,643",0.1581,0.9693,5.1630
32,0.2457006765312272,0.2513818088330189,"1,070",100,0.0855,"49,307","556,303","3,413","104,543",0.1582,0.9684,5.1531
