,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0,0.0284870915934896,"2,388",16,0.0067,"2,388","603,222",16,"107,940",0.1518,0.9999,5.5877
1,0.03,0.0595733632206184,"6,396",55,0.0085,"8,784","596,826",71,"107,885",0.1531,0.9993,5.5284
2,0.06,0.0796557532096558,"7,563",65,0.0085,"16,347","589,263",136,"107,820",0.1547,0.9987,5.4584
3,0.08,0.0896557532096558,"4,788",64,0.0132,"21,135","584,475",200,"107,756",0.1557,0.9981,5.4140
4,0.09,0.099751666925069,"5,569",64,0.0114,"26,704","578,906",264,"107,692",0.1568,0.9976,5.3624
5,0.1,0.1096557532096558,"6,187",88,0.0140,"32,891","572,719",352,"107,604",0.1582,0.9967,5.3051
6,0.11,0.1197114722622524,"6,889",102,0.0146,"39,780","565,830",454,"107,502",0.1597,0.9958,5.2413
7,0.12,0.1297114722622524,"7,586",117,0.0152,"47,366","558,244",571,"107,385",0.1613,0.9947,5.1710
8,0.13,0.1396557532096558,"8,108",139,0.0169,"55,474","550,136",710,"107,246",0.1631,0.9934,5.0959
9,0.14,0.149751666925069,"8,562",154,0.0177,"64,036","541,574",864,"107,092",0.1651,0.9920,5.0166
10,0.15,0.1596557532096558,"9,025",197,0.0214,"73,061","532,549","1,061","106,895",0.1672,0.9902,4.9330
11,0.16,0.1697114722622524,"9,362",222,0.0232,"82,423","523,187","1,283","106,673",0.1694,0.9881,4.8463
12,0.17,0.1797820319509873,"9,763",239,0.0239,"92,186","513,424","1,522","106,434",0.1717,0.9859,4.7559
13,0.18,0.189751666925069,"10,028",280,0.0272,"102,214","503,396","1,802","106,154",0.1742,0.9833,4.6630
14,0.19,0.1996557532096558,"10,361",298,0.0280,"112,575","493,035","2,100","105,856",0.1768,0.9805,4.5670
15,0.2,0.2096557532096558,"10,890",330,0.0294,"123,465","482,145","2,430","105,526",0.1796,0.9775,4.4661
16,0.21,0.219751666925069,"10,895",361,0.0321,"134,360","471,250","2,791","105,165",0.1824,0.9741,4.3652
17,0.22,0.2297114722622524,"11,393",392,0.0333,"145,753","459,857","3,183","104,773",0.1856,0.9705,4.2597
18,0.23,0.2396557532096558,"11,269",472,0.0402,"157,022","448,588","3,655","104,301",0.1886,0.9661,4.1553
19,0.24,0.249751666925069,"11,619",482,0.0398,"168,641","436,969","4,137","103,819",0.1920,0.9617,4.0477
20,0.25,0.2596557532096558,"11,727",543,0.0443,"180,368","425,242","4,680","103,276",0.1954,0.9566,3.9390
21,0.26,0.2696557532096558,"11,988",587,0.0467,"192,356","413,254","5,267","102,689",0.1990,0.9512,3.8280
22,0.27,0.2796557532096558,"11,910",590,0.0472,"204,266","401,344","5,857","102,099",0.2028,0.9457,3.7177
23,0.28,0.289751666925069,"11,968",685,0.0541,"216,234","389,376","6,542","101,414",0.2066,0.9394,3.6068
24,0.29,0.299751666925069,"12,059",701,0.0549,"228,293","377,317","7,243","100,713",0.2107,0.9329,3.4951
25,0.3,0.309751666925069,"12,116",763,0.0592,"240,409","365,201","8,006","99,950",0.2149,0.9258,3.3829
26,0.31,0.3147436100311374,"11,435",775,0.0635,"251,844","353,766","8,781","99,175",0.2190,0.9187,3.2769
27,0.3148319458473558,0.319751666925069,889,50,0.0532,"252,733","352,877","8,831","99,125",0.2193,0.9182,3.2687
28,0.32,0.3269451682361871,"11,341",806,0.0664,"264,074","341,536","9,637","98,319",0.2235,0.9107,3.1637
29,0.3269741831869792,0.329746294247583,735,50,0.0637,"264,809","340,801","9,687","98,269",0.2238,0.9103,3.1569
30,0.33,0.3368109322743912,"11,401",858,0.0700,"276,210","329,400","10,545","97,411",0.2282,0.9023,3.0512
31,0.3368503729145567,0.339751666925069,791,50,0.0595,"277,001","328,609","10,595","97,361",0.2286,0.9019,3.0439
32,0.34,0.3463842954950096,"11,138",895,0.0744,"288,139","317,471","11,490","96,466",0.2330,0.8936,2.9407
33,0.346515592622956,0.349751666925069,887,51,0.0544,"289,026","316,584","11,541","96,415",0.2335,0.8931,2.9325
34,0.35,0.3576687322540231,"11,306",967,0.0788,"300,332","305,278","12,508","95,448",0.2382,0.8841,2.8278
35,0.3578902317000719,0.359751666925069,610,52,0.0785,"300,942","304,668","12,560","95,396",0.2385,0.8837,2.8221
36,0.36,0.3679262188523121,"11,372","1,056",0.0850,"312,314","293,296","13,616","94,340",0.2434,0.8739,2.7168
37,0.368060454814108,0.369751666925069,585,50,0.0787,"312,899","292,711","13,666","94,290",0.2436,0.8734,2.7114
38,0.37,0.378363281321067,"11,148","1,036",0.0850,"324,047","281,563","14,702","93,254",0.2488,0.8638,2.6081
39,0.3784870915934896,0.3797114722622524,541,57,0.0953,"324,588","281,022","14,759","93,197",0.2490,0.8633,2.6031
40,0.38,0.3869741831869791,"10,782","1,011",0.0857,"335,370","270,240","15,770","92,186",0.2544,0.8539,2.5032
41,0.3869741831869792,0.3897114722622524,777,51,0.0616,"336,147","269,463","15,821","92,135",0.2548,0.8534,2.4960
42,0.39,0.3983769560634617,"10,763","1,143",0.0960,"346,910","258,700","16,964","90,992",0.2602,0.8429,2.3963
43,0.3984870915934895,0.3996557532096558,617,58,0.0859,"347,527","258,083","17,022","90,934",0.2605,0.8423,2.3906
44,0.4,0.408079633416257,"10,652","1,199",0.1012,"358,179","247,431","18,221","89,735",0.2661,0.8312,2.2920
45,0.4081194694651727,0.4097114722622524,537,50,0.0852,"358,716","246,894","18,271","89,685",0.2665,0.8308,2.2870
