,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0,0.099751666925069,"26,704",264,0.0098,"26,704","578,906",264,"107,692",0.15685,0.99755,5.36243
1,0.1,0.1697114722622524,"55,719","1,019",0.0180,"82,423","523,187","1,283","106,673",0.16936,0.98812,4.84630
2,0.17,0.2096557532096558,"41,042","1,147",0.0272,"123,465","482,145","2,430","105,526",0.17957,0.97749,4.46613
3,0.21,0.2396557532096558,"33,557","1,225",0.0352,"157,022","448,588","3,655","104,301",0.18865,0.96614,4.15529
4,0.24,0.2596557532096558,"23,346","1,025",0.0421,"180,368","425,242","4,680","103,276",0.19541,0.95665,3.93903
5,0.26,0.2796557532096558,"23,898","1,177",0.0469,"204,266","401,344","5,857","102,099",0.20280,0.94575,3.71766
6,0.28,0.299751666925069,"24,027","1,386",0.0545,"228,293","377,317","7,243","100,713",0.21068,0.93291,3.49510
7,0.3,0.319751666925069,"24,440","1,588",0.0610,"252,733","352,877","8,831","99,125",0.21930,0.91820,3.26871
8,0.32,0.3365155926229561,"23,466","1,710",0.0679,"276,199","329,411","10,541","97,415",0.22823,0.90236,3.05134
9,0.3365534456761021,0.349751666925069,"12,827","1,000",0.0723,"289,026","316,584","11,541","96,415",0.23345,0.89310,2.93253
10,0.35,0.359751666925069,"11,916","1,019",0.0788,"300,942","304,668","12,560","95,396",0.23845,0.88366,2.82215
11,0.36,0.369751666925069,"11,957","1,106",0.0847,"312,899","292,711","13,666","94,290",0.24364,0.87341,2.71139
12,0.37,0.3797114722622524,"11,689","1,093",0.0855,"324,588","281,022","14,759","93,197",0.24904,0.86329,2.60312
13,0.38,0.3897114722622524,"11,559","1,062",0.0841,"336,147","269,463","15,821","92,135",0.25480,0.85345,2.49604
14,0.39,0.3996557532096558,"11,380","1,201",0.0955,"347,527","258,083","17,022","90,934",0.26054,0.84232,2.39063
15,0.4,0.4097114722622524,"11,189","1,249",0.1004,"358,716","246,894","18,271","89,685",0.26646,0.83076,2.28699
16,0.41,0.4198536244609693,"10,847","1,408",0.1149,"369,563","236,047","19,679","88,277",0.27219,0.81771,2.18651
17,0.42,0.4296557532096558,"10,583","1,310",0.1101,"380,146","225,464","20,989","86,967",0.27836,0.80558,2.08848
18,0.43,0.439751666925069,"10,542","1,368",0.1149,"390,688","214,922","22,357","85,599",0.28484,0.79291,1.99083
19,0.44,0.449751666925069,"10,446","1,461",0.1227,"401,134","204,476","23,818","84,138",0.29152,0.77937,1.89407
20,0.45,0.459751666925069,"9,981","1,533",0.1331,"411,115","194,495","25,351","82,605",0.29811,0.76517,1.80161
21,0.46,0.469751666925069,"9,734","1,503",0.1338,"420,849","184,761","26,854","81,102",0.30505,0.75125,1.71145
22,0.47,0.4798421175203035,"9,451","1,507",0.1375,"430,300","175,310","28,361","79,595",0.31225,0.73729,1.62390
23,0.48,0.4896557532096558,"9,332","1,646",0.1499,"439,632","165,978","30,007","77,949",0.31956,0.72204,1.53746
24,0.49,0.499751666925069,"8,922","1,631",0.1546,"448,554","157,056","31,638","76,318",0.32702,0.70694,1.45481
25,0.5,0.5096557532096558,"8,753","1,675",0.1606,"457,307","148,303","33,313","74,643",0.33480,0.69142,1.37374
26,0.51,0.5197114722622524,"8,507","1,687",0.1655,"465,814","139,796","35,000","72,956",0.34292,0.67579,1.29493
27,0.52,0.5297249738120452,"8,076","1,848",0.1862,"473,890","131,720","36,848","71,108",0.35058,0.65868,1.22013
28,0.53,0.5397114722622525,"7,923","1,775",0.1830,"481,813","123,797","38,623","69,333",0.35900,0.64223,1.14674
29,0.54,0.549751666925069,"7,517","1,834",0.1961,"489,330","116,280","40,457","67,499",0.36728,0.62525,1.07711
30,0.55,0.5596557532096559,"7,265","1,786",0.1973,"496,595","109,015","42,243","65,713",0.37609,0.60870,1.00981
31,0.56,0.5697114722622524,"7,044","1,800",0.2035,"503,639","101,971","44,043","63,913",0.38529,0.59203,0.94456
32,0.57,0.5797516669250691,"6,719","1,880",0.2186,"510,358","95,252","45,923","62,033",0.39440,0.57461,0.88232
33,0.58,0.5897114722622525,"6,543","1,847",0.2201,"516,901","88,709","47,770","60,186",0.40422,0.55750,0.82171
34,0.59,0.5997114722622525,"6,197","1,900",0.2347,"523,098","82,512","49,670","58,286",0.41397,0.53991,0.76431
35,0.6,0.60974185078707,"5,883","1,896",0.2437,"528,981","76,629","51,566","56,390",0.42392,0.52234,0.70982
36,0.61,0.6198072629830166,"5,592","1,851",0.2487,"534,573","71,037","53,417","54,539",0.43431,0.50520,0.65802
37,0.62,0.6297114722622524,"5,230","1,862",0.2625,"539,803","65,807","55,279","52,677",0.44459,0.48795,0.60957
38,0.63,0.6397114722622524,"4,939","1,848",0.2723,"544,742","60,868","57,127","50,829",0.45506,0.47083,0.56382
39,0.64,0.6498806701083941,"4,774","1,931",0.2880,"549,516","56,094","59,058","48,898",0.46573,0.45294,0.51960
40,0.65,0.6597114722622525,"4,457","1,922",0.3013,"553,973","51,637","60,980","46,976",0.47637,0.43514,0.47832
41,0.66,0.6697114722622524,"4,105","1,874",0.3134,"558,078","47,532","62,854","45,102",0.48688,0.41778,0.44029
42,0.67,0.6796621322750563,"3,940","1,848",0.3193,"562,018","43,592","64,702","43,254",0.49805,0.40066,0.40379
43,0.68,0.6897516669250691,"3,639","1,748",0.3245,"565,657","39,953","66,450","41,506",0.50953,0.38447,0.37009
44,0.69,0.6998342572667806,"3,276","1,790",0.3533,"568,933","36,677","68,240","39,716",0.51989,0.36789,0.33974
45,0.7,0.7097114722622524,"3,145","1,817",0.3662,"572,078","33,532","70,057","37,899",0.53057,0.35106,0.31061
