,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.4369,0.4623,"61,390","1,735",0.0275,"61,390","544,220","1,735","106,221",0.1633,0.9839,5.0411
1,0.4623,0.4773,"112,165","6,403",0.0540,"173,555","432,055","8,138","99,818",0.1877,0.9246,4.0021
2,0.4773,0.4850,"72,376","6,444",0.0818,"245,931","359,679","14,582","93,374",0.2061,0.8649,3.3317
3,0.4850,0.4889,"62,650","6,600",0.0953,"308,581","297,029","21,182","86,774",0.2261,0.8038,2.7514
4,0.4889,0.4940,"46,782","6,409",0.1205,"355,363","250,247","27,591","80,365",0.2431,0.7444,2.3180
5,0.4940,0.4993,"44,549","7,147",0.1383,"399,912","205,698","34,738","73,218",0.2625,0.6782,1.9054
6,0.4994,0.5019,"33,106","6,406",0.1621,"433,018","172,592","41,144","66,812",0.2791,0.6189,1.5987
7,0.5019,0.5052,"31,622","6,414",0.1686,"464,640","140,970","47,558","60,398",0.2999,0.5595,1.3058
8,0.5053,0.5097,"23,516","6,401",0.2140,"488,156","117,454","53,959","53,997",0.3149,0.5002,1.0880
9,0.5098,0.5112,"22,637","6,694",0.2282,"510,793","94,817","60,653","47,303",0.3328,0.4382,0.8783
10,0.5112,0.5168,"23,578","7,635",0.2446,"534,371","71,239","68,288","39,668",0.3577,0.3674,0.6599
11,0.5168,0.5210,"18,501","6,525",0.2607,"552,872","52,738","74,813","33,143",0.3859,0.3070,0.4885
12,0.5210,0.5257,"14,033","6,468",0.3155,"566,905","38,705","81,281","26,675",0.4080,0.2471,0.3585
13,0.5257,0.5306,"13,058","6,934",0.3468,"579,963","25,647","88,215","19,741",0.4349,0.1829,0.2376
14,0.5306,0.5370,"9,778","6,439",0.3971,"589,741","15,869","94,654","13,302",0.4560,0.1232,0.1470
15,0.5370,0.5481,"9,137","6,430",0.4131,"598,878","6,732","101,084","6,872",0.5051,0.0637,0.0624
16,0.5481,0.5927,"6,732","6,872",0.5051,"605,610",0,"107,956",0,nan,0.0000,0.0000
