,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.454636,0.455219,384,11,0.0278,384,"605,226",11,"107,945",0.1514,0.9999,5.6062
1,0.455388,0.455407,475,14,0.0286,859,"604,751",25,"107,931",0.1514,0.9998,5.6018
2,0.455692,0.455692,397,14,0.0341,"1,256","604,354",39,"107,917",0.1515,0.9996,5.5982
3,0.455990,0.456424,271,10,0.0356,"1,527","604,083",49,"107,907",0.1516,0.9995,5.5956
4,0.456441,0.456486,487,10,0.0201,"2,014","603,596",59,"107,897",0.1516,0.9995,5.5911
5,0.456708,0.458602,253,13,0.0489,"2,267","603,343",72,"107,884",0.1517,0.9993,5.5888
6,0.458610,0.460995,281,11,0.0377,"2,548","603,062",83,"107,873",0.1517,0.9992,5.5862
7,0.461167,0.461769,482,12,0.0243,"3,030","602,580",95,"107,861",0.1518,0.9991,5.5817
8,0.461798,0.462233,233,10,0.0412,"3,263","602,347",105,"107,851",0.1519,0.9990,5.5796
9,0.462233,0.462247,640,25,0.0376,"3,903","601,707",130,"107,826",0.1520,0.9988,5.5736
10,0.462275,0.462485,315,10,0.0308,"4,218","601,392",140,"107,816",0.1520,0.9987,5.5707
11,0.462517,0.462726,260,10,0.0370,"4,478","601,132",150,"107,806",0.1521,0.9986,5.5683
12,0.462774,0.462944,807,23,0.0277,"5,285","600,325",173,"107,783",0.1522,0.9984,5.5608
13,0.462961,0.463194,251,10,0.0383,"5,536","600,074",183,"107,773",0.1523,0.9983,5.5585
14,0.463247,0.463339,428,21,0.0468,"5,964","599,646",204,"107,752",0.1523,0.9981,5.5545
15,0.463358,0.463358,"3,040",139,0.0437,"9,004","596,606",343,"107,613",0.1528,0.9968,5.5264
16,0.463491,0.463491,"4,385",191,0.0417,"13,389","592,221",534,"107,422",0.1535,0.9951,5.4858
17,0.463506,0.463506,"4,351",155,0.0344,"17,740","587,870",689,"107,267",0.1543,0.9936,5.4455
18,0.463525,0.463547,"3,728",174,0.0446,"21,468","584,142",863,"107,093",0.1549,0.9920,5.4109
19,0.463558,0.463826,474,12,0.0247,"21,942","583,668",875,"107,081",0.1550,0.9919,5.4065
20,0.463949,0.464114,"3,271",136,0.0399,"25,213","580,397","1,011","106,945",0.1556,0.9906,5.3762
21,0.464120,0.464120,367,12,0.0317,"25,580","580,030","1,023","106,933",0.1557,0.9905,5.3728
22,0.464128,0.464128,277,13,0.0448,"25,857","579,753","1,036","106,920",0.1557,0.9904,5.3703
23,0.464131,0.464257,275,12,0.0418,"26,132","579,478","1,048","106,908",0.1558,0.9903,5.3677
24,0.464259,0.464262,392,15,0.0369,"26,524","579,086","1,063","106,893",0.1558,0.9902,5.3641
25,0.464321,0.464536,410,10,0.0238,"26,934","578,676","1,073","106,883",0.1559,0.9901,5.3603
26,0.464553,0.464660,312,10,0.0311,"27,246","578,364","1,083","106,873",0.1560,0.9900,5.3574
27,0.464674,0.464789,365,10,0.0267,"27,611","577,999","1,093","106,863",0.1560,0.9899,5.3540
28,0.464846,0.465026,369,32,0.0798,"27,980","577,630","1,125","106,831",0.1561,0.9896,5.3506
