Index,Filename,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P
702347,RFC_Hard,0.2580839810639013,1,0,1,600212,5398,102136,5820,0.05000185260661751
703201,RFC_Medium,0.2288511208269907,0,1,0,600212,5398,102990,4966,0.05000185260661751
705614,RFC_Easy,0.2094667531941628,1,0,1,600212,5398,105403,2553,0.05000185260661751
695144,BRFC_alpha_0_5_Hard,0.86,1,0,1,600212,5398,94933,13023,0.05000185260661751
701343,BRFC_alpha_0_5_Medium,0.89,0,1,0,600212,5398,101132,6824,0.05000185260661751
704028,BRFC_alpha_0_5_Easy,0.8894403651903648,0,1,0,600212,5398,103817,4139,0.05000185260661751
695428,BRFC_alpha_balanced_Hard,0.86,0,1,0,600212,5398,95217,12739,0.05000185260661751
702220,BRFC_alpha_balanced_Medium,0.9076687322540232,0,1,0,600212,5398,102009,5947,0.05000185260661751
704227,BRFC_alpha_balanced_Easy,0.9655626786242176,0,1,0,600212,5398,104016,3940,0.05000185260661751
700975,LogReg_alpha_0_5_Hard,0.5487355755658877,0,1,0,600212,5398,100764,7192,0.05000185260661751
702711,LogReg_alpha_0_5_Medium,0.4852693330033764,0,1,0,600212,5398,102500,5456,0.05000185260661751
705413,LogReg_alpha_0_5_Easy,0.3539677485607846,0,1,0,600212,5398,105202,2754,0.05000185260661751
701335,LogReg_alpha_balanced_Hard,0.8830309158292262,0,1,0,600212,5398,101124,6832,0.05000185260661751
702802,LogReg_alpha_balanced_Medium,0.84620383345756,0,1,0,600212,5398,102591,5365,0.05000185260661751
705429,LogReg_alpha_balanced_Easy,0.7597151164330844,0,1,0,600212,5398,105218,2738,0.05000185260661751
701341,AdaBoost_Hard,0.500628342852021,0,1,0,600212,5398,101130,6826,0.05000185260661751
702767,AdaBoost_Medium,0.4998835349576542,0,1,0,600212,5398,102556,5400,0.05000185260661751
705435,AdaBoost_Easy,0.4985439243440163,0,1,0,600212,5398,105224,2732,0.05000185260661751
699031,BalBag_Hard,0.9,1,0,1,600212,5398,98820,9136,0.05000185260661751
703024,BalBag_Medium,0.9416666666666668,0,1,0,600212,5398,102813,5143,0.05000185260661751
704380,BalBag_Easy,0.9,0,1,0,600212,5398,104169,3787,0.05000185260661751
702589,EEC_Hard,0.5488656432061639,0,1,0,600212,5398,102378,5578,0.05000185260661751
703504,EEC_Medium,0.5423995403902052,0,1,0,600212,5398,103293,4663,0.05000185260661751
705422,EEC_Easy,0.5285237602319912,0,1,0,600212,5398,105211,2745,0.05000185260661751
701252,RUSBoost_Hard,0.5004948125675079,0,1,0,600212,5398,101041,6915,0.05000185260661751
706205,RUSBoost_Medium,0.5071939720414236,0,1,0,600212,5398,105994,1962,0.05000185260661751
706320,RUSBoost_Easy,0.5088245781744736,0,1,0,600212,5398,106109,1847,0.05000185260661751
697240,KBFC_alpha_0_5_gamma_0_0_Hard,0.59831536,1,0,1,600212,5398,97029,10927,0.05000185260661751
701948,KBFC_alpha_0_5_gamma_0_0_Medium,0.5088259,1,0,1,600212,5398,101737,6219,0.05000185260661751
705003,KBFC_alpha_0_5_gamma_0_0_Easy,0.35985228,0,1,0,600212,5398,104792,3164,0.05000185260661751
697619,KBFC_alpha_balanced_gamma_0_0_Hard,0.89864427,0,1,0,600212,5398,97408,10548,0.05000185260661751
702068,KBFC_alpha_balanced_gamma_0_0_Medium,0.8642919,0,1,0,600212,5398,101857,6099,0.05000185260661751
705088,KBFC_alpha_balanced_gamma_0_0_Easy,0.7610883,0,1,0,600212,5398,104877,3079,0.05000185260661751
697493,KBFC_alpha_0_5_gamma_1_0_Hard,0.5599518,0,1,0,600212,5398,97282,10674,0.05000185260661751
701996,KBFC_alpha_0_5_gamma_1_0_Medium,0.502087,1,0,1,600212,5398,101785,6171,0.05000185260661751
705047,KBFC_alpha_0_5_gamma_1_0_Easy,0.41860834,0,1,0,600212,5398,104836,3120,0.05000185260661751
697319,KBFC_alpha_0_5_gamma_2_0_Hard,0.54740536,1,0,1,600212,5398,97108,10848,0.05000185260661751
702115,KBFC_alpha_0_5_gamma_2_0_Medium,0.5029448,0,1,0,600212,5398,101904,6052,0.05000185260661751
705085,KBFC_alpha_0_5_gamma_2_0_Easy,0.4495825,1,0,1,600212,5398,104874,3082,0.05000185260661751
