,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.010934,0.020441,423,4,0.0094,423,"605,187",4,"107,952",0.1514,1.0000,5.6059
1,0.020441,0.021652,278,5,0.0177,701,"604,909",9,"107,947",0.1514,0.9999,5.6033
2,0.021691,0.022356,197,5,0.0248,898,"604,712",14,"107,942",0.1515,0.9999,5.6015
3,0.022363,0.022541,94,5,0.0505,992,"604,618",19,"107,937",0.1515,0.9998,5.6006
4,0.022583,0.022996,69,5,0.0676,"1,061","604,549",24,"107,932",0.1515,0.9998,5.6000
5,0.023022,0.023467,249,5,0.0197,"1,310","604,300",29,"107,927",0.1515,0.9997,5.5977
6,0.023475,0.023704,129,6,0.0444,"1,439","604,171",35,"107,921",0.1516,0.9997,5.5965
7,0.023746,0.024062,139,5,0.0347,"1,578","604,032",40,"107,916",0.1516,0.9996,5.5952
8,0.024064,0.024623,216,5,0.0226,"1,794","603,816",45,"107,911",0.1516,0.9996,5.5932
9,0.024632,0.025040,132,5,0.0365,"1,926","603,684",50,"107,906",0.1516,0.9995,5.5919
10,0.025042,0.025235,260,5,0.0189,"2,186","603,424",55,"107,901",0.1517,0.9995,5.5895
11,0.025241,0.025916,212,6,0.0275,"2,398","603,212",61,"107,895",0.1517,0.9994,5.5876
12,0.025921,0.026259,187,5,0.0260,"2,585","603,025",66,"107,890",0.1518,0.9994,5.5858
13,0.026272,0.026508,102,5,0.0467,"2,687","602,923",71,"107,885",0.1518,0.9993,5.5849
14,0.026515,0.026870,161,5,0.0301,"2,848","602,762",76,"107,880",0.1518,0.9993,5.5834
15,0.026886,0.027250,176,6,0.0330,"3,024","602,586",82,"107,874",0.1518,0.9992,5.5818
16,0.027258,0.027503,90,7,0.0722,"3,114","602,496",89,"107,867",0.1518,0.9992,5.5809
17,0.027511,0.027760,121,5,0.0397,"3,235","602,375",94,"107,862",0.1519,0.9991,5.5798
18,0.027767,0.027945,54,5,0.0847,"3,289","602,321",99,"107,857",0.1519,0.9991,5.5793
19,0.027959,0.028050,70,5,0.0667,"3,359","602,251",104,"107,852",0.1519,0.9990,5.5787
20,0.028055,0.028140,103,5,0.0463,"3,462","602,148",109,"107,847",0.1519,0.9990,5.5777
21,0.028160,0.028327,98,5,0.0485,"3,560","602,050",114,"107,842",0.1519,0.9989,5.5768
22,0.028350,0.028747,138,5,0.0350,"3,698","601,912",119,"107,837",0.1519,0.9989,5.5755
23,0.028748,0.028872,176,5,0.0276,"3,874","601,736",124,"107,832",0.1520,0.9989,5.5739
24,0.028875,0.029058,156,5,0.0311,"4,030","601,580",129,"107,827",0.1520,0.9988,5.5725
25,0.029073,0.029165,108,5,0.0442,"4,138","601,472",134,"107,822",0.1520,0.9988,5.5715
26,0.029172,0.029378,217,9,0.0398,"4,355","601,255",143,"107,813",0.1520,0.9987,5.5694
27,0.029387,0.029530,163,5,0.0298,"4,518","601,092",148,"107,808",0.1521,0.9986,5.5679
28,0.029535,0.029680,79,7,0.0814,"4,597","601,013",155,"107,801",0.1521,0.9986,5.5672
29,0.029694,0.029943,210,5,0.0233,"4,807","600,803",160,"107,796",0.1521,0.9985,5.5653
30,0.029964,0.030148,101,5,0.0472,"4,908","600,702",165,"107,791",0.1521,0.9985,5.5643
31,0.030153,0.030488,136,5,0.0355,"5,044","600,566",170,"107,786",0.1522,0.9984,5.5631
32,0.030500,0.030704,176,5,0.0276,"5,220","600,390",175,"107,781",0.1522,0.9984,5.5614
33,0.030718,0.030839,188,5,0.0259,"5,408","600,202",180,"107,776",0.1522,0.9983,5.5597
34,0.030840,0.031345,289,6,0.0203,"5,697","599,913",186,"107,770",0.1523,0.9983,5.5570
35,0.031347,0.031394,115,5,0.0417,"5,812","599,798",191,"107,765",0.1523,0.9982,5.5559
36,0.031402,0.031517,108,6,0.0526,"5,920","599,690",197,"107,759",0.1523,0.9982,5.5549
37,0.031520,0.031570,82,10,0.1087,"6,002","599,608",207,"107,749",0.1523,0.9981,5.5542
38,0.031573,0.031821,161,5,0.0301,"6,163","599,447",212,"107,744",0.1524,0.9980,5.5527
39,0.031823,0.031999,79,5,0.0595,"6,242","599,368",217,"107,739",0.1524,0.9980,5.5520
40,0.032009,0.032085,156,5,0.0311,"6,398","599,212",222,"107,734",0.1524,0.9979,5.5505
41,0.032090,0.032266,147,5,0.0329,"6,545","599,065",227,"107,729",0.1524,0.9979,5.5492
42,0.032267,0.032304,163,6,0.0355,"6,708","598,902",233,"107,723",0.1524,0.9978,5.5476
43,0.032306,0.032489,152,5,0.0318,"6,860","598,750",238,"107,718",0.1525,0.9978,5.5462
44,0.032502,0.032646,134,6,0.0429,"6,994","598,616",244,"107,712",0.1525,0.9977,5.5450
45,0.032647,0.032724,122,5,0.0394,"7,116","598,494",249,"107,707",0.1525,0.9977,5.5439
46,0.032729,0.033039,207,5,0.0236,"7,323","598,287",254,"107,702",0.1526,0.9976,5.5420
47,0.033041,0.033404,302,5,0.0163,"7,625","597,985",259,"107,697",0.1526,0.9976,5.5392
48,0.033411,0.033502,86,6,0.0652,"7,711","597,899",265,"107,691",0.1526,0.9975,5.5384
49,0.033506,0.033567,135,5,0.0357,"7,846","597,764",270,"107,686",0.1526,0.9975,5.5371
50,0.033571,0.033630,68,5,0.0685,"7,914","597,696",275,"107,681",0.1527,0.9975,5.5365
51,0.033636,0.033738,169,5,0.0287,"8,083","597,527",280,"107,676",0.1527,0.9974,5.5349
52,0.033746,0.033817,105,5,0.0455,"8,188","597,422",285,"107,671",0.1527,0.9974,5.5339
53,0.033826,0.033911,86,5,0.0549,"8,274","597,336",290,"107,666",0.1527,0.9973,5.5331
54,0.033913,0.033962,159,5,0.0305,"8,433","597,177",295,"107,661",0.1527,0.9973,5.5317
55,0.033971,0.034103,135,5,0.0357,"8,568","597,042",300,"107,656",0.1528,0.9972,5.5304
56,0.034144,0.034273,209,8,0.0369,"8,777","596,833",308,"107,648",0.1528,0.9971,5.5285
57,0.034279,0.034362,165,7,0.0407,"8,942","596,668",315,"107,641",0.1528,0.9971,5.5270
58,0.034377,0.034488,126,5,0.0382,"9,068","596,542",320,"107,636",0.1529,0.9970,5.5258
59,0.034489,0.034573,189,5,0.0258,"9,257","596,353",325,"107,631",0.1529,0.9970,5.5240
60,0.034578,0.034721,143,5,0.0338,"9,400","596,210",330,"107,626",0.1529,0.9969,5.5227
61,0.034722,0.034738,78,6,0.0714,"9,478","596,132",336,"107,620",0.1529,0.9969,5.5220
62,0.034741,0.034804,77,7,0.0833,"9,555","596,055",343,"107,613",0.1529,0.9968,5.5213
63,0.034813,0.034939,56,5,0.0820,"9,611","595,999",348,"107,608",0.1529,0.9968,5.5208
64,0.034962,0.035075,255,5,0.0192,"9,866","595,744",353,"107,603",0.1530,0.9967,5.5184
65,0.035077,0.035171,40,5,0.1111,"9,906","595,704",358,"107,598",0.1530,0.9967,5.5180
66,0.035176,0.035260,122,5,0.0394,"10,028","595,582",363,"107,593",0.1530,0.9966,5.5169
67,0.035261,0.035388,181,6,0.0321,"10,209","595,401",369,"107,587",0.1530,0.9966,5.5152
68,0.035395,0.035552,131,6,0.0438,"10,340","595,270",375,"107,581",0.1531,0.9965,5.5140
69,0.035561,0.035562,95,5,0.0500,"10,435","595,175",380,"107,576",0.1531,0.9965,5.5131
70,0.035564,0.035681,52,5,0.0877,"10,487","595,123",385,"107,571",0.1531,0.9964,5.5126
71,0.035681,0.035784,69,5,0.0676,"10,556","595,054",390,"107,566",0.1531,0.9964,5.5120
72,0.035786,0.035893,140,5,0.0345,"10,696","594,914",395,"107,561",0.1531,0.9963,5.5107
