,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,1.9664603e-06,0.0174892,"57,112",835,0.0144,"57,112","548,498",835,"107,121",0.16339,0.99227,5.08076
1,0.01748949,0.02600559,"38,062","1,000",0.0256,"95,174","510,436","1,835","106,121",0.17212,0.98300,4.72819
2,0.026005669,0.032540675,"28,535","1,000",0.0339,"123,709","481,901","2,835","105,121",0.17908,0.97374,4.46386
3,0.03254087,0.03814336,"23,201","1,000",0.0413,"146,910","458,700","3,835","104,121",0.18500,0.96448,4.24895
4,0.038143866,0.04318143,"20,141","1,000",0.0473,"167,051","438,559","4,835","103,121",0.19037,0.95521,4.06239
5,0.04318161,0.047893703,"17,977","1,000",0.0527,"185,028","420,582","5,835","102,121",0.19537,0.94595,3.89586
6,0.047894374,0.052595332,"17,084","1,000",0.0553,"202,112","403,498","6,835","101,121",0.20039,0.93669,3.73762
7,0.05259557,0.056903377,"15,001","1,000",0.0625,"217,113","388,497","7,835","100,121",0.20491,0.92742,3.59866
8,0.056903914,0.06144381,"15,330","1,000",0.0612,"232,443","373,167","8,835","99,121",0.20987,0.91816,3.45666
9,0.061444055,0.06577137,"14,166","1,000",0.0659,"246,609","359,001","9,835","98,121",0.21465,0.90890,3.32544
10,0.065771796,0.069817744,"12,576","1,000",0.0737,"259,185","346,425","10,835","97,121",0.21896,0.89964,3.20895
11,0.0698178,0.073842905,"12,038","1,000",0.0767,"271,223","334,387","11,835","96,121",0.22327,0.89037,3.09744
12,0.07384355,0.0776726,"11,028","1,000",0.0831,"282,251","323,359","12,835","95,121",0.22730,0.88111,2.99529
13,0.07767268,0.08148023,"10,650","1,000",0.0858,"292,901","312,709","13,835","94,121",0.23135,0.87185,2.89663
14,0.081480384,0.085417934,"10,384","1,000",0.0878,"303,285","302,325","14,835","93,121",0.23548,0.86258,2.80045
15,0.08541821,0.089121826,"9,593","1,001",0.0945,"312,878","292,732","15,836","92,120",0.23936,0.85331,2.71159
16,0.089122325,0.093001924,"9,526","1,000",0.0950,"322,404","283,206","16,836","91,120",0.24342,0.84405,2.62335
17,0.09300247,0.09667642,"8,678","1,000",0.1033,"331,082","274,528","17,836","90,120",0.24714,0.83478,2.54296
18,0.09667681,0.10041655,"8,632","1,000",0.1038,"339,714","265,896","18,836","89,120",0.25103,0.82552,2.46300
19,0.10041687,0.10408795,"7,931","1,000",0.1120,"347,645","257,965","19,836","88,120",0.25462,0.81626,2.38954
20,0.10408807,0.10772546,"7,741","1,000",0.1144,"355,386","250,224","20,836","87,120",0.25825,0.80700,2.31783
21,0.10772651,0.111437894,"7,605","1,000",0.1162,"362,991","242,619","21,836","86,120",0.26197,0.79773,2.24739
22,0.111437924,0.115046054,"7,074","1,000",0.1239,"370,065","235,545","22,836","85,120",0.26545,0.78847,2.18186
23,0.11504657,0.1187684,"7,235","1,000",0.1214,"377,300","228,310","23,836","84,120",0.26924,0.77921,2.11484
24,0.11876927,0.122319885,"6,601","1,000",0.1316,"383,901","221,709","24,836","83,120",0.27268,0.76994,2.05370
25,0.12232074,0.126023,"6,775","1,000",0.1286,"390,676","214,934","25,836","82,120",0.27645,0.76068,1.99094
26,0.12602304,0.12973025,"6,567","1,000",0.1322,"397,243","208,367","26,836","81,120",0.28022,0.75142,1.93011
27,0.12973179,0.13342102,"6,335","1,000",0.1363,"403,578","202,032","27,836","80,120",0.28396,0.74215,1.87143
28,0.13342139,0.13702402,"5,918","1,000",0.1446,"409,496","196,114","28,836","79,120",0.28746,0.73289,1.81661
29,0.13702464,0.14079939,"6,023","1,000",0.1424,"415,519","190,091","29,836","78,120",0.29126,0.72363,1.76082
30,0.1408,0.1442805,"5,282","1,000",0.1592,"420,801","184,809","30,836","77,120",0.29443,0.71437,1.71189
31,0.14428097,0.14795348,"5,554","1,000",0.1526,"426,355","179,255","31,836","76,120",0.29807,0.70510,1.66044
32,0.14795361,0.15166995,"5,371","1,000",0.1570,"431,726","173,884","32,836","75,120",0.30168,0.69584,1.61069
33,0.15167022,0.15545748,"5,235","1,000",0.1604,"436,961","168,649","33,836","74,120",0.30531,0.68658,1.56220
34,0.15545756,0.15945894,"5,418","1,000",0.1558,"442,379","163,231","34,836","73,120",0.30937,0.67731,1.51201
35,0.15945984,0.16320167,"4,949","1,000",0.1681,"447,328","158,282","35,836","72,120",0.31302,0.66805,1.46617
36,0.16320193,0.16697782,"4,732","1,000",0.1745,"452,060","153,550","36,836","71,120",0.31655,0.65879,1.42234
37,0.16697787,0.17081493,"4,728","1,000",0.1746,"456,788","148,822","37,836","70,120",0.32027,0.64952,1.37854
38,0.17081623,0.17481798,"4,552","1,000",0.1801,"461,340","144,270","38,836","69,120",0.32391,0.64026,1.33638
39,0.17481838,0.17881374,"4,490","1,000",0.1821,"465,830","139,780","39,836","68,120",0.32766,0.63100,1.29479
40,0.17881402,0.18264072,"4,343","1,000",0.1872,"470,173","135,437","40,836","67,120",0.33136,0.62173,1.25456
41,0.18264233,0.18659952,"4,228","1,000",0.1913,"474,401","131,209","41,836","66,120",0.33507,0.61247,1.21539
42,0.18659967,0.19056419,"4,125","1,000",0.1951,"478,526","127,084","42,836","65,120",0.33881,0.60321,1.17718
43,0.19056486,0.1947018,"4,158","1,000",0.1939,"482,684","122,926","43,836","64,120",0.34280,0.59395,1.13867
