,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0014,0.0347,"47,398","1,459",0.0299,"47,398","558,212","1,459","106,497",0.1602,0.9865,5.1707
1,0.0347,0.0449,"32,482","1,600",0.0469,"79,880","525,730","3,059","104,897",0.1663,0.9717,4.8699
2,0.0449,0.0525,"27,270","1,600",0.0554,"107,150","498,460","4,659","103,297",0.1717,0.9568,4.6173
3,0.0525,0.0587,"23,208","1,600",0.0645,"130,358","475,252","6,259","101,697",0.1763,0.9420,4.4023
4,0.0587,0.0640,"20,490","1,600",0.0724,"150,848","454,762","7,859","100,097",0.1804,0.9272,4.2125
5,0.0640,0.0690,"19,644","1,600",0.0753,"170,492","435,118","9,459","98,497",0.1846,0.9124,4.0305
6,0.0690,0.0737,"18,591","1,600",0.0792,"189,083","416,527","11,059","96,897",0.1887,0.8976,3.8583
7,0.0737,0.0782,"17,296","1,600",0.0847,"206,379","399,231","12,659","95,297",0.1927,0.8827,3.6981
8,0.0782,0.0826,"17,153","1,600",0.0853,"223,532","382,078","14,259","93,697",0.1969,0.8679,3.5392
9,0.0826,0.0869,"15,950","1,600",0.0912,"239,482","366,128","15,859","92,097",0.2010,0.8531,3.3915
10,0.0869,0.0909,"14,972","1,600",0.0965,"254,454","351,156","17,459","90,497",0.2049,0.8383,3.2528
11,0.0909,0.0949,"13,985","1,600",0.1027,"268,439","337,171","19,059","88,897",0.2086,0.8235,3.1232
12,0.0949,0.0988,"13,731","1,600",0.1044,"282,170","323,440","20,659","87,297",0.2125,0.8086,2.9960
13,0.0988,0.1027,"12,871","1,600",0.1106,"295,041","310,569","22,259","85,697",0.2163,0.7938,2.8768
14,0.1027,0.1065,"12,294","1,600",0.1152,"307,335","298,275","23,859","84,097",0.2199,0.7790,2.7629
15,0.1065,0.1105,"12,538","1,600",0.1132,"319,873","285,737","25,459","82,497",0.2240,0.7642,2.6468
16,0.1105,0.1144,"11,892","1,600",0.1186,"331,765","273,845","27,059","80,897",0.2280,0.7494,2.5366
17,0.1144,0.1183,"11,343","1,600",0.1236,"343,108","262,502","28,659","79,297",0.2320,0.7345,2.4316
18,0.1183,0.1223,"11,263","1,600",0.1244,"354,371","251,239","30,259","77,697",0.2362,0.7197,2.3272
19,0.1223,0.1262,"10,587","1,600",0.1313,"364,958","240,652","31,859","76,097",0.2402,0.7049,2.2292
20,0.1262,0.1302,"10,123","1,600",0.1365,"375,081","230,529","33,459","74,497",0.2442,0.6901,2.1354
21,0.1302,0.1341,"9,846","1,600",0.1398,"384,927","220,683","35,059","72,897",0.2483,0.6752,2.0442
22,0.1341,0.1379,"9,170","1,600",0.1486,"394,097","211,513","36,659","71,297",0.2521,0.6604,1.9593
23,0.1379,0.1419,"9,145","1,600",0.1489,"403,242","202,368","38,259","69,697",0.2562,0.6456,1.8745
24,0.1419,0.1458,"8,420","1,600",0.1597,"411,662","193,948","39,859","68,097",0.2599,0.6308,1.7965
25,0.1458,0.1499,"8,481","1,600",0.1587,"420,143","185,467","41,459","66,497",0.2639,0.6160,1.7180
26,0.1499,0.1542,"8,532","1,600",0.1579,"428,675","176,935","43,059","64,897",0.2684,0.6011,1.6390
27,0.1542,0.1587,"8,336","1,600",0.1610,"437,011","168,599","44,659","63,297",0.2730,0.5863,1.5617
28,0.1587,0.1632,"7,890","1,600",0.1686,"444,901","160,709","46,259","61,697",0.2774,0.5715,1.4887
29,0.1632,0.1676,"7,414","1,600",0.1775,"452,315","153,295","47,859","60,097",0.2816,0.5567,1.4200
30,0.1676,0.1719,"6,981","1,600",0.1865,"459,296","146,314","49,459","58,497",0.2856,0.5419,1.3553
31,0.1719,0.1765,"6,905","1,600",0.1881,"466,201","139,409","51,059","56,897",0.2898,0.5270,1.2914
32,0.1765,0.1813,"7,027","1,600",0.1855,"473,228","132,382","52,659","55,297",0.2946,0.5122,1.2263
33,0.1813,0.1864,"6,946","1,600",0.1872,"480,174","125,436","54,259","53,697",0.2998,0.4974,1.1619
34,0.1864,0.1917,"6,812","1,600",0.1902,"486,986","118,624","55,859","52,097",0.3052,0.4826,1.0988
35,0.1917,0.1970,"6,384","1,600",0.2004,"493,370","112,240","57,459","50,497",0.3103,0.4678,1.0397
36,0.1970,0.2026,"6,287","1,600",0.2029,"499,657","105,953","59,059","48,897",0.3158,0.4529,0.9814
37,0.2026,0.2082,"5,865","1,600",0.2143,"505,522","100,088","60,659","47,297",0.3209,0.4381,0.9271
38,0.2082,0.2142,"5,963","1,600",0.2116,"511,485","94,125","62,259","45,697",0.3268,0.4233,0.8719
39,0.2142,0.2204,"5,550","1,600",0.2238,"517,035","88,575","63,859","44,097",0.3324,0.4085,0.8205
40,0.2204,0.2265,"5,249","1,600",0.2336,"522,284","83,326","65,459","42,497",0.3378,0.3937,0.7719
41,0.2265,0.2332,"5,386","1,600",0.2290,"527,670","77,940","67,059","40,897",0.3441,0.3788,0.7220
42,0.2332,0.2404,"5,174","1,600",0.2362,"532,844","72,766","68,659","39,297",0.3507,0.3640,0.6740
43,0.2404,0.2474,"4,701","1,600",0.2539,"537,545","68,065","70,259","37,697",0.3564,0.3492,0.6305
44,0.2474,0.2547,"4,652","1,600",0.2559,"542,197","63,413","71,859","36,097",0.3627,0.3344,0.5874
45,0.2547,0.2627,"4,552","1,600",0.2601,"546,749","58,861","73,459","34,497",0.3695,0.3195,0.5452
46,0.2627,0.2708,"4,351","1,600",0.2689,"551,100","54,510","75,059","32,897",0.3764,0.3047,0.5049
47,0.2708,0.2792,"4,031","1,600",0.2841,"555,131","50,479","76,659","31,297",0.3827,0.2899,0.4676
48,0.2792,0.2884,"4,071","1,600",0.2821,"559,202","46,408","78,259","29,697",0.3902,0.2751,0.4299
49,0.2884,0.2979,"3,811","1,600",0.2957,"563,013","42,597","79,859","28,097",0.3974,0.2603,0.3946
50,0.2979,0.3078,"3,746","1,600",0.2993,"566,759","38,851","81,459","26,497",0.4055,0.2454,0.3599
51,0.3078,0.3185,"3,622","1,600",0.3064,"570,381","35,229","83,059","24,897",0.4141,0.2306,0.3263
52,0.3185,0.3299,"3,451","1,600",0.3168,"573,832","31,778","84,659","23,297",0.4230,0.2158,0.2944
53,0.3299,0.3420,"3,218","1,600",0.3321,"577,050","28,560","86,259","21,697",0.4317,0.2010,0.2646
54,0.3420,0.3545,"2,954","1,600",0.3513,"580,004","25,606","87,859","20,097",0.4397,0.1862,0.2372
55,0.3545,0.3681,"2,995","1,600",0.3482,"582,999","22,611","89,459","18,497",0.4500,0.1713,0.2094
56,0.3682,0.3826,"2,761","1,600",0.3669,"585,760","19,850","91,059","16,897",0.4598,0.1565,0.1839
57,0.3826,0.3978,"2,632","1,600",0.3781,"588,392","17,218","92,659","15,297",0.4705,0.1417,0.1595
58,0.3978,0.4139,"2,492","1,600",0.3910,"590,884","14,726","94,259","13,697",0.4819,0.1269,0.1364
59,0.4139,0.4309,"2,168","1,600",0.4246,"593,052","12,558","95,859","12,097",0.4907,0.1121,0.1163
60,0.4309,0.4497,"2,187","1,600",0.4225,"595,239","10,371","97,459","10,497",0.5030,0.0972,0.0961
61,0.4497,0.4698,"1,959","1,600",0.4496,"597,198","8,412","99,059","8,897",0.5140,0.0824,0.0779
62,0.4698,0.4913,"1,781","1,600",0.4732,"598,979","6,631","100,659","7,297",0.5239,0.0676,0.0614
63,0.4913,0.5178,"1,795","1,600",0.4713,"600,774","4,836","102,259","5,697",0.5409,0.0528,0.0448
64,0.5178,0.5496,"1,636","1,600",0.4944,"602,410","3,200","103,859","4,097",0.5615,0.0380,0.0296
65,0.5496,0.5972,"1,600","1,810",0.5308,"604,010","1,600","105,669","2,287",0.5884,0.0212,0.0148
66,0.5972,0.9943,"1,600","2,287",0.5884,"605,610",0,"107,956",0,nan,0.0000,0.0000
