,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.04491668,0.14546654,"21,317",855,0.0386,"21,317","584,293",855,"107,101",0.15491,0.99208,5.41233
1,0.14547235,0.15931049,"18,774","1,000",0.0506,"40,091","565,519","1,855","106,101",0.15798,0.98282,5.23842
2,0.1593196,0.16780768,"16,483","1,000",0.0572,"56,574","549,036","2,855","105,101",0.16067,0.97355,5.08574
3,0.16780946,0.17504422,"16,404","1,003",0.0576,"72,978","532,632","3,858","104,098",0.16349,0.96426,4.93379
4,0.1750461,0.18192454,"14,797","1,003",0.0635,"87,775","517,835","4,861","103,095",0.16603,0.95497,4.79672
5,0.18192887,0.18815385,"12,927","1,001",0.0719,"100,702","504,908","5,862","102,094",0.16819,0.94570,4.67698
6,0.18815665,0.19422409,"12,269","1,000",0.0754,"112,971","492,639","6,862","101,094",0.17027,0.93644,4.56333
7,0.19422564,0.19980957,"11,208","1,000",0.0819,"124,179","481,431","7,862","100,094",0.17212,0.92717,4.45951
8,0.19981295,0.20463651,"10,686","1,001",0.0857,"134,865","470,745","8,863","99,093",0.17390,0.91790,4.36053
9,0.20463707,0.20884773,"9,297","1,000",0.0971,"144,162","461,448","9,863","98,093",0.17531,0.90864,4.27441
10,0.20884891,0.21283102,"9,832","1,000",0.0923,"153,994","451,616","10,863","97,093",0.17695,0.89938,4.18333
11,0.21283168,0.21641743,"9,186","1,000",0.0982,"163,180","442,430","11,863","96,093",0.17844,0.89011,4.09824
12,0.21642038,0.21987142,"9,160","1,001",0.0985,"172,340","433,270","12,864","95,092",0.17998,0.88084,4.01339
13,0.21987255,0.22283871,"8,786","1,000",0.1022,"181,126","424,484","13,864","94,092",0.18144,0.87158,3.93201
14,0.22283912,0.22576392,"8,603","1,000",0.1041,"189,729","415,881","14,864","93,092",0.18290,0.86231,3.85232
15,0.22576481,0.2283403,"8,355","1,000",0.1069,"198,084","407,526","15,864","92,092",0.18432,0.85305,3.77493
16,0.22834115,0.23096332,"8,178","1,000",0.1090,"206,262","399,348","16,864","91,092",0.18574,0.84379,3.69917
17,0.2309653,0.23325402,"8,048","1,000",0.1105,"214,310","391,300","17,864","90,092",0.18715,0.83453,3.62462
18,0.23325461,0.23544669,"7,855","1,000",0.1129,"222,165","383,445","18,864","89,092",0.18854,0.82526,3.55186
19,0.23544684,0.23747407,"7,820","1,000",0.1134,"229,985","375,625","19,864","88,092",0.18997,0.81600,3.47943
20,0.23747474,0.23964138,"7,772","1,000",0.1140,"237,757","367,853","20,864","87,092",0.19143,0.80674,3.40743
21,0.23964189,0.24152616,"7,223","1,002",0.1218,"244,980","360,630","21,866","86,090",0.19272,0.79745,3.34053
22,0.2415326,0.24349876,"7,175","1,002",0.1225,"252,155","353,455","22,868","85,088",0.19402,0.78817,3.27407
23,0.24350151,0.2454061,"7,539","1,000",0.1171,"259,694","345,916","23,868","84,088",0.19555,0.77891,3.20423
24,0.24540623,0.24735792,"7,092","1,002",0.1238,"266,786","338,824","24,870","83,086",0.19693,0.76963,3.13854
25,0.24736036,0.2491886,"7,484","1,000",0.1179,"274,270","331,340","25,870","82,086",0.19855,0.76037,3.06921
26,0.24919127,0.25077245,"6,760","1,000",0.1289,"281,030","324,580","26,870","81,086",0.19988,0.75110,3.00660
27,0.25077316,0.25255945,"6,818","1,007",0.1287,"287,848","317,762","27,877","80,079",0.20128,0.74177,2.94344
28,0.25256208,0.25420162,"6,547","1,000",0.1325,"294,395","311,215","28,877","79,079",0.20261,0.73251,2.88279
29,0.25420278,0.25588718,"6,626","1,003",0.1315,"301,021","304,589","29,880","78,076",0.20403,0.72322,2.82142
30,0.25588724,0.25757906,"6,332","1,000",0.1364,"307,353","298,257","30,880","77,076",0.20535,0.71396,2.76276
31,0.2575797,0.2591967,"5,966","1,000",0.1436,"313,319","292,291","31,880","76,076",0.20652,0.70469,2.70750
32,0.25919697,0.26082826,"6,049","1,000",0.1419,"319,368","286,242","32,880","75,076",0.20778,0.69543,2.65147
33,0.26082847,0.26229557,"6,201","1,000",0.1389,"325,569","280,041","33,880","74,076",0.20919,0.68617,2.59403
34,0.26229608,0.26385123,"6,638","1,008",0.1318,"332,207","273,403","34,888","73,068",0.21089,0.67683,2.53254
35,0.26385278,0.2654454,"6,383","1,001",0.1356,"338,590","267,020","35,889","72,067",0.21253,0.66756,2.47342
36,0.26544827,0.26719302,"5,770","1,003",0.1481,"344,360","261,250","36,892","71,064",0.21385,0.65827,2.41997
37,0.26719317,0.2687823,"6,242","1,001",0.1382,"350,602","255,008","37,893","70,063",0.21553,0.64900,2.36215
38,0.2687847,0.270559,"6,046","1,003",0.1423,"356,648","248,962","38,896","69,060",0.21715,0.63971,2.30614
39,0.27056423,0.27198395,"5,413","1,001",0.1561,"362,061","243,549","39,897","68,059",0.21841,0.63043,2.25600
40,0.27198455,0.27361998,"5,862","1,000",0.1457,"367,923","237,687","40,897","67,059",0.22005,0.62117,2.20170
41,0.27362135,0.275295,"5,768","1,001",0.1479,"373,691","231,919","41,898","66,058",0.22169,0.61190,2.14827
42,0.27529636,0.27683997,"5,525","1,003",0.1536,"379,216","226,394","42,901","65,055",0.22321,0.60261,2.09710
43,0.27684206,0.27851385,"5,230","1,001",0.1606,"384,446","221,164","43,902","64,054",0.22458,0.59333,2.04865
44,0.27851492,0.2801929,"5,657","1,001",0.1503,"390,103","215,507","44,903","63,053",0.22635,0.58406,1.99625
45,0.2801964,0.28186613,"5,195","1,003",0.1618,"395,298","210,312","45,906","62,050",0.22782,0.57477,1.94813
46,0.2818668,0.28371206,"5,231","1,000",0.1605,"400,529","205,081","46,906","61,050",0.22940,0.56551,1.89967
47,0.28371552,0.28554195,"5,252","1,000",0.1599,"405,781","199,829","47,906","60,050",0.23107,0.55625,1.85102
48,0.2855424,0.28728694,"4,955","1,000",0.1679,"410,736","194,874","48,906","59,050",0.23255,0.54698,1.80512
49,0.28729227,0.28888896,"4,764","1,000",0.1735,"415,500","190,110","49,906","58,050",0.23392,0.53772,1.76100
50,0.28888905,0.29073703,"5,153","1,000",0.1625,"420,653","184,957","50,906","57,050",0.23574,0.52846,1.71326
51,0.29073998,0.29235923,"4,687","1,001",0.1760,"425,340","180,270","51,907","56,049",0.23718,0.51918,1.66985
52,0.29236087,0.293997,"4,983","1,003",0.1676,"430,323","175,287","52,910","55,046",0.23898,0.50989,1.62369
53,0.29399726,0.29568794,"5,113","1,000",0.1636,"435,436","170,174","53,910","54,046",0.24104,0.50063,1.57633
54,0.29568943,0.2974283,"4,733","1,000",0.1744,"440,169","165,441","54,910","53,046",0.24279,0.49137,1.53249
55,0.29743013,0.29946855,"4,806","1,000",0.1722,"444,975","160,635","55,910","52,046",0.24471,0.48210,1.48797
56,0.29946885,0.30115926,"4,352","1,000",0.1868,"449,327","156,283","56,910","51,046",0.24621,0.47284,1.44765
57,0.30115977,0.30282316,"4,335","1,000",0.1874,"453,662","151,948","57,910","50,046",0.24776,0.46358,1.40750
58,0.30282444,0.3048487,"4,325","1,000",0.1878,"457,987","147,623","58,910","49,046",0.24938,0.45431,1.36744
59,0.3048539,0.3066698,"4,334","1,000",0.1875,"462,321","143,289","59,910","48,046",0.25111,0.44505,1.32729
60,0.3066709,0.308439,"4,263","1,001",0.1902,"466,584","139,026","60,911","47,045",0.25283,0.43578,1.28780
61,0.3084423,0.31024227,"4,064","1,000",0.1975,"470,648","134,962","61,911","46,045",0.25438,0.42652,1.25016
62,0.31024334,0.31205449,"4,244","1,000",0.1907,"474,892","130,718","62,911","45,045",0.25628,0.41725,1.21085
63,0.31205466,0.3138899,"3,980","1,000",0.2008,"478,872","126,738","63,911","44,045",0.25790,0.40799,1.17398
64,0.31389105,0.31570193,"3,812","1,000",0.2078,"482,684","122,926","64,911","43,045",0.25935,0.39873,1.13867
65,0.31570348,0.3175163,"3,712","1,002",0.2126,"486,396","119,214","65,913","42,043",0.26072,0.38945,1.10428
66,0.31752083,0.31933072,"3,746","1,000",0.2107,"490,142","115,468","66,913","41,043",0.26224,0.38018,1.06958
67,0.31933376,0.32113862,"4,032","1,000",0.1987,"494,174","111,436","67,913","40,043",0.26435,0.37092,1.03224
68,0.32113925,0.322959,"3,733","1,000",0.2113,"497,907","107,703","68,913","39,043",0.26606,0.36166,0.99766
69,0.3229593,0.3248441,"3,708","1,006",0.2134,"501,615","103,995","69,919","38,037",0.26781,0.35234,0.96331
70,0.32484463,0.32670555,"3,538","1,001",0.2205,"505,153","100,457","70,920","37,036",0.26937,0.34307,0.93054
71,0.32670578,0.32850507,"3,549","1,002",0.2202,"508,702","96,908","71,922","36,034",0.27105,0.33378,0.89766
72,0.32850787,0.3303539,"3,330","1,000",0.2309,"512,032","93,578","72,922","35,034",0.27240,0.32452,0.86682
73,0.33035505,0.33238333,"3,632","1,001",0.2161,"515,664","89,946","73,923","34,033",0.27451,0.31525,0.83317
74,0.3323842,0.33418086,"3,247","1,000",0.2355,"518,911","86,699","74,923","33,033",0.27589,0.30599,0.80310
75,0.33418426,0.3360877,"3,403","1,001",0.2273,"522,314","83,296","75,924","32,032",0.27775,0.29671,0.77157
76,0.33608806,0.33776528,"3,357","1,001",0.2297,"525,671","79,939","76,925","31,031",0.27963,0.28744,0.74048
77,0.33776763,0.33945245,"3,314","1,000",0.2318,"528,985","76,625","77,925","30,031",0.28157,0.27818,0.70978
78,0.33945447,0.34109363,"3,237","1,000",0.2360,"532,222","73,388","78,925","29,031",0.28345,0.26892,0.67980
79,0.34109452,0.3430191,"3,176","1,000",0.2395,"535,398","70,212","79,925","28,031",0.28532,0.25965,0.65038
80,0.3430196,0.34482485,"3,135","1,000",0.2418,"538,533","67,077","80,925","27,031",0.28723,0.25039,0.62134
81,0.34482652,0.34669214,"3,224","1,001",0.2369,"541,757","63,853","81,926","26,030",0.28960,0.24112,0.59147
82,0.3466952,0.34866405,"2,940","1,002",0.2542,"544,697","60,913","82,928","25,028",0.29122,0.23184,0.56424
83,0.3486644,0.35083133,"3,050","1,000",0.2469,"547,747","57,863","83,928","24,028",0.29341,0.22257,0.53599
84,0.35083774,0.35273015,"2,942","1,000",0.2537,"550,689","54,921","84,928","23,028",0.29542,0.21331,0.50874
85,0.3527307,0.35487333,"2,946","1,004",0.2542,"553,635","51,975","85,932","22,024",0.29763,0.20401,0.48145
86,0.35487577,0.3566433,"2,659","1,000",0.2733,"556,294","49,316","86,932","21,024",0.29889,0.19475,0.45682
87,0.3566449,0.35853007,"2,832","1,003",0.2615,"559,126","46,484","87,935","20,021",0.30105,0.18546,0.43058
88,0.35853267,0.36066484,"2,809","1,003",0.2631,"561,935","43,675","88,938","19,018",0.30335,0.17616,0.40456
89,0.36066973,0.36288416,"2,647","1,000",0.2742,"564,582","41,028","89,938","18,018",0.30515,0.16690,0.38004
90,0.36289105,0.36511615,"2,678","1,002",0.2723,"567,260","38,350","90,940","17,016",0.30734,0.15762,0.35524
91,0.36511913,0.36734456,"2,814","1,000",0.2622,"570,074","35,536","91,940","16,016",0.31068,0.14836,0.32917
92,0.36734906,0.3697717,"2,512","1,000",0.2847,"572,586","33,024","92,940","15,016",0.31257,0.13909,0.30590
93,0.36977187,0.37218043,"2,456","1,000",0.2894,"575,042","30,568","93,940","14,016",0.31437,0.12983,0.28315
94,0.37218207,0.37489918,"2,533","1,000",0.2830,"577,575","28,035","94,940","13,016",0.31707,0.12057,0.25969
95,0.37489945,0.37761414,"2,392","1,000",0.2948,"579,967","25,643","95,940","12,016",0.31907,0.11130,0.23753
96,0.37761423,0.3803108,"2,403","1,001",0.2941,"582,370","23,240","96,941","11,015",0.32156,0.10203,0.21527
97,0.3803218,0.38358858,"2,508","1,000",0.2851,"584,878","20,732","97,941","10,015",0.32572,0.09277,0.19204
98,0.38359484,0.38706684,"2,370","1,003",0.2974,"587,248","18,362","98,944","9,012",0.32922,0.08348,0.17009
99,0.38707215,0.39085492,"2,230","1,003",0.3102,"589,478","16,132","99,947","8,009",0.33176,0.07419,0.14943
100,0.39086086,0.39517033,"2,399","1,000",0.2942,"591,877","13,733","100,947","7,009",0.33791,0.06492,0.12721
101,0.39518622,0.39997947,"2,142","1,001",0.3185,"594,019","11,591","101,948","6,008",0.34138,0.05565,0.10737
102,0.39998406,0.4054928,"2,260","1,001",0.3070,"596,279","9,331","102,949","5,007",0.34921,0.04638,0.08643
103,0.40549576,0.4122325,"2,083","1,000",0.3244,"598,362","7,248","103,949","4,007",0.35602,0.03712,0.06714
104,0.41227016,0.41982567,"2,092","1,005",0.3245,"600,454","5,156","104,954","3,002",0.36798,0.02781,0.04776
105,0.41983303,0.43037385,"1,744","1,000",0.3644,"602,198","3,412","105,954","2,002",0.36978,0.01854,0.03161
106,0.43037763,0.44577092,"1,771","1,001",0.3611,"603,969","1,641","106,955","1,001",0.37888,0.00927,0.01520
107,0.44578066,0.6207513,"1,641","1,001",0.3789,"605,610",0,"107,956",0,nan,0.00000,0.00000
