,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0011744364,0.06533649,"1,076",4,0.0037,"1,076","604,534",4,"107,952",0.1515,1.0000,5.5998
1,0.06534097,0.09497411,"3,220",25,0.0077,"4,296","601,314",29,"107,927",0.1522,0.9997,5.5700
2,0.09497743,0.10625935,"2,328",25,0.0106,"6,624","598,986",54,"107,902",0.1526,0.9995,5.5484
3,0.10626298,0.11506605,"2,485",25,0.0100,"9,109","596,501",79,"107,877",0.1532,0.9993,5.5254
4,0.115067944,0.121117085,"2,009",25,0.0123,"11,118","594,492",104,"107,852",0.1536,0.9990,5.5068
5,0.12112235,0.12924494,"3,381",25,0.0073,"14,499","591,111",129,"107,827",0.1543,0.9988,5.4755
6,0.12924866,0.13291505,"1,744",25,0.0141,"16,243","589,367",154,"107,802",0.1546,0.9986,5.4593
7,0.1329153,0.13703938,"2,093",25,0.0118,"18,336","587,274",179,"107,777",0.1551,0.9983,5.4399
8,0.13704236,0.14096534,"2,254",25,0.0110,"20,590","585,020",204,"107,752",0.1555,0.9981,5.4191
9,0.14097267,0.14438613,"2,095",25,0.0118,"22,685","582,925",229,"107,727",0.1560,0.9979,5.3997
10,0.14438686,0.14644839,"1,404",25,0.0175,"24,089","581,521",254,"107,702",0.1563,0.9976,5.3866
11,0.14644876,0.14931963,"2,000",25,0.0123,"26,089","579,521",279,"107,677",0.1567,0.9974,5.3681
12,0.14932175,0.15210196,"1,997",25,0.0124,"28,086","577,524",304,"107,652",0.1571,0.9972,5.3496
13,0.15210286,0.15427248,"1,659",25,0.0148,"29,745","575,865",329,"107,627",0.1575,0.9970,5.3343
14,0.15427458,0.155657,"1,155",25,0.0212,"30,900","574,710",354,"107,602",0.1577,0.9967,5.3236
15,0.15565781,0.15765394,"1,662",25,0.0148,"32,562","573,048",379,"107,577",0.1581,0.9965,5.3082
16,0.1576545,0.15969962,"1,833",25,0.0135,"34,395","571,215",404,"107,552",0.1585,0.9963,5.2912
17,0.15970075,0.16075286,921,25,0.0264,"35,316","570,294",429,"107,527",0.1586,0.9960,5.2827
18,0.16075344,0.1621979,"1,241",25,0.0197,"36,557","569,053",454,"107,502",0.1589,0.9958,5.2712
19,0.16219947,0.16358542,"1,333",25,0.0184,"37,890","567,720",479,"107,477",0.1592,0.9956,5.2588
20,0.1635859,0.16559604,"1,933",25,0.0128,"39,823","565,787",504,"107,452",0.1596,0.9953,5.2409
21,0.16559614,0.16676669,"1,117",25,0.0219,"40,940","564,670",529,"107,427",0.1598,0.9951,5.2306
22,0.1667668,0.16829392,"1,562",26,0.0164,"42,502","563,108",555,"107,401",0.1602,0.9949,5.2161
23,0.16829427,0.16996819,"1,805",25,0.0137,"44,307","561,303",580,"107,376",0.1606,0.9946,5.1994
24,0.16996846,0.17124784,"1,375",25,0.0179,"45,682","559,928",605,"107,351",0.1609,0.9944,5.1866
25,0.17124847,0.17286614,"1,818",25,0.0136,"47,500","558,110",630,"107,326",0.1613,0.9942,5.1698
26,0.17286627,0.17399059,"1,221",25,0.0201,"48,721","556,889",655,"107,301",0.1616,0.9939,5.1585
27,0.17399143,0.17495151,"1,094",25,0.0223,"49,815","555,795",680,"107,276",0.1618,0.9937,5.1483
28,0.17495345,0.17581742,959,25,0.0254,"50,774","554,836",705,"107,251",0.1620,0.9935,5.1395
29,0.17581944,0.17679422,"1,172",25,0.0209,"51,946","553,664",730,"107,226",0.1622,0.9932,5.1286
30,0.17679656,0.17800729,"1,464",25,0.0168,"53,410","552,200",755,"107,201",0.1626,0.9930,5.1150
31,0.17800908,0.17906931,"1,313",25,0.0187,"54,723","550,887",780,"107,176",0.1629,0.9928,5.1029
32,0.17906971,0.18026638,"1,475",25,0.0167,"56,198","549,412",805,"107,151",0.1632,0.9925,5.0892
33,0.1802665,0.18110333,"1,054",25,0.0232,"57,252","548,358",830,"107,126",0.1634,0.9923,5.0795
34,0.18110403,0.18207546,"1,236",25,0.0198,"58,488","547,122",855,"107,101",0.1637,0.9921,5.0680
35,0.18207592,0.18293494,"1,133",25,0.0216,"59,621","545,989",880,"107,076",0.1640,0.9918,5.0575
36,0.18294118,0.18373056,989,25,0.0247,"60,610","545,000",905,"107,051",0.1642,0.9916,5.0484
37,0.1837311,0.1843833,839,25,0.0289,"61,449","544,161",930,"107,026",0.1644,0.9914,5.0406
38,0.18438378,0.18532033,"1,261",25,0.0194,"62,710","542,900",955,"107,001",0.1646,0.9912,5.0289
39,0.18532038,0.18597332,913,25,0.0267,"63,623","541,987",980,"106,976",0.1648,0.9909,5.0204
40,0.1859734,0.18647777,675,25,0.0357,"64,298","541,312","1,005","106,951",0.1650,0.9907,5.0142
41,0.18647887,0.18737885,"1,251",25,0.0196,"65,549","540,061","1,030","106,926",0.1653,0.9905,5.0026
42,0.18737893,0.18812165,"1,045",25,0.0234,"66,594","539,016","1,055","106,901",0.1655,0.9902,4.9929
43,0.18812194,0.18883838,965,25,0.0253,"67,559","538,051","1,080","106,876",0.1657,0.9900,4.9840
44,0.1888386,0.1894551,861,25,0.0282,"68,420","537,190","1,105","106,851",0.1659,0.9898,4.9760
45,0.18945606,0.18994471,653,25,0.0369,"69,073","536,537","1,130","106,826",0.1660,0.9895,4.9700
46,0.18994582,0.19081862,"1,269",25,0.0193,"70,342","535,268","1,155","106,801",0.1663,0.9893,4.9582
47,0.1908197,0.19146389,908,25,0.0268,"71,250","534,360","1,180","106,776",0.1665,0.9891,4.9498
48,0.19146574,0.19233523,"1,236",25,0.0198,"72,486","533,124","1,205","106,751",0.1668,0.9888,4.9383
49,0.19233531,0.19294515,914,25,0.0266,"73,400","532,210","1,230","106,726",0.1670,0.9886,4.9299
50,0.1929453,0.19375725,"1,213",25,0.0202,"74,613","530,997","1,255","106,701",0.1673,0.9884,4.9186
51,0.19375782,0.19440646,960,25,0.0254,"75,573","530,037","1,280","106,676",0.1675,0.9881,4.9098
52,0.19440718,0.19515716,"1,210",25,0.0202,"76,783","528,827","1,305","106,651",0.1678,0.9879,4.8985
53,0.19515757,0.19564658,694,25,0.0348,"77,477","528,133","1,330","106,626",0.1680,0.9877,4.8921
54,0.19564724,0.19616133,800,25,0.0303,"78,277","527,333","1,355","106,601",0.1682,0.9874,4.8847
55,0.19616178,0.19708604,"1,373",25,0.0179,"79,650","525,960","1,380","106,576",0.1685,0.9872,4.8720
56,0.19708666,0.19744855,592,25,0.0405,"80,242","525,368","1,405","106,551",0.1686,0.9870,4.8665
57,0.19744861,0.1979274,737,25,0.0328,"80,979","524,631","1,430","106,526",0.1688,0.9868,4.8597
58,0.19793023,0.19851094,861,25,0.0282,"81,840","523,770","1,455","106,501",0.1690,0.9865,4.8517
59,0.19851111,0.1990215,748,25,0.0323,"82,588","523,022","1,480","106,476",0.1691,0.9863,4.8448
60,0.19902182,0.19961993,886,25,0.0274,"83,474","522,136","1,505","106,451",0.1693,0.9861,4.8366
61,0.19962002,0.2001939,924,25,0.0263,"84,398","521,212","1,530","106,426",0.1696,0.9858,4.8280
62,0.20019415,0.20086904,"1,107",25,0.0221,"85,505","520,105","1,555","106,401",0.1698,0.9856,4.8177
63,0.20086911,0.20145959,930,25,0.0262,"86,435","519,175","1,580","106,376",0.1701,0.9854,4.8091
64,0.20145984,0.2020552,916,25,0.0266,"87,351","518,259","1,605","106,351",0.1703,0.9851,4.8007
65,0.20205556,0.20254801,790,25,0.0307,"88,141","517,469","1,630","106,326",0.1705,0.9849,4.7933
66,0.20254806,0.20323248,"1,124",25,0.0218,"89,265","516,345","1,655","106,301",0.1707,0.9847,4.7829
67,0.20323275,0.20377856,919,25,0.0265,"90,184","515,426","1,680","106,276",0.1709,0.9844,4.7744
68,0.20377904,0.20423184,773,25,0.0313,"90,957","514,653","1,705","106,251",0.1711,0.9842,4.7672
