,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.042,0.227,"48,053","2,316",0.0460,"48,053","557,557","2,316","105,640",0.1593,0.9785,5.1647
1,0.227,0.285,"49,017","3,200",0.0613,"97,070","508,540","5,516","102,440",0.1677,0.9489,4.7106
2,0.285,0.331,"38,104","3,201",0.0775,"135,174","470,436","8,717","99,239",0.1742,0.9193,4.3577
3,0.331,0.361,"30,115","3,201",0.0961,"165,289","440,321","11,918","96,038",0.1791,0.8896,4.0787
4,0.361,0.384,"28,076","3,203",0.1024,"193,365","412,245","15,121","92,835",0.1838,0.8599,3.8186
5,0.384,0.402,"25,652","3,203",0.1110,"219,017","386,593","18,324","89,632",0.1882,0.8303,3.5810
6,0.402,0.418,"24,532","3,207",0.1156,"243,549","362,061","21,531","86,425",0.1927,0.8006,3.3538
7,0.418,0.433,"23,264","3,200",0.1209,"266,813","338,797","24,731","83,225",0.1972,0.7709,3.1383
8,0.433,0.446,"21,750","3,201",0.1283,"288,563","317,047","27,932","80,024",0.2015,0.7413,2.9368
9,0.446,0.459,"20,969","3,201",0.1324,"309,532","296,078","31,133","76,823",0.2060,0.7116,2.7426
10,0.459,0.471,"20,507","3,200",0.1350,"330,039","275,571","34,333","73,623",0.2108,0.6820,2.5526
11,0.471,0.483,"19,561","3,200",0.1406,"349,600","256,010","37,533","70,423",0.2157,0.6523,2.3714
12,0.483,0.496,"18,437","3,200",0.1479,"368,037","237,573","40,733","67,223",0.2206,0.6227,2.2006
13,0.496,0.508,"17,535","3,201",0.1544,"385,572","220,038","43,934","64,022",0.2254,0.5930,2.0382
14,0.508,0.520,"16,909","3,200",0.1591,"402,481","203,129","47,134","60,822",0.2304,0.5634,1.8816
15,0.520,0.533,"15,899","3,200",0.1675,"418,380","187,230","50,334","57,622",0.2353,0.5338,1.7343
16,0.533,0.544,"15,548","3,201",0.1707,"433,928","171,682","53,535","54,421",0.2407,0.5041,1.5903
17,0.544,0.556,"14,059","3,201",0.1855,"447,987","157,623","56,736","51,220",0.2453,0.4745,1.4601
18,0.556,0.568,"14,268","3,202",0.1833,"462,255","143,355","59,938","48,018",0.2509,0.4448,1.3279
19,0.568,0.580,"13,441","3,200",0.1923,"475,696","129,914","63,138","44,818",0.2565,0.4152,1.2034
20,0.580,0.592,"12,387","3,201",0.2054,"488,083","117,527","66,339","41,617",0.2615,0.3855,1.0887
21,0.592,0.604,"11,677","3,203",0.2153,"499,760","105,850","69,542","38,414",0.2663,0.3558,0.9805
22,0.604,0.615,"11,722","3,202",0.2146,"511,482","94,128","72,744","35,212",0.2722,0.3262,0.8719
23,0.615,0.627,"11,310","3,200",0.2205,"522,792","82,818","75,944","32,012",0.2788,0.2965,0.7671
24,0.627,0.638,"10,118","3,204",0.2405,"532,910","72,700","79,148","28,808",0.2838,0.2668,0.6734
25,0.638,0.649,"10,013","3,203",0.2424,"542,923","62,687","82,351","25,605",0.2900,0.2372,0.5807
26,0.649,0.661,"9,492","3,200",0.2521,"552,415","53,195","85,551","22,405",0.2964,0.2075,0.4927
27,0.661,0.673,"9,388","3,200",0.2542,"561,803","43,807","88,751","19,205",0.3048,0.1779,0.4058
28,0.673,0.685,"8,417","3,203",0.2756,"570,220","35,390","91,954","16,002",0.3114,0.1482,0.3278
29,0.685,0.698,"7,878","3,200",0.2889,"578,098","27,512","95,154","12,802",0.3176,0.1186,0.2548
30,0.698,0.713,"7,744","3,200",0.2924,"585,842","19,768","98,354","9,602",0.3269,0.0889,0.1831
31,0.713,0.733,"7,463","3,201",0.3002,"593,305","12,305","101,555","6,401",0.3422,0.0593,0.1140
32,0.733,0.760,"6,628","3,201",0.3257,"599,933","5,677","104,756","3,200",0.3605,0.0296,0.0526
33,0.760,0.912,"5,677","3,200",0.3605,"605,610",0,"107,956",0,nan,0.0000,0.0000
