,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,1.0486865e-06,0.041793477,"20,850",213,0.0101,"20,850","584,760",213,"107,743",0.15558,0.99803,5.41665
1,0.041794445,0.10512441,"54,833","1,000",0.0179,"75,683","529,927","1,213","106,743",0.16766,0.98876,4.90873
2,0.10512521,0.14002155,"33,142","1,000",0.0293,"108,825","496,785","2,213","105,743",0.17550,0.97950,4.60174
3,0.14002213,0.16750352,"26,441","1,000",0.0364,"135,266","470,344","3,213","104,743",0.18213,0.97024,4.35681
4,0.16750371,0.18981181,"21,201","1,000",0.0450,"156,467","449,143","4,213","103,743",0.18764,0.96097,4.16043
5,0.18981208,0.21153687,"20,820","1,000",0.0458,"177,287","428,323","5,213","102,743",0.19347,0.95171,3.96757
6,0.21153732,0.23045059,"18,017","1,000",0.0526,"195,304","410,306","6,213","101,743",0.19870,0.94245,3.80068
7,0.2304509,0.24793036,"16,761","1,000",0.0563,"212,065","393,545","7,213","100,743",0.20381,0.93319,3.64542
8,0.2479304,0.26344725,"14,413","1,000",0.0649,"226,478","379,132","8,213","99,743",0.20829,0.92392,3.51191
9,0.26344812,0.27886114,"14,247","1,000",0.0656,"240,725","364,885","9,213","98,743",0.21298,0.91466,3.37994
10,0.27886236,0.292714,"12,864","1,000",0.0721,"253,589","352,021","10,213","97,743",0.21732,0.90540,3.26078
11,0.29271483,0.30689564,"12,739","1,000",0.0728,"266,328","339,282","11,213","96,743",0.22187,0.89613,3.14278
12,0.30689782,0.31898856,"10,816","1,000",0.0846,"277,144","328,466","12,213","95,743",0.22570,0.88687,3.04259
13,0.31898943,0.3312987,"11,024","1,000",0.0832,"288,168","317,442","13,213","94,743",0.22986,0.87761,2.94048
14,0.33129928,0.34320524,"10,353","1,000",0.0881,"298,521","307,089","14,213","93,743",0.23387,0.86834,2.84458
15,0.34320578,0.35434133,"9,722","1,000",0.0933,"308,243","297,367","15,213","92,743",0.23774,0.85908,2.75452
16,0.35434288,0.36517996,"9,394","1,000",0.0962,"317,637","287,973","16,213","91,743",0.24161,0.84982,2.66750
17,0.36518005,0.37507358,"8,455","1,000",0.1058,"326,092","279,518","17,213","90,743",0.24508,0.84056,2.58918
18,0.37507367,0.38574252,"9,121","1,000",0.0988,"335,213","270,397","18,213","89,743",0.24919,0.83129,2.50470
19,0.38574296,0.3953436,"8,050","1,000",0.1105,"343,263","262,347","19,213","88,743",0.25276,0.82203,2.43013
20,0.395345,0.40477842,"7,939","1,000",0.1119,"351,202","254,408","20,213","87,743",0.25645,0.81277,2.35659
21,0.40477854,0.41416284,"7,541","1,000",0.1171,"358,743","246,867","21,213","86,743",0.26001,0.80350,2.28674
22,0.41416356,0.42329597,"7,133","1,000",0.1230,"365,876","239,734","22,213","85,743",0.26344,0.79424,2.22066
23,0.4232967,0.4323873,"7,319","1,000",0.1202,"373,195","232,415","23,213","84,743",0.26719,0.78498,2.15287
24,0.43238837,0.44102833,"6,807","1,000",0.1281,"380,002","225,608","24,213","83,743",0.27071,0.77571,2.08981
25,0.44102886,0.44922793,"6,401","1,000",0.1351,"386,403","219,207","25,213","82,743",0.27403,0.76645,2.03052
26,0.44922817,0.458019,"6,821","1,000",0.1279,"393,224","212,386","26,213","81,743",0.27792,0.75719,1.96734
27,0.4580201,0.46620426,"6,317","1,000",0.1367,"399,541","206,069","27,213","80,743",0.28152,0.74793,1.90882
28,0.4662056,0.47439307,"6,233","1,000",0.1383,"405,774","199,836","28,213","79,743",0.28523,0.73866,1.85109
29,0.47439355,0.4822312,"5,936","1,000",0.1442,"411,710","193,900","29,213","78,743",0.28881,0.72940,1.79610
30,0.4822316,0.4900201,"5,684","1,000",0.1496,"417,394","188,216","30,213","77,743",0.29231,0.72014,1.74345
31,0.4900216,0.49770525,"5,590","1,000",0.1517,"422,984","182,626","31,213","76,743",0.29588,0.71087,1.69167
32,0.4977066,0.50518537,"5,458","1,000",0.1548,"428,442","177,168","32,213","75,743",0.29948,0.70161,1.64111
33,0.50518566,0.51262164,"5,392","1,000",0.1564,"433,834","171,776","33,213","74,743",0.30319,0.69235,1.59117
34,0.5126226,0.5201084,"5,311","1,000",0.1585,"439,145","166,465","34,213","73,743",0.30700,0.68308,1.54197
35,0.5201108,0.5273122,"5,051","1,000",0.1653,"444,196","161,414","35,213","72,743",0.31066,0.67382,1.49518
36,0.5273128,0.53406745,"4,678","1,000",0.1761,"448,874","156,736","36,213","71,743",0.31400,0.66456,1.45185
37,0.5340695,0.5410395,"4,850","1,000",0.1709,"453,724","151,886","37,213","70,743",0.31776,0.65529,1.40693
38,0.54103976,0.54762685,"4,475","1,000",0.1826,"458,199","147,411","38,213","69,743",0.32117,0.64603,1.36547
39,0.54762715,0.55449945,"4,521","1,000",0.1811,"462,720","142,890","39,213","68,743",0.32482,0.63677,1.32359
40,0.5544995,0.56111544,"4,309","1,000",0.1884,"467,029","138,581","40,213","67,743",0.32833,0.62751,1.28368
41,0.5611159,0.5679993,"4,493","1,000",0.1820,"471,522","134,088","41,213","66,743",0.33233,0.61824,1.24206
42,0.5680012,0.5742809,"4,026","1,000",0.1990,"475,548","130,062","42,213","65,743",0.33576,0.60898,1.20477
43,0.574283,0.58046764,"3,891","1,000",0.2045,"479,439","126,171","43,213","64,743",0.33912,0.59972,1.16873
44,0.5804679,0.58705395,"4,122","1,000",0.1952,"483,561","122,049","44,213","63,743",0.34309,0.59045,1.13054
45,0.58705497,0.5934204,"3,999","1,000",0.2000,"487,560","118,050","45,213","62,743",0.34704,0.58119,1.09350
46,0.59342057,0.59959817,"3,839","1,000",0.2067,"491,399","114,211","46,213","61,743",0.35090,0.57193,1.05794
47,0.59960264,0.60570365,"3,786","1,000",0.2089,"495,185","110,425","47,213","60,743",0.35487,0.56266,1.02287
48,0.6057044,0.6122597,"3,758","1,000",0.2102,"498,943","106,667","48,213","59,743",0.35901,0.55340,0.98806
49,0.6122606,0.6184086,"3,599","1,000",0.2174,"502,542","103,068","49,213","58,743",0.36303,0.54414,0.95472
50,0.6184092,0.62467283,"3,721","1,000",0.2118,"506,263","99,347","50,213","57,743",0.36758,0.53488,0.92025
51,0.62467295,0.63067925,"3,435","1,000",0.2255,"509,698","95,912","51,213","56,743",0.37171,0.52561,0.88844
52,0.6306793,0.6364133,"3,109","1,000",0.2434,"512,807","92,803","52,213","55,743",0.37526,0.51635,0.85964
53,0.63641405,0.64248,"3,328","1,000",0.2311,"516,135","89,475","53,213","54,743",0.37959,0.50709,0.82881
54,0.6424817,0.6481946,"3,050","1,000",0.2469,"519,185","86,425","54,213","53,743",0.38342,0.49782,0.80056
55,0.6481958,0.6540741,"3,170","1,000",0.2398,"522,355","83,255","55,213","52,743",0.38782,0.48856,0.77119
56,0.6540749,0.66030014,"3,176","1,000",0.2395,"525,531","80,079","56,213","51,743",0.39252,0.47930,0.74177
57,0.6603005,0.6660002,"2,987","1,000",0.2508,"528,518","77,092","57,213","50,743",0.39694,0.47003,0.71411
58,0.6660017,0.6719295,"2,976","1,001",0.2517,"531,494","74,116","58,214","49,742",0.40161,0.46076,0.68654
59,0.67193216,0.67750514,"2,853","1,000",0.2595,"534,347","71,263","59,214","48,742",0.40617,0.45150,0.66011
60,0.6775059,0.6834749,"2,896","1,000",0.2567,"537,243","68,367","60,214","47,742",0.41118,0.44224,0.63329
61,0.6834756,0.6890013,"2,594","1,000",0.2782,"539,837","65,773","61,214","46,742",0.41543,0.43297,0.60926
62,0.6890027,0.69479614,"2,646","1,000",0.2743,"542,483","63,127","62,214","45,742",0.42016,0.42371,0.58475
63,0.69479764,0.70042926,"2,501","1,000",0.2856,"544,984","60,626","63,214","44,742",0.42463,0.41445,0.56158
64,0.70043117,0.7063341,"2,697","1,000",0.2705,"547,681","57,929","64,214","43,742",0.43023,0.40518,0.53660
65,0.70633554,0.71184987,"2,439","1,000",0.2908,"550,120","55,490","65,214","42,742",0.43511,0.39592,0.51401
66,0.7118499,0.7173558,"2,356","1,000",0.2980,"552,476","53,134","66,214","41,742",0.43996,0.38666,0.49218
67,0.7173562,0.7227776,"2,241","1,000",0.3085,"554,717","50,893","67,214","40,742",0.44461,0.37739,0.47142
68,0.72277856,0.7284374,"2,330","1,000",0.3003,"557,047","48,563","68,214","39,742",0.45005,0.36813,0.44984
69,0.7284385,0.73390317,"2,201","1,000",0.3124,"559,248","46,362","69,214","38,742",0.45523,0.35887,0.42945
70,0.7339034,0.7392194,"2,083","1,000",0.3244,"561,331","44,279","70,214","37,742",0.46015,0.34961,0.41016
71,0.73922133,0.7448744,"2,142","1,000",0.3183,"563,473","42,137","71,214","36,742",0.46580,0.34034,0.39032
72,0.74487656,0.750267,"2,001","1,000",0.3332,"565,474","40,136","72,214","35,742",0.47105,0.33108,0.37178
73,0.750268,0.7555645,"1,920","1,000",0.3425,"567,394","38,216","73,214","34,742",0.47619,0.32182,0.35400
74,0.75556785,0.760828,"1,735","1,000",0.3656,"569,129","36,481","74,214","33,742",0.48050,0.31255,0.33792
75,0.76083124,0.76645994,"1,864","1,000",0.3492,"570,993","34,617","75,214","32,742",0.48608,0.30329,0.32066
76,0.7664649,0.772078,"1,862","1,000",0.3494,"572,855","32,755","76,214","31,742",0.49215,0.29403,0.30341
77,0.77207816,0.7779867,"1,877","1,000",0.3476,"574,732","30,878","77,214","30,742",0.49890,0.28476,0.28602
78,0.7779887,0.78365487,"1,760","1,000",0.3623,"576,492","29,118","78,214","29,742",0.50530,0.27550,0.26972
79,0.78366256,0.7892954,"1,699","1,000",0.3705,"578,191","27,419","79,214","28,742",0.51178,0.26624,0.25398
80,0.78929543,0.79492056,"1,612","1,000",0.3828,"579,803","25,807","80,214","27,742",0.51807,0.25698,0.23905
81,0.7949216,0.8007244,"1,628","1,000",0.3805,"581,431","24,179","81,214","26,742",0.52517,0.24771,0.22397
82,0.80072665,0.80673593,"1,582","1,000",0.3873,"583,013","22,597","82,214","25,742",0.53253,0.23845,0.20932
83,0.806736,0.8120983,"1,366","1,000",0.4227,"584,379","21,231","83,214","24,742",0.53819,0.22919,0.19666
84,0.8120984,0.8178023,"1,347","1,000",0.4261,"585,726","19,884","84,214","23,742",0.54422,0.21992,0.18419
85,0.81780326,0.823647,"1,451","1,000",0.4080,"587,177","18,433","85,214","22,742",0.55233,0.21066,0.17075
86,0.82364786,0.82928973,"1,324","1,000",0.4303,"588,501","17,109","86,214","21,742",0.55963,0.20140,0.15848
87,0.8292905,0.83503664,"1,308","1,000",0.4333,"589,809","15,801","87,214","20,742",0.56761,0.19213,0.14637
88,0.8350447,0.840715,"1,249","1,000",0.4446,"591,058","14,552","88,214","19,742",0.57567,0.18287,0.13480
