,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0036495363,0.049715567,"2,071",24,0.0115,"2,071","603,539",24,"107,932",0.1517,0.9998,5.5906
1,0.04972841,0.05870739,"1,277",25,0.0192,"3,348","602,262",49,"107,907",0.1519,0.9995,5.5788
2,0.058707613,0.06425239,994,25,0.0245,"4,342","601,268",74,"107,882",0.1521,0.9993,5.5696
3,0.06425508,0.07022841,"1,261",25,0.0194,"5,603","600,007",99,"107,857",0.1524,0.9991,5.5579
4,0.07025117,0.07458138,967,25,0.0252,"6,570","599,040",124,"107,832",0.1525,0.9989,5.5489
5,0.07458256,0.07925732,"1,145",25,0.0214,"7,715","597,895",149,"107,807",0.1528,0.9986,5.5383
6,0.07925877,0.08340771,"1,123",25,0.0218,"8,838","596,772",174,"107,782",0.1530,0.9984,5.5279
7,0.08340949,0.0880842,"1,306",25,0.0188,"10,144","595,466",199,"107,757",0.1532,0.9982,5.5158
8,0.08808582,0.0911433,927,25,0.0263,"11,071","594,539",224,"107,732",0.1534,0.9979,5.5072
9,0.09114456,0.09379069,849,25,0.0286,"11,920","593,690",249,"107,707",0.1536,0.9977,5.4994
10,0.09379516,0.096646115,964,25,0.0253,"12,884","592,726",274,"107,682",0.1537,0.9975,5.4904
11,0.09665006,0.10009425,"1,192",25,0.0205,"14,076","591,534",299,"107,657",0.1540,0.9972,5.4794
12,0.10009549,0.10279835,998,25,0.0244,"15,074","590,536",324,"107,632",0.1542,0.9970,5.4702
13,0.10279846,0.105638675,"1,038",25,0.0235,"16,112","589,498",349,"107,607",0.1544,0.9968,5.4605
14,0.105640665,0.10771801,767,25,0.0316,"16,879","588,731",374,"107,582",0.1545,0.9965,5.4534
15,0.10772653,0.11083288,"1,247",25,0.0197,"18,126","587,484",399,"107,557",0.1547,0.9963,5.4419
16,0.11083346,0.113593176,"1,197",25,0.0205,"19,323","586,287",424,"107,532",0.1550,0.9961,5.4308
17,0.11359827,0.11525621,757,26,0.0332,"20,080","585,530",450,"107,506",0.1551,0.9958,5.4238
18,0.11526392,0.11716702,804,25,0.0302,"20,884","584,726",475,"107,481",0.1553,0.9956,5.4163
19,0.117167376,0.11907744,807,25,0.0300,"21,691","583,919",500,"107,456",0.1554,0.9954,5.4089
20,0.11907812,0.120758146,740,25,0.0327,"22,431","583,179",525,"107,431",0.1556,0.9951,5.4020
21,0.120763466,0.12222997,689,25,0.0350,"23,120","582,490",550,"107,406",0.1557,0.9949,5.3956
22,0.122233085,0.12375151,694,25,0.0348,"23,814","581,796",575,"107,381",0.1558,0.9947,5.3892
23,0.12375449,0.1254249,784,25,0.0309,"24,598","581,012",600,"107,356",0.1560,0.9944,5.3819
24,0.12542816,0.126489,525,25,0.0455,"25,123","580,487",625,"107,331",0.1560,0.9942,5.3771
25,0.12649095,0.12824395,840,25,0.0289,"25,963","579,647",650,"107,306",0.1562,0.9940,5.3693
26,0.1282456,0.12937394,570,25,0.0420,"26,533","579,077",675,"107,281",0.1563,0.9937,5.3640
27,0.12937436,0.13134962,"1,013",25,0.0241,"27,546","578,064",700,"107,256",0.1565,0.9935,5.3546
28,0.1313501,0.13296594,793,25,0.0306,"28,339","577,271",725,"107,231",0.1567,0.9933,5.3473
29,0.13296998,0.13426046,657,25,0.0367,"28,996","576,614",750,"107,206",0.1568,0.9931,5.3412
30,0.13426323,0.13605103,942,25,0.0259,"29,938","575,672",775,"107,181",0.1570,0.9928,5.3325
31,0.13605557,0.13770108,858,25,0.0283,"30,796","574,814",800,"107,156",0.1571,0.9926,5.3245
32,0.13770732,0.13865674,513,25,0.0465,"31,309","574,301",825,"107,131",0.1572,0.9924,5.3198
33,0.13866009,0.13987805,618,25,0.0389,"31,927","573,683",850,"107,106",0.1573,0.9921,5.3140
34,0.13987826,0.14082833,501,25,0.0475,"32,428","573,182",875,"107,081",0.1574,0.9919,5.3094
35,0.14082918,0.14206646,659,25,0.0365,"33,087","572,523",900,"107,056",0.1575,0.9917,5.3033
36,0.14207013,0.14333026,710,25,0.0340,"33,797","571,813",925,"107,031",0.1577,0.9914,5.2967
37,0.14333045,0.14472228,731,25,0.0331,"34,528","571,082",950,"107,006",0.1578,0.9912,5.2900
38,0.14472651,0.14594516,675,25,0.0357,"35,203","570,407",975,"106,981",0.1579,0.9910,5.2837
39,0.1459452,0.14738905,783,25,0.0309,"35,986","569,624","1,000","106,956",0.1581,0.9907,5.2764
40,0.14739287,0.14950834,"1,250",25,0.0196,"37,236","568,374","1,025","106,931",0.1583,0.9905,5.2649
41,0.1495087,0.15077385,733,25,0.0330,"37,969","567,641","1,050","106,906",0.1585,0.9903,5.2581
42,0.15077418,0.1514422,414,25,0.0569,"38,383","567,227","1,075","106,881",0.1586,0.9900,5.2542
43,0.15144451,0.15237592,507,25,0.0470,"38,890","566,720","1,100","106,856",0.1586,0.9898,5.2495
44,0.15237942,0.15326288,510,25,0.0467,"39,400","566,210","1,125","106,831",0.1587,0.9896,5.2448
45,0.15326558,0.1544192,671,25,0.0359,"40,071","565,539","1,150","106,806",0.1589,0.9893,5.2386
46,0.15442283,0.15530631,573,25,0.0418,"40,644","564,966","1,175","106,781",0.1590,0.9891,5.2333
