,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0173,0.1504,"52,637",953,0.0178,"52,637","552,973",953,"107,003",0.1621,0.9912,5.1222
1,0.1504,0.2010,"48,469","1,600",0.0320,"101,106","504,504","2,553","105,403",0.1728,0.9764,4.6732
2,0.2010,0.2341,"35,737","1,600",0.0429,"136,843","468,767","4,153","103,803",0.1813,0.9615,4.3422
3,0.2341,0.2594,"28,469","1,600",0.0532,"165,312","440,298","5,753","102,203",0.1884,0.9467,4.0785
4,0.2594,0.2819,"25,809","1,600",0.0584,"191,121","414,489","7,353","100,603",0.1953,0.9319,3.8394
5,0.2819,0.3023,"23,587","1,600",0.0635,"214,708","390,902","8,953","99,003",0.2021,0.9171,3.6209
6,0.3023,0.3192,"19,628","1,600",0.0754,"234,336","371,274","10,553","97,403",0.2078,0.9022,3.4391
7,0.3192,0.3355,"18,480","1,600",0.0797,"252,816","352,794","12,153","95,803",0.2136,0.8874,3.2679
8,0.3355,0.3505,"17,149","1,600",0.0853,"269,965","335,645","13,753","94,203",0.2192,0.8726,3.1091
9,0.3505,0.3645,"15,554","1,600",0.0933,"285,519","320,091","15,353","92,603",0.2244,0.8578,2.9650
10,0.3645,0.3781,"14,952","1,600",0.0967,"300,471","305,139","16,953","91,003",0.2297,0.8430,2.8265
11,0.3781,0.3906,"13,528","1,600",0.1058,"313,999","291,611","18,553","89,403",0.2346,0.8281,2.7012
12,0.3906,0.4028,"13,034","1,600",0.1093,"327,033","278,577","20,153","87,803",0.2397,0.8133,2.5805
13,0.4028,0.4147,"12,447","1,600",0.1139,"339,480","266,130","21,753","86,203",0.2447,0.7985,2.4652
14,0.4147,0.4260,"11,455","1,600",0.1226,"350,935","254,675","23,353","84,603",0.2494,0.7837,2.3591
15,0.4260,0.4368,"10,921","1,600",0.1278,"361,856","243,754","24,953","83,003",0.2540,0.7689,2.2579
16,0.4368,0.4479,"10,912","1,600",0.1279,"372,768","232,842","26,553","81,403",0.2590,0.7540,2.1568
17,0.4479,0.4588,"10,524","1,600",0.1320,"383,292","222,318","28,153","79,803",0.2641,0.7392,2.0593
18,0.4588,0.4691,"9,809","1,600",0.1402,"393,101","212,509","29,753","78,203",0.2690,0.7244,1.9685
