,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.483648,0.484077,510,68,0.1176,510,"605,100",68,"107,888",0.1513,0.9994,5.6051
1,0.484079,0.485135,"2,319",200,0.0794,"2,829","602,781",268,"107,688",0.1516,0.9975,5.5836
2,0.485136,0.485210,"1,548",200,0.1144,"4,377","601,233",468,"107,488",0.1517,0.9957,5.5692
3,0.485210,0.485262,"1,170",204,0.1485,"5,547","600,063",672,"107,284",0.1517,0.9938,5.5584
4,0.485262,0.485314,"1,032",200,0.1623,"6,579","599,031",872,"107,084",0.1517,0.9919,5.5488
5,0.485314,0.485388,752,204,0.2134,"7,331","598,279","1,076","106,880",0.1516,0.9900,5.5419
6,0.485389,0.486248,"1,263",205,0.1396,"8,594","597,016","1,281","106,675",0.1516,0.9881,5.5302
7,0.486248,0.486384,"2,308",200,0.0797,"10,902","594,708","1,481","106,475",0.1519,0.9863,5.5088
8,0.486384,0.486445,"1,650",200,0.1081,"12,552","593,058","1,681","106,275",0.1520,0.9844,5.4935
9,0.486445,0.486487,"1,399",200,0.1251,"13,951","591,659","1,881","106,075",0.1520,0.9826,5.4806
10,0.486488,0.486525,"1,221",202,0.1420,"15,172","590,438","2,083","105,873",0.1520,0.9807,5.4692
11,0.486525,0.486560,"1,079",204,0.1590,"16,251","589,359","2,287","105,669",0.1520,0.9788,5.4593
12,0.486560,0.486624,"1,070",200,0.1575,"17,321","588,289","2,487","105,469",0.1520,0.9770,5.4493
13,0.486626,0.486668,740,205,0.2169,"18,061","587,549","2,692","105,264",0.1519,0.9751,5.4425
14,0.486668,0.487414,900,203,0.1840,"18,961","586,649","2,895","105,061",0.1519,0.9732,5.4341
15,0.487415,0.487580,"2,869",200,0.0652,"21,830","583,780","3,095","104,861",0.1523,0.9713,5.4076
16,0.487580,0.487651,"2,015",201,0.0907,"23,845","581,765","3,296","104,660",0.1525,0.9695,5.3889
17,0.487652,0.487690,"1,378",200,0.1267,"25,223","580,387","3,496","104,460",0.1525,0.9676,5.3761
18,0.487690,0.487727,"1,248",204,0.1405,"26,471","579,139","3,700","104,256",0.1526,0.9657,5.3646
19,0.487729,0.487772,"1,093",200,0.1547,"27,564","578,046","3,900","104,056",0.1526,0.9639,5.3545
20,0.487773,0.487833,839,207,0.1979,"28,403","577,207","4,107","103,849",0.1525,0.9620,5.3467
21,0.487833,0.487859,552,206,0.2718,"28,955","576,655","4,313","103,643",0.1523,0.9600,5.3416
22,0.487859,0.488583,968,218,0.1838,"29,923","575,687","4,531","103,425",0.1523,0.9580,5.3326
23,0.488584,0.488736,"2,871",200,0.0651,"32,794","572,816","4,731","103,225",0.1527,0.9562,5.3060
24,0.488736,0.488811,"2,230",203,0.0834,"35,024","570,586","4,934","103,022",0.1529,0.9543,5.2854
25,0.488811,0.488860,"1,446",200,0.1215,"36,470","569,140","5,134","102,822",0.1530,0.9524,5.2720
26,0.488860,0.488892,"1,539",203,0.1165,"38,009","567,601","5,337","102,619",0.1531,0.9506,5.2577
27,0.488892,0.488921,"1,510",200,0.1170,"39,519","566,091","5,537","102,419",0.1532,0.9487,5.2437
28,0.488921,0.488950,"1,811",206,0.1021,"41,330","564,280","5,743","102,213",0.1534,0.9468,5.2269
29,0.488950,0.488972,"1,545",200,0.1146,"42,875","562,735","5,943","102,013",0.1535,0.9449,5.2126
30,0.488972,0.488988,"1,163",204,0.1492,"44,038","561,572","6,147","101,809",0.1535,0.9431,5.2019
31,0.488989,0.489009,"1,267",202,0.1375,"45,305","560,305","6,349","101,607",0.1535,0.9412,5.1901
32,0.489009,0.489029,882,203,0.1871,"46,187","559,423","6,552","101,404",0.1535,0.9393,5.1820
33,0.489030,0.489067,996,203,0.1693,"47,183","558,427","6,755","101,201",0.1534,0.9374,5.1727
34,0.489067,0.489105,987,205,0.1720,"48,170","557,440","6,960","100,996",0.1534,0.9355,5.1636
35,0.489106,0.489128,909,205,0.1840,"49,079","556,531","7,165","100,791",0.1533,0.9336,5.1552
36,0.489128,0.489151,871,202,0.1883,"49,950","555,660","7,367","100,589",0.1533,0.9318,5.1471
37,0.489151,0.489185,827,200,0.1947,"50,777","554,833","7,567","100,389",0.1532,0.9299,5.1394
38,0.489185,0.489247,"1,209",200,0.1419,"51,986","553,624","7,767","100,189",0.1532,0.9281,5.1282
39,0.489247,0.489339,874,200,0.1862,"52,860","552,750","7,967","99,989",0.1532,0.9262,5.1201
40,0.489339,0.489396,588,201,0.2548,"53,448","552,162","8,168","99,788",0.1531,0.9243,5.1147
41,0.489397,0.489985,"2,340",203,0.0798,"55,788","549,822","8,371","99,585",0.1533,0.9225,5.0930
42,0.489986,0.490073,"1,680",201,0.1069,"57,468","548,142","8,572","99,384",0.1535,0.9206,5.0775
43,0.490073,0.490123,"1,250",200,0.1379,"58,718","546,892","8,772","99,184",0.1535,0.9187,5.0659
44,0.490123,0.490184,"1,120",201,0.1522,"59,838","545,772","8,973","98,983",0.1535,0.9169,5.0555
45,0.490185,0.490247,"1,401",208,0.1293,"61,239","544,371","9,181","98,775",0.1536,0.9150,5.0425
46,0.490247,0.490298,"1,468",200,0.1199,"62,707","542,903","9,381","98,575",0.1537,0.9131,5.0289
47,0.490298,0.490423,"1,648",204,0.1102,"64,355","541,255","9,585","98,371",0.1538,0.9112,5.0137
48,0.490423,0.490469,"1,337",200,0.1301,"65,692","539,918","9,785","98,171",0.1539,0.9094,5.0013
49,0.490469,0.490521,"1,277",200,0.1354,"66,969","538,641","9,985","97,971",0.1539,0.9075,4.9894
50,0.490522,0.490594,"1,394",201,0.1260,"68,363","537,247","10,186","97,770",0.1540,0.9056,4.9765
51,0.490594,0.490645,852,201,0.1909,"69,215","536,395","10,387","97,569",0.1539,0.9038,4.9686
52,0.490645,0.490711,630,203,0.2437,"69,845","535,765","10,590","97,366",0.1538,0.9019,4.9628
53,0.490712,0.490854,"1,279",200,0.1352,"71,124","534,486","10,790","97,166",0.1538,0.9001,4.9510
54,0.490854,0.490977,705,201,0.2219,"71,829","533,781","10,991","96,965",0.1537,0.8982,4.9444
55,0.490978,0.491317,"1,719",200,0.1042,"73,548","532,062","11,191","96,765",0.1539,0.8963,4.9285
56,0.491318,0.491440,"1,472",201,0.1201,"75,020","530,590","11,392","96,564",0.1540,0.8945,4.9149
57,0.491440,0.491594,968,200,0.1712,"75,988","529,622","11,592","96,364",0.1539,0.8926,4.9059
58,0.491595,0.491954,"1,602",201,0.1115,"77,590","528,020","11,793","96,163",0.1541,0.8908,4.8911
59,0.491954,0.492085,"1,293",200,0.1340,"78,883","526,727","11,993","95,963",0.1541,0.8889,4.8791
60,0.492085,0.492165,948,200,0.1742,"79,831","525,779","12,193","95,763",0.1541,0.8871,4.8703
61,0.492166,0.492269,701,200,0.2220,"80,532","525,078","12,393","95,563",0.1540,0.8852,4.8638
62,0.492269,0.492683,"1,277",200,0.1354,"81,809","523,801","12,593","95,363",0.1540,0.8834,4.8520
63,0.492683,0.492957,"1,482",200,0.1189,"83,291","522,319","12,793","95,163",0.1541,0.8815,4.8383
64,0.492957,0.493084,"1,660",200,0.1075,"84,951","520,659","12,993","94,963",0.1543,0.8796,4.8229
65,0.493084,0.493245,"1,831",204,0.1002,"86,782","518,828","13,197","94,759",0.1544,0.8778,4.8059
66,0.493246,0.493323,"1,257",200,0.1373,"88,039","517,571","13,397","94,559",0.1545,0.8759,4.7943
67,0.493323,0.493407,"1,325",202,0.1323,"89,364","516,246","13,599","94,357",0.1545,0.8740,4.7820
68,0.493407,0.493552,940,201,0.1762,"90,304","515,306","13,800","94,156",0.1545,0.8722,4.7733
69,0.493552,0.493604,"2,415",202,0.0772,"92,719","512,891","14,002","93,954",0.1548,0.8703,4.7509
70,0.493605,0.493664,"1,720",202,0.1051,"94,439","511,171","14,204","93,752",0.1550,0.8684,4.7350
71,0.493665,0.493761,958,200,0.1727,"95,397","510,213","14,404","93,552",0.1549,0.8666,4.7261
72,0.493761,0.493849,"1,476",202,0.1204,"96,873","508,737","14,606","93,350",0.1550,0.8647,4.7124
73,0.493850,0.494066,"1,593",200,0.1115,"98,466","507,144","14,806","93,150",0.1552,0.8629,4.6977
74,0.494066,0.494117,"1,305",200,0.1329,"99,771","505,839","15,006","92,950",0.1552,0.8610,4.6856
75,0.494117,0.494151,"1,192",208,0.1486,"100,963","504,647","15,214","92,742",0.1552,0.8591,4.6746
76,0.494152,0.494215,"1,211",200,0.1417,"102,174","503,436","15,414","92,542",0.1553,0.8572,4.6633
