,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.498999,0.499272,"1,369",13,0.0094,"1,369","604,241",13,"107,943",0.1516,0.9999,5.5971
1,0.499272,0.499553,"45,799",800,0.0172,"47,168","558,442",813,"107,143",0.1610,0.9925,5.1729
2,0.499553,0.499608,"26,358",800,0.0295,"73,526","532,084","1,613","106,343",0.1666,0.9851,4.9287
3,0.499608,0.499647,"23,404",800,0.0331,"96,930","508,680","2,413","105,543",0.1718,0.9776,4.7119
4,0.499647,0.499675,"19,444",800,0.0395,"116,374","489,236","3,213","104,743",0.1763,0.9702,4.5318
5,0.499675,0.499698,"17,370",800,0.0440,"133,744","471,866","4,013","103,943",0.1805,0.9628,4.3709
6,0.499698,0.499717,"14,899",800,0.0510,"148,643","456,967","4,813","103,143",0.1841,0.9554,4.2329
7,0.499717,0.499734,"14,368",800,0.0527,"163,011","442,599","5,613","102,343",0.1878,0.9480,4.0998
8,0.499734,0.499748,"13,116",800,0.0575,"176,127","429,483","6,413","101,543",0.1912,0.9406,3.9783
9,0.499748,0.499762,"12,346",800,0.0609,"188,473","417,137","7,213","100,743",0.1945,0.9332,3.8640
10,0.499762,0.499775,"11,986",800,0.0626,"200,459","405,151","8,013","99,943",0.1979,0.9258,3.7529
11,0.499775,0.499786,"10,420",800,0.0713,"210,879","394,731","8,813","99,143",0.2007,0.9184,3.6564
12,0.499786,0.499797,"11,142",800,0.0670,"222,021","383,589","9,613","98,343",0.2041,0.9110,3.5532
13,0.499797,0.499807,"10,023",800,0.0739,"232,044","373,566","10,413","97,543",0.2070,0.9035,3.4604
14,0.499807,0.499816,"9,273",800,0.0794,"241,317","364,293","11,213","96,743",0.2098,0.8961,3.3745
15,0.499816,0.499825,"8,710",800,0.0841,"250,027","355,583","12,013","95,943",0.2125,0.8887,3.2938
16,0.499825,0.499834,"9,274",800,0.0794,"259,301","346,309","12,813","95,143",0.2155,0.8813,3.2079
17,0.499834,0.499843,"8,523",800,0.0858,"267,824","337,786","13,613","94,343",0.2183,0.8739,3.1289
18,0.499843,0.499850,"7,873",800,0.0922,"275,697","329,913","14,413","93,543",0.2209,0.8665,3.0560
19,0.499850,0.499858,"8,095",800,0.0899,"283,792","321,818","15,213","92,743",0.2237,0.8591,2.9810
20,0.499858,0.499865,"7,509",800,0.0963,"291,301","314,309","16,013","91,943",0.2263,0.8517,2.9115
21,0.499865,0.499873,"7,124",800,0.1010,"298,425","307,185","16,813","91,143",0.2288,0.8443,2.8455
