,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.487067839907141,0.4927984673287875,"5,966",752,0.1119,"5,966","599,644",752,"107,204",0.1517,0.9930,5.5545
1,0.4927984860694717,0.4942118493342025,"12,725","1,600",0.1117,"18,691","586,919","2,352","105,604",0.1525,0.9782,5.4367
2,0.4942119539520984,0.4950352282033119,"11,797","1,600",0.1194,"30,488","575,122","3,952","104,004",0.1531,0.9634,5.3274
3,0.495035249434867,0.4955696723280562,"11,060","1,600",0.1264,"41,548","564,062","5,552","102,404",0.1537,0.9486,5.2249
4,0.4955696869861188,0.4960087955451994,"12,194","1,600",0.1160,"53,742","551,868","7,152","100,804",0.1544,0.9338,5.1120
5,0.4960088242688886,0.4963158428196684,"11,328","1,600",0.1238,"65,070","540,540","8,752","99,204",0.1551,0.9189,5.0070
6,0.4963158649628677,0.4965870353669022,"11,530","1,600",0.1219,"76,600","529,010","10,352","97,604",0.1558,0.9041,4.9002
7,0.4965870495530448,0.4968147370687967,"10,384","1,600",0.1335,"86,984","518,626","11,952","96,004",0.1562,0.8893,4.8040
8,0.4968147542728612,0.4970342522521389,"10,331","1,600",0.1341,"97,315","508,295","13,552","94,404",0.1566,0.8745,4.7084
9,0.4970342626380699,0.497240026603682,"10,374","1,600",0.1336,"107,689","497,921","15,152","92,804",0.1571,0.8596,4.6123
10,0.4972400516607074,0.4974227865815208,"9,423","1,600",0.1452,"117,112","488,498","16,752","91,204",0.1573,0.8448,4.5250
11,0.4974229008460392,0.4976063442481709,"10,098","1,600",0.1368,"127,210","478,400","18,352","89,604",0.1578,0.8300,4.4314
12,0.497606347860511,0.4977730658303385,"10,143","1,600",0.1363,"137,353","468,257","19,952","88,004",0.1582,0.8152,4.3375
13,0.4977731013869412,0.497931109364026,"10,040","1,600",0.1375,"147,393","458,217","21,552","86,404",0.1586,0.8004,4.2445
14,0.4979311123198039,0.4980942156035524,"10,349","1,600",0.1339,"157,742","447,868","23,152","84,804",0.1592,0.7855,4.1486
15,0.4980942444174394,0.4982447578960789,"10,285","1,600",0.1346,"168,027","437,583","24,752","83,204",0.1598,0.7707,4.0533
16,0.4982447601937695,0.4983822780871087,"10,011","1,600",0.1378,"178,038","427,572","26,352","81,604",0.1603,0.7559,3.9606
17,0.4983822798584917,0.4985159511428959,"10,285","1,600",0.1346,"188,323","417,287","27,952","80,004",0.1609,0.7411,3.8653
18,0.4985159546136798,0.4986424176189277,"10,565","1,601",0.1316,"198,888","406,722","29,553","78,403",0.1616,0.7262,3.7675
19,0.4986424242022124,0.4987583099322087,"10,433","1,600",0.1330,"209,321","396,289","31,153","76,803",0.1623,0.7114,3.6708
20,0.4987583530481086,0.4988723075362815,"11,358","1,600",0.1235,"220,679","384,931","32,753","75,203",0.1634,0.6966,3.5656
21,0.4988723091549009,0.4989673965868868,"10,229","1,600",0.1353,"230,908","374,702","34,353","73,603",0.1642,0.6818,3.4709
22,0.4989673999373232,0.4990578003427924,"10,218","1,600",0.1354,"241,126","364,484","35,953","72,003",0.1650,0.6670,3.3762
23,0.4990578076832683,0.4991438454563631,"10,318","1,600",0.1343,"251,444","354,166","37,553","70,403",0.1658,0.6521,3.2807
24,0.4991438578162372,0.4992287535554787,"10,320","1,600",0.1342,"261,764","343,846","39,153","68,803",0.1667,0.6373,3.1851
25,0.4992287559286641,0.4993084601372318,"9,635","1,600",0.1424,"271,399","334,211","40,753","67,203",0.1674,0.6225,3.0958
26,0.4993084647887477,0.4993890248750122,"9,624","1,600",0.1426,"281,023","324,587","42,353","65,603",0.1681,0.6077,3.0067
27,0.4993890325485017,0.4994705426535937,"9,508","1,600",0.1440,"290,531","315,079","43,953","64,003",0.1688,0.5929,2.9186
28,0.4994705493346055,0.4995530603313271,"10,234","1,600",0.1352,"300,765","304,845","45,553","62,403",0.1699,0.5780,2.8238
29,0.499553069025754,0.4996304752645252,"12,052","1,600",0.1172,"312,817","292,793","47,153","60,803",0.1720,0.5632,2.7122
30,0.4996304762930934,0.4996969906221332,"13,624","1,600",0.1051,"326,441","279,169","48,753","59,203",0.1750,0.5484,2.5860
31,0.4996969945922666,0.4997572126864844,"14,535","1,600",0.0992,"340,976","264,634","50,353","57,603",0.1788,0.5336,2.4513
