Index,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
105,RFC_Hard,0.2697320036240586,0.2776318705186796,1000,1100,0.5238095238095238,604610,1000,105890,2066,0.6738421395955643,0.019137426358886954,0.009263033087554188
107,RFC_Medium,0.2429573357595496,0.2708487165157802,1000,1030,0.5073891625615764,605610,0,107956,0,,0.0,0.0
105,RFC_Easy,0.2081873659408569,0.2105355651937172,2024,1011,0.3331136738056013,601300,4310,105950,2006,0.31760607979734007,0.0185816443736337,0.03992367260735855
51,BRFC_alpha_0_5_Hard,0.79,0.7999047619047619,1706,1685,0.4969035682689472,591874,13736,84274,23682,0.6329039499706024,0.2193671495794583,0.12723702249064434
85,BRFC_alpha_0_5_Medium,0.885,0.8916666666666666,1027,1023,0.49902439024390244,600382,5228,101324,6632,0.5591905564924115,0.06143243543665938,0.0484271369817333
107,BRFC_alpha_0_5_Easy,0.9541666666666668,1.0,1001,1104,0.5244655581947744,605610,0,107956,0,,0.0,0.0
54,BRFC_alpha_balanced_Hard,0.79,0.7997681952980825,1679,1686,0.5010401188707281,592456,13154,85268,22688,0.6330003906032029,0.21015969469042944,0.12184593723368779
93,BRFC_alpha_balanced_Medium,0.9282413194109512,0.9399958037304892,1000,1029,0.5071463775258748,603215,2395,104930,3026,0.5581995941708172,0.028029938122938976,0.022184964244692282
107,BRFC_alpha_balanced_Easy,0.9852980238678808,1.0,1000,1015,0.5037220843672456,605610,0,107956,0,,0.0,0.0
100,LogReg_alpha_0_5_Hard,0.520478979366366,0.5371563686983487,1023,1000,0.49431537320810676,599610,6000,100098,7858,0.5670370904892481,0.07278891400200081,0.05557819852532513
105,LogReg_alpha_0_5_Medium,0.5259994919371465,0.5530335591789808,1000,1011,0.5027349577324715,603597,2013,105731,2225,0.525011798017933,0.02061024861980807,0.018646485605246583
107,LogReg_alpha_0_5_Easy,0.3869691396700794,0.476305423419162,1704,1000,0.3698224852071006,605610,0,107956,0,,0.0,0.0
101,LogReg_alpha_balanced_Hard,0.8783243420799386,0.8865484991976672,1000,1005,0.5012468827930174,600602,5008,101564,6392,0.5607017543859649,0.059209307495646374,0.04638926970247138
105,LogReg_alpha_balanced_Medium,0.8668875848098373,0.8793000783102977,1000,1000,0.5,603597,2013,105794,2162,0.5178443113772455,0.020026677535292157,0.018646485605246583
107,LogReg_alpha_balanced_Easy,0.7849980246500399,0.8380271718738028,1760,1000,0.36231884057971014,605610,0,107956,0,,0.0,0.0
101,AdaBoost_Hard,0.5005089612591245,0.5007078200515297,1000,1002,0.5004995004995005,600603,5007,101507,6449,0.5629364525139665,0.059737300381636965,0.04638000666938382
105,AdaBoost_Medium,0.5003007250392613,0.5005697758757834,1000,1003,0.5007488766849726,603593,2017,105762,2194,0.5210163856566137,0.02032309459409389,0.0186835377375968
107,AdaBoost_Easy,0.4989006451992777,0.4997552220379783,1768,1001,0.3615023474178404,605610,0,107956,0,,0.0,0.0
9,BalBag_Hard,0.9,0.9888888888888888,8540,10718,0.5565479281337626,602266,3344,101397,6559,0.6623245481167322,0.060756234021267924,0.030975582644781206
23,BalBag_Medium,1.0,1.0,4299,4510,0.5119763877852197,605610,0,107956,0,,0.0,0.0
104,BalBag_Easy,0.98,1.0,1135,1034,0.47671738128169666,605610,0,107956,0,,0.0,0.0
90,EEC_Hard,0.54811055325788,0.5485138204560471,1277,1238,0.4922465208747515,600155,5455,102322,5634,0.5080710614122103,0.0521879284152803,0.0505298454926081
93,EEC_Medium,0.5502675481237195,0.5684268584172714,1009,1056,0.5113801452784503,605610,0,107956,0,,0.0,0.0
92,EEC_Easy,0.531851074726889,0.5338555649795819,2139,1203,0.3599640933572711,605610,0,107956,0,,0.0,0.0
